COMPANY NAME,ABB INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,6985.1,,,,,,,,,
Market Capitalization,147952.18,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Sales,7729.99,8136.12,8642.21,6093.73,6690.12,7315.06,5820.95,6934,8567.53,10446.52
Raw Material Cost,4793.07,4882.15,5038.88,3833.22,4337.73,4665.99,3684.6,4448.71,5402.71,6355.25
Change in Inventory,-43.98,48.56,-66.64,42.51,50.38,26.73,-21.28,33.36,101.53,26.69
Power and Fuel,57.93,58.2,64.36,21.16,21.87,22.44,32.1,20.06,22.57,25.13
Other Mfr. Exp,468.25,530.99,662.01,412.41,347.92,378.66,297.88,354.8,411.67,464.2
Employee Cost,705.88,750.77,751.34,519.62,530.48,580.91,569.36,589.38,636.46,716.24
Selling and admin,971.18,1028.25,1131.73,781.23,887.09,1038.36,771.76,922.09,1118.52,1279.17
Other Expenses,113.43,200.03,217.01,143.84,149.18,117.45,176.26,65.85,109.42,132.16
Other Income,13.79,6.32,121.57,266.85,338.59,25.78,170.42,266.41,505.8,288.59
Depreciation,112.81,159.79,150.95,101.23,92.76,90.4,120.36,102.7,104.7,119.92
Interest,122.04,106.23,107.59,62.08,60.22,28.19,24.62,18.69,15.4,16.97
Profit before tax,355.21,474.59,573.27,528.3,651.84,445.17,293.15,711.49,1353.41,1652.76
Tax,126.7,174.71,198.8,108.35,140.95,141.77,73.93,191.78,337.18,410.71
Net profit,228.51,299.88,374.47,419.95,510.89,303.4,219.22,519.71,1016.23,1242.05
Dividend Amount,78.4,78.4,84.76,93.24,101.71,101.71,105.95,110.19,116.54,504.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1778.39,2101.5,1968.37,2052.51,2119.74,2426.91,2411.21,2508.63,2769.19,2757.49
Expenses,1597.08,1916.3,1780.49,1853.75,1908.79,2062.63,2125.9,2159.91,2330.66,2340.27
Other Income,14.82,101.35,333.53,18.55,87.85,69.42,71.97,74.85,77.69,71.05
Depreciation,28.75,22.73,25.67,25.34,26.87,26.82,27.48,29.23,30.29,32.92
Interest,2.03,3.89,1.48,2.83,1.56,7.24,2.23,1.39,0.88,8.16
Profit before tax,165.35,259.93,494.26,189.14,270.37,399.64,327.57,392.95,485.05,447.19
Tax,45.43,71.73,121.19,48.86,72.81,94.32,82.68,97.32,122.18,108.53
Net profit,119.92,188.2,373.07,140.28,197.56,305.32,244.89,295.63,362.87,338.66
Operating Profit,181.31,185.2,187.88,198.76,210.95,364.28,285.31,348.72,438.53,417.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Equity Share Capital,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38,42.38
Reserves,2769.6,2966.17,3244.32,3564.51,3964.94,3477.73,3564,4002.81,4897.03,5902.22
Borrowings,371.07,600,600.04,608.35,6.92,13.54,58.24,36.66,33.09,48.98
Other Liabilities,3638.6,3800.28,3844.46,4672.81,5062.66,4167.18,3925.88,3990.89,4345.73,5007.61
Total,6821.65,7408.83,7731.2,8888.05,9076.9,7700.83,7590.5,8072.74,9318.23,11001.19
Net Block,1399.54,1298.42,1254.91,1218.66,893.14,741.69,782.73,816.98,899.17,993.95
Capital Work in Progress,31.93,44.28,67.78,116.48,83.06,59.48,74.86,76.93,69.25,59.92
Investments,16.47,16.39,16.31,270.62,0.17,0.08,0.08,,493.15,1.56
Other Assets,5373.71,6049.74,6392.2,7282.29,8100.53,6899.58,6732.83,7178.83,7856.66,9945.76
Total,6821.65,7408.83,7731.2,8888.05,9076.9,7700.83,7590.5,8072.74,9318.23,11001.19
Receivables,3157.52,3390.93,2970.72,2764.1,1686.89,1947.54,1694.96,1883.84,2092.99,2544.3
Inventory,893.82,939.57,940.25,1153.55,927.85,861.73,840.83,1009.09,1420.66,1560.76
Cash & Bank,225.96,573.59,1189.16,1491.66,1475.07,1597.57,2206.57,2712.19,3149.08,4816.17
No. of Equity Shares,211908375,211908375,211908375,211908375,211908375,211908375,211908375,211908375,211908375,211908375
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Cash from Operating Activity,479,381.67,862.57,791.66,625.46,666.87,318.22,650.19,741.94,1351.48
Cash from Investing Activity,-147.66,-76.39,-68.37,-318.4,151.44,-397.64,443.07,-2008.22,1825.98,-3352.01
Cash from Financing Activity,-422.11,42.16,-178.83,-170.99,-793.69,-146.72,-152.25,-126.83,-140.15,-269.45
Net Cash Flow,-90.77,347.44,615.37,302.27,-16.79,122.51,609.04,-1484.86,2427.77,-2269.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
