COMPANY NAME,AAVAS FINANCIERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1550.8,,,,,,,,,
Market Capitalization,12306.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,103.68,190.88,305.13,493.54,709.97,902.29,1103.17,1304.36,1608.3,2017.5
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.29,0.4,0.66,1.19,2.14,2.47,2.7,2.99,4.17,
Other Mfr. Exp,0.15,0.24,0.95,19.73,26.74,24.68,30.68,40.28,48.04,
Employee Cost,15.28,29.55,43.21,111.97,117.7,147.78,173.34,233.55,301.9,355.91
Selling and admin,2.98,8.92,19.57,24.94,30.94,31.8,24.72,43.56,67.44,
Other Expenses,2.35,3.67,7.95,3.6,10.66,18.68,41.72,29.07,19.82,178.92
Other Income,0.08,0.02,0.36,0.91,1,0.8,2.16,1.2,1.84,2.8
Depreciation,1.02,1.28,2.77,5.63,9.72,19.56,20.6,23.76,28.72,32.66
Interest,52.74,96.88,142.82,193.09,255.37,356.07,458.24,477.5,591.05,828.36
Profit before tax,28.95,49.96,87.56,134.3,257.7,302.05,353.33,454.85,549,624.45
Tax,9.87,17.17,30.42,41.21,81.78,52.92,63.83,98.06,118.92,133.76
Net profit,19.08,32.78,57.14,93.09,175.91,249.12,289.5,356.8,430.07,490.69
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,342.58,365.03,352.79,394.75,411.26,449.5,466.81,496.66,508.01,546.02
Expenses,96.56,88.24,97.3,109.35,116.76,117.97,132.26,129.67,134.24,138.65
Other Income,0.29,0.22,0.09,0.33,0.71,0.71,0.04,0.78,1.19,0.78
Depreciation,5.74,7.25,6.23,6.92,6.9,8.68,7.28,7.63,8.65,9.1
Interest,125.05,123.67,134.68,141.02,150.35,165,186.63,203.6,216.57,221.56
Profit before tax,115.52,146.09,114.67,137.79,137.96,158.56,140.68,156.54,149.74,177.49
Tax,26.42,30.41,25.45,30.97,30.7,31.81,30.97,34.82,33.09,34.88
Net profit,89.11,115.67,89.22,106.82,107.27,126.75,109.71,121.72,116.65,142.62
Operating Profit,246.02,276.79,255.49,285.4,294.5,331.53,334.55,366.99,373.77,407.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,32.92,38.38,58.16,69.17,78.11,78.32,78.5,78.94,79.06,79.14
Reserves,68.52,165.44,508.16,1120.73,1758.85,2019.61,2322.9,2729.71,3190.61,3694.18
Borrowings,704.25,1446.77,1793.39,2755.05,3653.25,5382.17,6377.72,8011.98,9887.28,12398.31
Other Liabilities,46.69,60.19,90.96,95.15,136.62,176.96,180.93,199.75,253.59,347.82
Total,852.38,1710.78,2450.67,4040.1,5626.83,7657.06,8960.05,11020.38,13410.54,16519.45
Net Block,5.43,5.64,10.17,18.43,22.82,59.89,58.26,66.16,78.37,127.2
Capital Work in Progress,,,0.14,0.03,0.09,0.71,0.41,2.1,20.37,
Investments,,,0.78,4.5,4.5,4.5,4.5,67.52,123.08,182.16
Other Assets,846.95,1705.14,2439.58,4017.14,5599.42,7591.96,8896.88,10884.6,13188.72,16210.09
Total,852.38,1710.78,2450.67,4040.1,5626.83,7657.06,8960.05,11020.38,13410.54,16519.45
Receivables,,,,,,,,,,12.22
Inventory,,,,,,,,,,
Cash & Bank,11.12,234.9,275.77,564.96,679.15,1192.06,1120.96,1530.23,1381.63,1797.82
No. of Equity Shares,32916667,38383334,58739657,69950891,78107901,78322661,78504551,78936451,79056874,
New Bonus Shares,,,5366658,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,-590.8,-590.65,-932.91,-1276.08,-1172.26,-1070.7,-1135.91,-1910.2,-1986.59
Cash from Investing Activity,,-1,-15.38,-217.59,-327.19,-341.74,-265.22,-467.11,186.31,-646.8
Cash from Financing Activity,,816.08,639.73,1240.38,1404.44,1704.56,1007.59,1623.43,1858.26,2477.28
Net Cash Flow,,224.28,33.7,89.89,-198.82,190.56,-328.33,20.42,134.36,-156.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,1155.8,1188.85,2420.85,2569.45,1610.75,1315.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.29,3.84,5.82,6.92,7.81,7.83,7.85,7.89,7.9,7.91
