COMPANY NAME,AGI GREENPAC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,711.7,,,,,,,,,
Market Capitalization,4602.26,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1817.15,1959.35,2071.63,2249.51,1604.76,1859.07,1259.89,1429.7,2281.48,2420.88
Raw Material Cost,680.08,772.54,809.99,964.27,603.68,771.7,350.48,436.27,744.23,790.06
Change in Inventory,19.89,22.77,6.48,75.38,-7.27,81.9,-32.85,41.89,-17.89,50.26
Power and Fuel,283.24,235.41,248.43,284.37,353.62,357.42,246.19,332.33,477.57,462.99
Other Mfr. Exp,149.5,158.32,169.36,175.77,184.84,197.08,179.33,221.35,272,
Employee Cost,197.09,247.49,286.37,308.91,201.05,227.52,127.72,142.77,174.47,197.35
Selling and admin,196.38,195.33,233.19,270.76,55.7,63.22,32.52,45.28,87.37,
Other Expenses,-10.78,48.82,38.29,48.17,24.95,52.92,24.46,28.97,46.34,456.62
Other Income,3.52,13.22,1.37,2.92,39.03,20.25,-12.66,118.82,38.75,24.16
Depreciation,119.25,114.43,110.83,114.04,131.31,142.88,94.63,99.46,126.26,161.33
Interest,73.55,41.05,33.36,55.76,58.98,73.48,33.17,28.08,57.06,87.02
Profit before tax,152.25,181.95,149.66,105.76,22.39,75,125.88,255.9,317.04,339.93
Tax,48.1,65.67,46.64,31,7.12,26.58,37.83,62.6,55.4,88.6
Net profit,104.15,116.28,103.01,74.76,15.27,48.42,88.06,193.3,261.64,251.33
Dividend Amount,25.3,28.92,28.92,28.92,21.69,21.69,25.88,32.35,32.35,38.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,395.64,431.83,521.54,512.31,567.3,680.32,558.47,615.28,622.26,624.87
Expenses,317.65,360.33,431.28,427.42,457.75,503.46,426.91,481.12,472.07,476.66
Other Income,2.18,110.86,1.85,2.37,2.96,31.6,8.47,4.66,3.19,7.84
Depreciation,27.51,27.32,28.68,29.66,30.25,37.67,36.78,41.08,41.72,41.75
Interest,7.07,8.09,8.32,10.64,13.13,24.97,17.93,23.29,20.74,25.06
Profit before tax,45.59,146.95,55.11,46.96,69.13,145.82,85.32,74.45,90.92,89.24
Tax,17.09,19.36,-10.67,13,16.04,37.03,21.83,18.31,23.8,24.66
Net profit,28.5,127.59,65.78,33.96,53.09,108.79,63.49,56.14,67.12,64.58
Operating Profit,77.99,71.5,90.26,84.89,109.55,176.86,131.56,134.16,150.19,148.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,14.46,14.46,14.46,14.46,14.46,14.46,12.94,12.94,12.94,12.94
Reserves,1421.23,1372.94,1435.58,1474.81,1241.64,1242.42,1220.62,1379.14,1593.64,1801.67
Borrowings,751.43,622.45,911.26,1230.02,875.14,995.1,897.73,1163.32,731.57,616.13
Other Liabilities,494.72,643.85,726.32,755.62,706.97,616.41,724.73,724.09,781.35,926.22
Total,2681.84,2653.7,3087.62,3474.91,2838.21,2868.39,2856.02,3279.49,3119.5,3356.96
Net Block,1559.54,1513.74,1523.28,1681.07,1842.29,1819.68,1831.33,1529.08,1862.01,1969.82
Capital Work in Progress,33.54,62.53,151.58,209.38,116.77,33,30.52,303.97,141.5,52.39
Investments,144.49,32.62,139.59,34.55,20.07,11.73,11.12,20.93,10.64,29.31
Other Assets,944.27,1044.81,1273.17,1549.91,859.08,1003.98,983.05,1425.51,1105.35,1305.44
Total,2681.84,2653.7,3087.62,3474.91,2838.21,2868.39,2856.02,3279.49,3119.5,3356.96
Receivables,406.75,387.57,397.17,514.09,323.13,293.04,317.3,306.4,342.56,320.72
Inventory,435.71,490.06,492.5,564.3,290.67,407.98,436.14,301.62,327.56,396.74
Cash & Bank,23.96,18.83,143.82,239.75,39.34,47.5,23.41,58.62,279.25,360.95
No. of Equity Shares,72296395,72298395,72298395,72298395,72296395,72296395,64697381,64697381,64697381,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,266.4,310.06,204.52,57.74,249.61,106.76,348.76,180.76,522.52,588.39
Cash from Investing Activity,-96.14,-68.77,-328.31,-186.1,-284.51,-114.89,-107.58,-347.84,221.96,-351.65
Cash from Financing Activity,-205.01,-245.16,247.83,223.98,-62.53,-2.44,-262.38,203.11,-554.07,-234.65
Net Cash Flow,-34.74,-3.87,124.04,95.62,-97.43,-10.57,-21.2,36.04,190.41,2.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,134.55,83.1,104.46,110.84,74.8,40.35,153.6,295.9,323.8,726.5
,,,,,,,,,,
