COMPANY NAME,AIA ENGINEERING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,3800,,,,,,,,,
Market Capitalization,35743.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2078.87,2181.92,2097.38,2246.01,2445.14,3069.5,2969.98,2881.49,3566.55,4908.77
Raw Material Cost,726.81,860.63,672.58,847.36,987.19,1417.91,1115.9,1135.05,1842.37,2040.76
Change in Inventory,-69.59,99.03,-42.39,105.19,22.82,192.65,-57.57,-7.55,371.28,-25.06
Power and Fuel,175.86,226.31,211.16,241.8,252.14,338.04,300.95,286.7,328.52,376.59
Other Mfr. Exp,265.71,312.29,279.58,316.61,316.31,408.57,362.17,306.23,344.11,414.4
Employee Cost,88.89,98.17,102.5,106.78,113.23,126.47,134.49,133.63,139.51,152.05
Selling and admin,170.22,192.92,171.15,187.59,243.54,284.99,297.33,335.07,539.9,633.7
Other Expenses,76.19,2.01,4.82,12.22,15.93,22.38,16.81,15.96,17.68,20.83
Other Income,2.18,83.03,101.46,104.11,121.81,120.59,141.91,170.04,156.14,234.54
Depreciation,38.14,69.75,65.52,72.48,65.58,78.85,97.88,93.5,92.12,93.04
Interest,9.69,7.56,8.29,8.43,10.84,11.13,10.07,8.19,8.5,24.84
Profit before tax,459.95,594.34,640.85,662.04,585.01,694.4,718.72,729.65,781.26,1362.04
Tax,134.23,163.41,184.06,204.83,141.39,182.96,128.41,163.94,161.65,305.54
Net profit,324.97,430.94,456.87,456.77,443.35,510.83,590.36,566.12,619.68,1055.93
Dividend Amount,56.58,75.44,169.74,75.44,75.44,84.87,254.61,84.87,84.87,150.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,885.17,848.1,1093.33,1079.7,1328.66,1226.85,1273.57,1239.58,1294.8,1169.16
Expenses,723.24,686.9,867.41,832.52,1016.67,861.13,957.83,896.54,912.7,857.94
Other Income,35.72,42.3,38.75,20.64,32.14,117.95,63.81,59.51,62.32,83.86
Depreciation,21.75,24.91,21.29,20.8,24.56,24.44,23.25,24.25,24.51,26.99
Interest,0.81,2.52,-0.21,1.09,3.87,5.24,9.89,7.5,7.42,7.08
Profit before tax,175.09,176.07,243.59,245.93,315.7,453.99,346.41,370.8,412.49,361.01
Tax,37.1,37.55,49.58,54.47,70.79,101.53,78.75,98.28,88.41,81.1
Net profit,137.59,138.16,194.61,190.47,244.81,352.46,268.19,272.34,323.08,279.61
Operating Profit,161.93,161.2,225.92,247.18,311.99,365.72,315.74,343.04,382.1,311.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86
Reserves,1719.98,2064.74,2303.79,2698.39,2990.44,3494.84,3682.42,4225.45,4736.1,5672.46
Borrowings,120.61,98.63,183.77,140.2,123.3,128.11,126.71,192.94,9.83,502.55
Other Liabilities,373.45,366.57,278.25,332.67,425.92,390.92,333.52,320.75,360.53,436.6
Total,2232.9,2548.8,2784.67,3190.12,3558.52,4032.73,4161.51,4758,5125.32,6630.47
Net Block,388.65,551.44,672.21,670,671.11,844.65,889.66,811.43,790,1002.75
Capital Work in Progress,99.76,46.48,37.8,42.59,96.75,59.81,32.35,160.95,210.23,107.44
Investments,529.1,636.96,946.44,959.62,1091.86,1144.58,1418.49,808.58,1055.41,2254.32
Other Assets,1215.39,1313.92,1128.22,1517.91,1698.8,1983.69,1821.01,2977.04,3069.68,3265.96
Total,2232.9,2548.8,2784.67,3190.12,3558.52,4032.73,4161.51,4758,5125.32,6630.47
Receivables,431.48,393.75,430.45,494.83,600.2,706.38,648.19,638.47,800.15,860.84
Inventory,350.77,459.64,389.12,534.06,553.39,785.92,778.12,754.78,1226.01,1218.02
Cash & Bank,219.76,186.79,124.07,247.79,264.99,216.32,154.82,1395.45,506.1,805.99
No. of Equity Shares,94320370,94320370,94320370,94320370,94320370,94320370,94320370,94320370,94320370,94320370
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,451.69,307.04,594.99,230.57,294.18,189.7,679.13,598.46,-39.22,867.72
Cash from Investing Activity,-419.9,-256.75,-449.32,-16.12,-196.36,-162.43,-310.15,-351.32,101.31,-1211.95
Cash from Financing Activity,-91.16,-83.26,-208.39,-90.94,-158.26,-0.13,-428.79,66.54,-267.55,395
Net Cash Flow,-59.37,-32.97,-62.72,123.51,-60.44,27.15,-59.82,313.68,-205.47,50.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
