COMPANY NAME,APL APOLLO TUBES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1548.3,,,,,,,,,
Market Capitalization,42817.08,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2496.96,3089.57,4153.75,3923.9,5334.77,7152.32,7723.23,8499.75,13063.32,16165.95
Raw Material Cost,2263.86,2685.63,3575.7,3220.1,4624.39,6395.98,6711.96,7227.12,11160.08,14600.2
Change in Inventory,52.36,4.94,21.12,-12.3,76.06,88.3,135.67,62.32,-63.04,582.42
Power and Fuel,41.06,46.39,52.75,58.83,66.43,78.08,103.84,102.7,155.8,217.37
Other Mfr. Exp,21.71,25.09,42.33,52.76,48.72,58.07,81.97,90.54,102.66,129.09
Employee Cost,33.55,41.2,62.87,75.35,86.16,107.94,142.19,129.63,153.04,206.19
Selling and admin,11.72,160.02,203.49,153.82,184.52,198.55,328.97,313.32,462,542.05
Other Expenses,12.87,-45.48,-44.14,16.8,29.49,9.16,12.44,20.01,21.07,30.98
Other Income,1.78,4.46,-15.28,5,7.93,11.71,21.99,35.9,40.13,46.24
Depreciation,16.43,22.01,34.1,50.9,53.41,64.26,95.91,102.77,108.97,138.33
Interest,60.93,66.44,69.51,72.03,81.3,113.35,107.27,66.09,44.47,67.09
Profit before tax,88.97,97.67,162.98,216.01,244.34,226.94,296.34,545.79,832.32,863.31
Tax,29.99,33.92,62.42,63.9,86.21,78.69,40.34,138.09,213.34,221.45
Net profit,58.98,63.75,100.56,152.11,158.13,148.25,237.97,360.16,618.98,641.86
Dividend Amount,11.72,14.06,23.44,28.31,33.22,33.39,,,87.6,138.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3083.93,3230.38,4214.73,3438.55,3969.21,4327.1,4431.09,4544.9,4630.4,4177.76
Expenses,2861.73,3028.1,3948.61,3244.61,3737.34,4054.25,4108.19,4237.66,4305.39,3898.21
Other Income,11.35,7.91,11.01,8.32,11.6,9.3,17.96,21.67,19.61,15.02
Depreciation,27.28,27.24,27.93,29.36,27.62,34.54,46.81,40.92,41.34,47.08
Interest,10.69,10.89,10.09,9.99,13.59,18.63,24.89,27.14,26.62,28.5
Profit before tax,195.58,172.06,239.11,162.91,202.26,228.98,269.16,260.85,276.66,218.99
Tax,49.51,44.18,62.5,42.24,52.07,59.8,67.34,67.23,73.79,53.48
Net profit,146.07,127.88,163.01,120.67,150.19,169.18,201.82,193.62,202.87,165.51
Operating Profit,222.2,202.28,266.12,193.94,231.87,272.85,322.9,307.24,325.01,279.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,23.44,23.44,23.44,23.59,23.73,23.85,24.87,24.98,50.06,55.47
Reserves,401.78,471.66,544.11,679.77,814.12,940.21,1331.28,1669.68,2413.95,2950.14
Borrowings,504.8,482.18,650.55,594.36,775.12,858.13,834.45,520.47,581.22,873.01
Other Liabilities,220.23,345.44,442.32,546.86,568.21,951.69,1075.43,1183.82,1407.18,1973.01
Total,1150.25,1322.72,1660.42,1844.58,2181.18,2773.88,3266.03,3398.95,4452.41,5851.63
Net Block,420.02,614.08,666.18,669.82,885.82,1033.63,1708.37,1735.69,1837.36,2580.45
Capital Work in Progress,27.88,23.97,31.99,122.39,45.95,27.46,10.09,107.67,503.68,373.98
Investments,17.57,19.06,13.13,0.44,1.11,49.38,1.52,1.48,91.25,96.04
Other Assets,684.78,665.61,949.12,1051.93,1248.3,1663.41,1546.05,1554.11,2020.12,2801.16
Total,1150.25,1322.72,1660.42,1844.58,2181.18,2773.88,3266.03,3398.95,4452.41,5851.63
Receivables,249.43,175.25,220.14,294.87,432.13,543.31,476.36,130.59,341.7,137.44
Inventory,288.49,319.56,594.37,469.61,591.49,783.5,784.18,759.92,847.22,1479.87
Cash & Bank,10.08,18.82,1.35,1.57,6.8,47.8,45.61,357.93,376.42,352.47
No. of Equity Shares,23438640,23438636,23438636,23589955,23729805,23850381,24869015,124896000,250280500,277330814
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,132.71,314.8,11.3,315.35,91.37,357.64,509.55,977.11,651.71,690.07
Cash from Investing Activity,-127.88,-190.88,-92.68,-169.7,-165.37,-263.93,-434.63,-646.83,-530.13,-875.74
Cash from Financing Activity,-8.93,-124.32,80.88,-145.43,79.23,-53.03,-77.83,-358.55,26.03,144.63
Net Cash Flow,-4.1,-0.4,-0.5,0.22,5.23,40.68,-2.91,-28.27,147.61,-41.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
