COMPANY NAME,ACCELYA SOLUTIONS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1617,,,,,,,,,
Market Capitalization,2415.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00
Sales,316.74,302.82,340.98,367.4,382.53,433.02,412.03,290.37,368.4,469.36
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,3.11,2.91,3.12,3.19,3,3.29,3.1,2.02,1.49,1.48
Other Mfr. Exp,11.21,15.35,19.2,26.4,26.2,26.85,31.39,25.25,26.98,44.86
Employee Cost,120.75,129.07,141.93,141.9,146.27,149.54,142.33,128.78,141.92,151.61
Selling and admin,40.67,38.39,40.67,46.84,59.03,83.31,70.33,47.08,58.61,82.84
Other Expenses,3.95,2.26,3.2,4.17,-1.69,-0.15,11.58,1.7,5.16,3.07
Other Income,4.79,5.71,8.91,20.31,3.39,8.51,5.03,10.67,7.85,20.8
Depreciation,12.2,13.32,13.31,14.38,14.35,16.7,32.45,33.98,35.42,33.79
Interest,0.48,0.49,0.65,0.43,0.39,,5.55,4.45,3.43,2.07
Profit before tax,129.16,106.74,127.81,150.4,138.37,161.99,120.33,57.78,103.24,170.44
Tax,45.22,39.34,44.78,53.17,49.18,55.61,33.52,15.57,27.04,43.72
Net profit,83.93,67.4,83.02,97.25,89.18,106.38,86.81,42.2,76.19,126.72
Dividend Amount,73.16,53.75,67.18,76.14,68.68,47.78,14.93,77.64,92.57,97.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,87.22,92.79,103.11,115.26,112.14,119.46,122.5,127.29,124.75,130.99
Expenses,56.3,58.44,60.9,63.53,72.2,74.83,73.31,78.85,78.87,80.32
Other Income,1.91,1.97,1.99,1.76,2.27,13.57,3.2,2.02,2.03,-31.33
Depreciation,8.99,8.68,9.19,8.98,8.15,8.22,8.44,7.81,7.49,7.24
Interest,0.92,0.86,0.67,0.61,0.55,0.48,0.42,0.36,0.37,0.27
Profit before tax,22.92,26.78,34.34,43.9,33.51,49.5,43.53,42.29,40.05,11.83
Tax,5.95,6.96,9.17,10.79,8.3,13.21,11.42,10.77,9.11,11.63
Net profit,16.98,19.82,25.17,33.11,25.21,36.29,32.11,31.53,30.93,0.2
Operating Profit,30.92,34.35,42.21,51.73,39.94,44.63,49.19,48.44,45.88,50.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00
Equity Share Capital,14.93,14.93,14.93,14.93,14.93,14.93,14.93,14.93,14.93,14.93
Reserves,94.62,100.15,98.21,166.06,164.66,182.63,229.83,223.64,247.76,255.11
Borrowings,,,,,,,49.46,38.85,24.96,14.64
Other Liabilities,106.68,95.76,104.03,66.76,75.55,76.2,80.96,66.06,67.35,84.79
Total,216.23,210.84,217.17,247.75,255.14,273.76,375.18,343.48,355,369.47
Net Block,79.02,75.17,76.89,62.36,69.11,70.72,136.84,124.82,101.36,86.86
Capital Work in Progress,1.06,0.04,0.06,0.64,0.44,0.98,5.69,8.7,1.95,4
Investments,34.19,37.31,24.14,41.48,36.45,16.71,14.77,26.55,52.08,59.73
Other Assets,101.96,98.32,116.08,143.27,149.14,185.35,217.88,183.41,199.61,218.88
Total,216.23,210.84,217.17,247.75,255.14,273.76,375.18,343.48,355,369.47
Receivables,38.11,37.16,39.19,66.4,55.7,78.77,83.35,64,68.08,76.99
Inventory,,,,,,,,,,
Cash & Bank,22.95,21.79,26.77,24.27,28.01,25.59,60.49,50.74,64.43,56.05
No. of Equity Shares,14926866,14926866,14926866,14926866,14926866,14926866,14926866,14926866,14926861,14926261
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00
Cash from Operating Activity,104.02,66.28,79.97,92.62,111.29,86.93,130.92,86.66,118.25,133.47
Cash from Investing Activity,9.1,-7.6,-5.99,-25.99,-13.79,-3.36,-60.55,-11.17,-71.88,13.54
Cash from Financing Activity,-113.99,-56.96,-68.99,-73.04,-94.41,-86.36,-53.04,-66.27,-64.22,-132.43
Net Cash Flow,-0.87,1.73,4.99,-6.42,3.09,-2.79,17.32,9.22,-17.86,14.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,680.45,999.5,1144.95,1328,1163.8,862.7,920,1164.8,876.15,1323.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49
