COMPANY NAME,ADANI ENTERPRISES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,2766.65,,,,,,,,,
Market Capitalization,315448.03,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,64465.36,34008.38,36532.86,35923.92,40378.66,43402.56,39537.13,69420.18,136977.76,96420.98
Raw Material Cost,42515.78,28195.81,30945.16,30771.08,33821.4,34350.2,29791.08,57651.32,103239.89,51507.72
Change in Inventory,-295.09,-226.21,-36.38,772.74,499.99,-310.13,-456.74,3933.82,327.16,1116.49
Power and Fuel,30.62,7.5,7.42,2.91,5.74,12.22,13.4,58.98,18.43,
Other Mfr. Exp,4254.57,1705.69,1910.37,2204.89,2551.28,3115.25,4357.88,7793.57,14377.98,
Employee Cost,1151.79,528.99,511.48,568.97,657.18,683.28,830.36,1182.1,1879.22,2330.95
Selling and admin,3069.77,1358.01,1004.69,928.28,1230.62,1954.57,1306.48,2412.38,8136.44,
Other Expenses,697.84,302.58,215.13,182.82,643.09,682.52,275.54,542.05,824.98,32322.2
Other Income,791.64,1043.63,749.41,363.21,504.22,872.32,494.31,1012.11,828.04,1146.39
Depreciation,3521.86,314.45,315.46,663.92,389.77,472.06,537.14,1247.78,2436.14,3042.15
Interest,7056.29,1356.99,1257.31,1250.17,1625.07,1572.32,1376.85,2525.88,3969.98,4554.7
Profit before tax,2663.39,1055.78,1078.87,486.83,458.72,1122.33,1085.97,952.05,3249.9,4926.14
Tax,365.39,77.94,271.15,112.11,144.54,324.33,339.65,476.68,1040.96,1631.51
Net profit,1948.05,1010.72,987.74,757.25,717.14,1138.17,922.64,776.56,2472.94,3240.78
Dividend Amount,153.97,43.99,43.99,43.99,43.99,109.98,109.98,109.98,136.8,148.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,18757.87,24865.52,40844.25,38175.23,26612.23,28943.84,25438.45,22517.33,25050.23,29180.02
Expenses,17986.15,23603.08,39101.86,36305.88,24983.06,25337.18,22914.45,20087.21,21824.37,25984.58
Other Income,205.53,276.04,222.18,266.23,338.6,-14.52,371.49,460.7,491.07,-175.65
Depreciation,353.94,448.63,417.1,531.39,592.22,895.43,713.86,756.96,759.86,811.47
Interest,707.68,621.54,915,933.98,595.9,1524.74,1103.11,1342.84,596.56,1512.62
Profit before tax,-84.37,468.31,632.47,670.21,779.65,1171.97,1078.52,791.02,2360.51,695.7
Tax,13.79,213.3,221.74,231.31,142.99,449.32,360.36,397.8,442.84,430.12
Net profit,-11.63,304.32,469.46,460.94,820.06,722.48,673.93,227.82,1888.45,450.58
Operating Profit,771.72,1262.44,1742.39,1869.35,1629.17,3606.66,2524,2430.12,3225.86,3195.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,109.98,109.98,109.98,109.98,109.98,109.98,109.98,109.98,114,114
Reserves,25617.83,13267.63,14025.99,14979.19,14645.96,16836.59,17048.59,22146.53,32937.01,38962.09
Borrowings,83570.64,19169.35,20845.72,17636.69,11243.2,12419.3,16227.06,41604.03,53200.46,65310.15
Other Liabilities,21419.74,9132.42,12629.78,23679.48,16537.04,17509.19,18231.09,37725.82,55027.01,56345.61
Total,130718.19,41679.38,47611.47,56405.34,42536.18,46875.06,51616.72,101586.36,141278.48,160731.85
Net Block,83834.04,10473.3,13667.98,10555.19,9020.11,10476.46,10837.61,30122.77,56881.13,79226.82
Capital Work in Progress,6733.02,7704.94,7731.49,5525.87,5764.92,7346.73,8825.46,23544.42,24025.21,21930.98
Investments,744.11,804.95,1041.75,1460.72,1511.35,1952.49,5502.94,4292.21,6310.17,8700.69
Other Assets,39407.02,22696.19,25170.25,38863.56,26239.8,27099.38,26450.71,43626.96,54061.97,50873.36
Total,130718.19,41679.38,47611.47,56405.34,42536.18,46875.06,51616.72,101586.36,141278.48,160731.85
Receivables,15319.15,10187.46,12741.75,12098.77,14307.03,13146.53,11982.65,13712.19,12552.88,9792.93
Inventory,4081.68,1299.78,1651.9,2342.56,2668.82,2562.37,1757.04,6788.28,6918.05,9486.86
Cash & Bank,3651.04,1539.5,1715.09,1884.25,1709.28,3376.68,1810.82,3915.86,5373.69,7068.48
No. of Equity Shares,1099810083,1099810083,1099810083,1099810083,1099810083,1099810083,1099810083,1099810083,1140001121,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,8531.66,5112.01,774.07,2942.39,3235.92,2453.56,4043.31,1385.28,17626.46,10312.19
Cash from Investing Activity,-11464.74,-1825.17,-1459.77,-7648.85,2486.91,-1081.85,-8610.66,-17040.62,-15458.84,-19082.18
