COMPANY NAME,ADANI GREEN ENERGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1712.15,,,,,,,,,
Market Capitalization,270957.96,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,501.65,1480.28,2057.98,2549,3124,5133,7792,9220
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,-129.48,-19,-96,,,
Power and Fuel,,,1.42,1.6,2.32,2,,,8,
Other Mfr. Exp,,,10.26,539.3,63.67,547,624,1456,2027,
Employee Cost,,,39.05,43.71,59.69,107,38,36,42,77
Selling and admin,,,44.81,41.47,77.26,70,92,110,134,
Other Expenses,,,2.92,11.08,199.82,354,33,19,611,1846
Other Income,,,80.3,41.51,72.74,-111,391,507,667,994
Depreciation,,,333.27,542.99,1061.96,394,486,849,1300,1903
Interest,,,334.14,551.82,1121.18,995,1953,2617,2911,5006
Profit before tax,,,-183.92,-210.18,-584.66,-50,193,553,1426,1382
Tax,,,-137.68,-72.7,-113.16,11,11,64,453,411
Net profit,,,-46.67,-137.52,-473.91,-23,210,489,974,1100
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1400,1461,1635,1584,1971,2598,2162,2220,2311,2527
Expenses,357,489,687,718,1118,334,81,521,645,676
Other Income,71,111,66,100,216,265,178,353,264,199
Depreciation,260,274,280,298,330,392,451,474,481,497
Interest,813,667,458,498,617,1338,1393,1165,1242,1206
Profit before tax,41,142,276,170,122,799,415,413,207,347
Tax,-7,21,59,24,63,307,142,119,68,82
Net profit,49,121,214,149,103,508,322,372,256,150
Operating Profit,1043,972,948,866,853,2264,2081,1699,1666,1851
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,1273.9,1564.01,1564.01,1564,1564,1564,1584,1584
Reserves,,,-70.96,-222.61,369.33,792,636,1050,5720,8250
Borrowings,,,4346.57,9864.14,11142.49,14867,24209,52832,54223,64858
Other Liabilities,,,610.41,4503.04,1581.7,1201,2283,3508,5382,13846
Total,,,6159.92,15708.58,14657.53,18424,28692,58954,66909,88538
Net Block,,,4341.14,9120.01,10388.35,12554,16429,28452,48336,62288
Capital Work in Progress,,,266.99,1724.86,742.87,1208,4452,19899,5291,6423
Investments,,,26.47,87.02,77.16,477,502,574,1149,1515
Other Assets,,,1525.32,4776.69,3449.15,4185,7309,10029,12133,18312
Total,,,6159.92,15708.58,14657.53,18424,28692,58954,66909,88538
Receivables,,,336.47,848.22,757.89,740,1494,1809,2206,1342
Inventory,,,0.49,1692.29,135.88,104,29,17,52,291
Cash & Bank,,,186.75,456.92,361.47,695,1019,1593,1984,8764
No. of Equity Shares,,,1273900000,1376747807,1564014280,1564014280,1564014280,1564014280,1584032478,
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,27.78,648.65,1624.55,1965,1601,3127,7265,7713
Cash from Investing Activity,,,-1511.02,-4428.23,-2666.28,-3743,-9137,-18730,-3857,-21060
Cash from Financing Activity,,,1559.09,3942.02,1045.21,2161,7083,15986,-2973,13953
Net Cash Flow,,,75.85,162.45,3.48,383,-453,383,435,606
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,37.15,153.25,1104.85,1914.7,881.15,1835.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,127.39,137.67,156.4,156.4,156.4,156.4,158.4,158.4
