COMPANY NAME,ADANI TOTAL GAS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,878.55,,,,,,,,,
Market Capitalization,96456.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,1373.66,1718.96,1874.55,1695.6,3037.81,4378.19,4474.74
Raw Material Cost,,,,872.4,1087.21,1059.63,770.7,1938.53,3083.32,2848.32
Change in Inventory,,,,-0.64,-5.44,-0.34,1.08,8.87,-3.05,0.54
Power and Fuel,,,,26.8,32.29,35.39,27.1,54.24,83.29,
Other Mfr. Exp,,,,29.46,33.24,40.53,53.51,79.26,105.57,
Employee Cost,,,,38.91,42.07,47.8,51.79,55.1,56.14,66.71
Selling and admin,,,,33.89,57.81,90.41,81.03,134.16,160.8,
Other Expenses,,,,6.02,5.93,5.69,8.23,12.39,16.15,456.53
Other Income,,,,79.77,58.71,44.39,29.89,46.24,54.2,61.92
Depreciation,,,,61.01,67.31,50.7,62.52,82.73,113.1,157.88
Interest,,,,125.33,89.85,41.05,40.48,52.73,78.43,111.45
Profit before tax,,,,258.97,356.52,547.4,631.21,683.78,732.54,896.31
Tax,,,,94.39,127.81,111.16,159.26,174.38,186.05,228.81
Net profit,,,,161.97,228.7,436.32,462.82,509.4,546.49,667.5
Dividend Amount,,,,,27.5,27.5,27.5,27.5,27.5,27.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,883.27,1012.02,1042.35,1115.5,1105.56,1114.78,1056.06,1095.59,1156.14,1166.95
Expenses,679.95,880.88,823.8,889.29,875.62,925.58,808.32,815.66,868.11,878.93
Other Income,8.06,10.18,9.64,30.75,10.29,9.49,10.02,14.87,17.79,19.24
Depreciation,20.98,22.48,23.75,27.43,31.06,30.86,32.75,37.62,38.6,48.91
Interest,13.45,15.3,18.7,21.31,6.31,32.11,23.69,27.28,31.4,29.08
Profit before tax,176.95,103.54,185.74,208.22,202.86,135.72,201.32,229.9,235.82,229.27
Tax,45.37,27.75,47.37,48.2,52.67,37.81,51.1,57.22,59.18,61.31
Net profit,127.61,81.09,138.37,160.02,150.19,97.91,150.22,172.68,176.64,167.96
Operating Profit,203.32,131.14,218.55,226.21,229.94,189.2,247.74,279.93,288.03,288.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,256.74,109.98,109.98,109.98,109.98,109.98,109.98
Reserves,,,,759.43,991.97,1360.9,1823.83,2306.25,2830.98,3470.34
Borrowings,,,,1344.65,393.92,428.22,529.07,1035.16,1422.09,1557.25
Other Liabilities,,,,441.72,552.24,577.22,740.76,963.86,1282.25,1454.29
Total,,,,2802.54,2048.11,2476.32,3203.64,4415.25,5645.3,6591.86
Net Block,,,,896.72,980.18,1198.01,1379.3,1732.98,2334.75,3178.42
Capital Work in Progress,,,,101.83,190.47,342.06,696.48,1170.52,1618.76,1497.98
Investments,,,,179.74,175.97,281.56,417.33,633.92,682.26,706.12
Other Assets,,,,1624.25,701.49,654.69,710.53,877.83,1009.53,1209.34
Total,,,,2802.54,2048.11,2476.32,3203.64,4415.25,5645.3,6591.86
Receivables,,,,141.16,82.79,61.17,103.68,186.55,269.78,409.92
Inventory,,,,42.16,43.96,41.3,52.01,76.78,90.96,99.17
Cash & Bank,,,,24.48,159.76,89.47,10.87,34.32,371.84,456.11
No. of Equity Shares,,,,256742040,1099810083,1099810083,1099810083,1099810083,1099810083,
New Bonus Shares,,,,,,,,,,
Face value,,,,10,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,276.86,356.1,492.4,653.5,732.11,852.85,955.13
Cash from Investing Activity,,,,-987.65,791.01,-460.99,-770.5,-1132.98,-1166.59,-752.28
Cash from Financing Activity,,,,778.84,-1077.14,-102.04,38.61,421.77,294.65,-77.73
Net Cash Flow,,,,68.05,69.97,-70.63,-78.39,20.9,-19.09,125.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,128.7,86.35,961.25,2149.8,867.75,926.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,25.67,109.98,109.98,109.98,109.98,109.98,109.98
