COMPANY NAME,ADANI WILMAR LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,330.9,,,,,,,,,
Market Capitalization,43019.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,28797.46,29657.04,37090.42,54154.82,58184.81,51261.63
Raw Material Cost,,,,,24083.9,23981.48,32463.52,50528.32,50944.5,45250.7
Change in Inventory,,,,,-35.3,-469.75,945.1,1756.86,-1238.67,-24.11
Power and Fuel,,,,,352.31,367.46,397.44,516.09,638.92,
Other Mfr. Exp,,,,,1495.79,1499.22,1538.95,732.65,882.43,
Employee Cost,,,,,206.91,223.93,321.72,392.97,394.64,420.76
Selling and admin,,,,,1362.13,1618.41,1966.48,1872.72,2194.03,
Other Expenses,,,,,129.89,187.26,21.68,132.5,227.89,4430.8
Other Income,,,,,122.22,109.94,103.86,172.18,258.57,240.1
Depreciation,,,,,199.31,241.27,267.77,309.06,358.46,363.85
Interest,,,,,486.89,569.19,406.61,540.79,774.92,749.11
Profit before tax,,,,,567.25,609.01,755.21,1058.76,788.92,262.4
Tax,,,,,212.3,205.98,103.26,284.41,235.35,91.75
Net profit,,,,,375.52,460.87,728.51,803.73,582.12,147.99
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,14378.66,14917.26,14724.09,14150.03,15438.05,13872.64,12928.08,12267.15,12828.36,13238.04
Expenses,13875.01,14491.54,14281,13896.16,14832.83,13754.53,12797.68,12123.48,12324.17,12881.04
Other Income,27.16,62.57,52.3,59.17,77.5,313.04,66.1,10.54,59.24,104.22
Depreciation,81.3,83.48,85.58,90.1,90.96,91.82,93.51,95.74,95.4,79.2
Interest,143.22,106.53,149.55,163.36,251.92,210.09,170.67,220.23,187.08,171.13
Profit before tax,306.29,298.28,260.26,59.58,339.84,129.24,-67.68,-161.76,280.95,210.89
Tax,85.77,79.05,62.43,27.71,108.38,36.83,-7.97,-31.53,74.92,56.33
Net profit,211.41,234.29,193.59,48.76,246.16,93.61,-78.92,-130.73,200.89,156.75
Operating Profit,503.65,425.72,443.09,253.87,605.22,118.11,130.4,143.67,504.19,357
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,114.3,114.3,114.29,129.97,129.97,129.97
Reserves,,,,,1996.71,2456.4,3184.69,7476.4,8035.78,8186.02
Borrowings,,,,,1829.46,2300.28,3050.83,2701.11,2396.27,2627.5
Other Liabilities,,,,,7662.35,6914.87,6977.99,11009.79,10416.56,8863.04
Total,,,,,11602.82,11785.85,13327.8,21317.27,20978.58,19806.53
Net Block,,,,,3027.38,3757.86,3702.5,4600.85,4793.35,4930.27
Capital Work in Progress,,,,,570.39,324.89,530.53,275.18,323.96,869.53
Investments,,,,,147.03,206.02,332.07,362.05,392.12,311.59
Other Assets,,,,,7858.02,7497.08,8762.7,16079.19,15469.15,13695.14
Total,,,,,11602.82,11785.85,13327.8,21317.27,20978.58,19806.53
Receivables,,,,,1258.05,921.18,1515.14,2218.58,1931.41,1782.91
Inventory,,,,,4041.59,3826.43,4777.71,7716.52,7681.24,7203.8
Cash & Bank,,,,,1215.46,1432.1,1188.46,4494,3724.08,2809.58
No. of Equity Shares,,,,,114294886,114294886,114294886,1299678605,1299678605,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,1693.04,781.3,726.47,1197.86,663.3,288.92
Cash from Investing Activity,,,,,-933.67,-506.38,-483.8,-3786.11,523.52,142.16
Cash from Financing Activity,,,,,-762.27,-7.77,-531.42,2658.07,-919.06,-563.39
Net Cash Flow,,,,,-2.9,267.14,-288.75,69.82,267.76,-132.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,516.9,405.85,321.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,11.43,11.43,11.43,129.97,129.97,129.97
