COMPANY NAME,AETHER INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,824.1,,,,,,,,,
Market Capitalization,10907.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,0.85,0.33,24.43,108.7,201.18,301.81,449.81,590.04,651.07
Raw Material Cost,,0.7,0.15,17.27,57.39,114.23,175.25,213.21,339.24,364.03
Change in Inventory,,,,7.28,2.4,4.68,16.84,-5.77,70.49,62.28
Power and Fuel,0.01,0.13,0.08,3.04,9.73,12.97,18.02,26.86,51.87,55.56
Other Mfr. Exp,0.02,0.03,0.02,0.8,4.74,9.47,23.11,50.22,46.38,39.35
Employee Cost,0.56,1.49,0.29,5.21,9.2,11.77,15.11,25.2,33.14,38.24
Selling and admin,0.68,0.59,0.36,2.58,5.95,9.62,15.05,15.64,19.85,26.92
Other Expenses,0.03,0.05,0.07,0.46,0.86,0.3,0.35,0.74,1.94,3.01
Other Income,2.53,3.7,1.05,0.41,0.49,2.1,1.98,3.97,6.97,16.57
Depreciation,0.08,0.26,0.26,0.91,5.19,6.41,7.85,11.01,15.49,23.25
Interest,0.97,1.15,0.02,1.3,9.22,10.6,9.38,11.32,13.12,5.09
Profit before tax,0.18,0.15,0.13,0.55,9.31,32.59,56.51,93.81,146.47,174.47
Tax,0.07,0.04,0.04,1.65,1.55,9.26,16.55,22.69,37.54,44.06
Net profit,0.12,0.1,0.09,-1.09,7.77,23.34,39.96,71.12,108.93,130.42
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,141.24,151.28,147.5,160.01,140.15,167.13,183.78,161.11,164.17,155.36
Expenses,100.78,112.06,105.38,117.56,103.28,119.83,124.15,116.38,118.19,124.04
Other Income,3.21,2.38,0.2,6.16,6.42,3.4,0.59,2.64,15.18,6.43
Depreciation,3.36,4.18,4.07,4.51,5.44,6.4,6.89,9.23,9.67,10.24
Interest,3.2,3.64,3.09,2.87,0.61,0.44,1.17,1.17,1.64,2.06
Profit before tax,37.11,33.78,35.16,41.23,37.24,43.86,52.16,36.97,49.85,25.45
Tax,11.93,8.38,9.14,10.61,10.04,8.83,14.59,6.78,12.05,6.39
Net profit,25.18,25.4,26.02,30.62,27.2,35.04,37.56,30.2,37.8,19.06
Operating Profit,40.46,39.22,42.12,42.45,36.87,47.3,59.63,44.73,45.98,31.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,8.56,8.56,33.56,8.56,8.56,8.56,8.56,10.1,112.69,124.51
Reserves,0.1,0.2,0.29,-0.79,6.97,29.99,69.72,164.23,274.2,1120.1
Borrowings,40.07,35.17,27.52,85.54,100.53,101.49,147.34,211.27,290.73,15.72
Other Liabilities,1.12,0.64,3.54,44.04,42.53,66.63,74.85,67.34,92.2,119.58
Total,49.85,44.57,64.91,137.35,158.59,206.67,300.47,452.94,769.82,1379.91
Net Block,1.69,1.45,1.22,56.29,100.24,106.3,129.33,216.23,257.1,646.19
Capital Work in Progress,7.16,20.06,42.47,40.27,1.85,1.24,17.23,0.2,57.74,37.17
Investments,16.38,8.07,0.1,0.22,0.22,0.22,0.22,22.3,17.22,1.26
Other Assets,24.62,14.99,21.12,40.57,56.28,98.91,153.69,214.21,437.76,695.29
Total,49.85,44.57,64.91,137.35,158.59,206.67,300.47,452.94,769.82,1379.91
Receivables,,0.22,3.94,11.16,26.16,48.19,62.97,108.24,163.48,258.98
Inventory,,0.1,4,17.21,22.41,39.84,71.94,84.73,162.74,248.77
Cash & Bank,13.09,5.22,1.75,1.16,1.1,1.3,3.6,5.56,18.02,102.25
No. of Equity Shares,8560200,8560200,8560200,8560200,8560200,8560200,8560200,10098567,112691397,124510721
New Bonus Shares,,,,,,,,,100985670,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-0.9,-3.35,-6.38,-9.44,6.14,22.74,17.7,23.2,-5.44,-6.55
Cash from Investing Activity,-33.41,1.55,-14.43,-48.05,-10.63,-12.6,-48.01,-76.59,-150.94,-348.41
Cash from Financing Activity,47.31,-6.05,17.34,56.62,4.43,-9.95,32.62,55.36,168.84,439.19
Net Cash Flow,13,-7.85,-3.47,-0.87,-0.06,0.2,2.3,1.96,12.45,84.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,936.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.86,0.86,0.86,0.86,0.86,0.86,0.86,1.01,11.27,12.45
