COMPANY NAME,AJANTA PHARMA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,2410.05,,,,,,,,,
Market Capitalization,30355.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1473.56,1749.37,1983.26,2125.76,2055.37,2587.87,2889.69,3340.99,3742.64,4208.71
Raw Material Cost,358.08,463.1,425.21,455.63,440.09,672.46,795.95,915.44,1024.64,1105.78
Change in Inventory,-7.34,49.27,10.62,49.22,56.61,16.75,150.9,83.17,-25.76,39.21
Power and Fuel,12.91,15.49,18.7,27.42,32.65,38.88,43.7,54.38,65.71,
Other Mfr. Exp,55.72,77.9,100.69,140.76,112.39,125.15,119.49,170.38,185.62,
Employee Cost,200.58,256.64,295.42,376.7,434.78,489.88,555.11,656.66,792.18,900.34
Selling and admin,284.95,327.55,362.94,424.48,441.45,530.6,477.15,641.84,777.93,
Other Expenses,48.7,63.98,100.15,91.59,83.96,64.22,48.42,52.29,62.54,1069.86
Other Income,8.29,14.23,19.97,24.15,20.85,88.17,23.77,111.81,73.63,84.6
Depreciation,51.64,44.43,61.21,59.59,72.08,95.72,116.09,125.3,130.8,135.4
Interest,5.92,4.89,1.36,0.41,1.16,11.91,8.27,10.2,5.84,7.21
Profit before tax,456.01,558.89,648.17,622.55,514.27,663.97,900.18,909.48,745.25,1113.93
Tax,146.15,143.28,141.34,153.91,127.3,196.27,246.31,196.8,157.27,297.76
Net profit,309.86,415.61,506.83,468.64,386.97,467.7,653.87,712.68,587.98,816.17
Dividend Amount,53.04,70.76,114.98,,78.93,114.01,82.6,81.56,88.44,644.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,837.91,870.29,950.93,938.1,971.77,881.84,1021.04,1028.44,1105.15,1054.08
Expenses,598.33,663.6,729.17,741.76,802.22,732.47,749.72,737.78,791.08,775.76
Other Income,24.03,29.48,32.76,40.35,34.93,36.83,31.75,21.33,13.59,35.5
Depreciation,31.72,31.16,31.78,32.7,33.3,33.02,33.18,33.71,34.26,34.25
Interest,0.95,7.34,0.88,0.99,2.84,1.13,0.85,2.34,2.49,1.53
Profit before tax,230.94,197.67,221.86,203,168.34,152.05,269.04,275.94,290.91,278.04
Tax,39.16,46.46,47.24,46.4,33.83,29.8,60.92,80.64,80.88,75.32
Net profit,191.78,151.21,174.62,156.6,134.51,122.25,208.12,195.3,210.03,202.72
Operating Profit,239.58,206.69,221.76,196.34,169.55,149.37,271.32,290.66,314.07,278.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,17.68,17.69,17.69,17.69,17.54,17.54,17.39,17.17,25.27,25.27
Reserves,823.41,1173.17,1550,2023.68,2227.67,2581.33,2978.24,3247.17,3362.72,3542.09
Borrowings,72.38,81.35,1.28,1.8,35.96,74.96,31.36,25.03,35.63,35.28
Other Liabilities,232.88,207.17,254.28,382.81,383.2,619.46,701.63,710.66,1158.63,1035.75
Total,1146.35,1479.38,1823.25,2425.98,2664.37,3293.29,3728.62,4000.03,4582.25,4638.39
Net Block,288.09,450.74,589.17,1052.66,1178.23,1472.14,1541.11,1511.99,1496.44,1479.19
Capital Work in Progress,170.2,239.8,339.26,61.33,261.61,131.86,108.19,152.86,209.47,256.45
Investments,59.5,86.04,181.56,189.96,77.73,79.42,175.67,146.96,535.37,348.63
Other Assets,628.56,702.8,713.26,1122.03,1146.8,1609.87,1903.65,2188.22,2340.97,2554.12
Total,1146.35,1479.38,1823.25,2425.98,2664.37,3293.29,3728.62,4000.03,4582.25,4638.39
Receivables,258.76,372.35,323.15,459.79,459.48,775.3,738.43,1019.81,1056.9,1246.84
Inventory,159.03,204.58,211.02,350.63,435.71,495.68,766.47,791.07,815.63,828.36
Cash & Bank,136.76,43.37,69.95,93.09,100.51,205.25,209.61,211.79,330.9,130.77
No. of Equity Shares,88710000,88001250,88771500,88771500,88020270,88027770,87298270,86182270,126681155,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,279.42,326.15,609.29,281.12,374.51,456.77,576.31,561.71,791.78,785.07
Cash from Investing Activity,-158.36,-209.06,-383.12,-256.11,-222.78,-224.4,-282.38,-74.1,-559.6,65.39
Cash from Financing Activity,-105.19,-117.32,-201.77,-0.2,-147.46,-128.63,-318.29,-459.71,-107.87,-1051.06
Net Cash Flow,15.87,-0.23,24.4,24.81,4.27,103.74,-24.36,27.9,124.31,-200.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,819.33,939.43,1173.7,926.9,690.13,910.87,1194.6,1207.17,1208.8,2230.85
