COMPANY NAME,ALKYL AMINES CHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1999.4,,,,,,,,,
Market Capitalization,10196.69,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,476.37,483.59,500.64,616.18,846.4,992.88,1242.44,1541.99,1682.34,1440.61
Raw Material Cost,238.82,260.43,245.99,304.83,457.64,447.94,500.96,832.96,819.67,775.15
Change in Inventory,-5.64,8.5,-1.01,-10.41,20.89,-8.28,10.82,37.33,-3.68,7.59
Power and Fuel,51.54,51.64,51.27,63.85,88.13,96.06,92.89,162.98,218.72,
Other Mfr. Exp,37.69,22.54,40.45,42.23,55.49,58.67,75.84,83.58,84.92,
Employee Cost,31.18,34.72,37.24,41.99,54.23,72.11,97.25,93.91,102.09,95.15
Selling and admin,13.63,16.1,16.53,22.92,38.18,42.21,48.15,71.35,93.76,
Other Expenses,11.24,15.68,12.93,12.35,9.27,10.59,7.87,8.52,12.38,327.16
Other Income,1.86,2.42,1.06,1.99,3.95,39.85,5.79,14.13,9.93,15.05
Depreciation,11.35,12.89,14.29,15.67,23.34,26.91,29.06,34.75,45.17,58.92
Interest,10.23,8.03,8.06,8.15,14.77,10.25,6.33,3.28,3.32,4.4
Profit before tax,66.91,72.48,73.93,95.77,130.19,259.71,400.7,302.12,308.56,202.47
Tax,21.49,22.63,23.57,31.48,46.45,44.43,105.35,77.22,79.91,53.6
Net profit,45.42,49.85,50.36,64.29,83.74,215.28,295.34,224.9,228.66,148.87
Dividend Amount,8.17,20.42,10.21,14.29,16.34,40.84,51.05,51.1,51.15,51.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,376.66,425.44,473.4,408.74,388.35,412.48,409.79,352.15,322.05,356.62
Expenses,310.07,352.2,357.88,327.74,318.84,334.74,335.81,303.87,262.44,287.75
Other Income,4.57,3.62,4.26,2.46,4.52,2.03,5.48,2.35,4.62,2.61
Depreciation,7.9,11.6,11.77,11.17,10.65,11.59,12.18,12.53,16.78,17.43
Interest,1,0.63,0.56,0.94,0.74,1.08,0.89,1.67,1.12,0.71
Profit before tax,62.26,64.63,107.45,71.35,62.64,67.1,66.39,36.43,46.33,53.34
Tax,16.38,18.21,25.57,18.94,16.94,18.46,16.62,9.19,12.9,14.89
Net profit,45.88,46.42,81.88,52.41,45.7,48.64,49.77,27.24,33.43,38.45
Operating Profit,66.59,73.24,115.52,81,69.51,77.74,73.98,48.28,59.61,68.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.22,10.23,10.23
Reserves,164.61,189.26,235.36,286.95,354.79,526.39,782.24,979.58,1158.7,1256.91
Borrowings,134.56,111.45,120.06,181.26,165.33,86.58,46.94,22.73,85.49,3.17
Other Liabilities,92.65,95.47,146.57,158.63,218.19,160.21,306.09,358.88,335.85,313.31
Total,402.03,406.39,512.2,637.05,748.52,783.39,1145.48,1371.41,1590.27,1583.62
Net Block,150.54,187.13,220.09,355.17,376.43,423.48,458.04,628.95,718.73,1089.23
Capital Work in Progress,31.07,16.14,34.76,18.4,43.15,44.88,137.62,142.64,352.46,35.57
Investments,2.26,2.26,1.44,1.44,1.44,,30.24,,,
Other Assets,218.16,200.86,255.91,262.04,327.5,315.03,519.58,599.82,519.08,458.82
Total,402.03,406.39,512.2,637.05,748.52,783.39,1145.48,1371.41,1590.27,1583.62
Receivables,98.93,90.3,97.34,123.78,152.63,164.22,227.99,276.74,258.42,221.73
Inventory,70.54,63.16,111.41,85.18,105.69,83.67,122.04,164.61,183.85,171.97
Cash & Bank,7.86,4.27,2.96,3.23,20.17,32.26,126.04,62.57,18.23,31.37
No. of Equity Shares,20404192,20404192,20396392,20396392,20396392,20396392,20412711,51072447,51100628,
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,60.65,101.39,63.48,101.6,144.21,187.72,363.95,204.68,248.38,
Cash from Investing Activity,-30.73,-35.14,-64.87,-132.18,-66.79,-40.68,-212.59,-205.67,-277.05,
Cash from Financing Activity,-35.85,-68.18,-1.6,32.47,-60.32,-135.14,-86.45,-57.29,7.99,
Net Cash Flow,-5.94,-1.94,-2.99,1.89,17.1,11.9,64.91,-58.28,-20.68,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,125.82,124.66,180.96,237.62,333.2,481.32,2278.68,2858.55,2155.4,1813.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
