COMPANY NAME,AMBER ENTERPRISES INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3876.7,,,,,,,,,
Market Capitalization,13064.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,973.38,1230.26,1089.03,1651.86,2117.58,2751.99,3962.79,3030.52,4206.4,6927.1
Raw Material Cost,793.84,1019.03,864.9,1398.49,1729.88,2330.11,3325.23,2525.56,3524.88,5925.01
Change in Inventory,-4.06,5.64,6.4,27.51,-16.78,17.17,22.99,15.5,-4.78,57.25
Power and Fuel,14.07,17.91,14.89,20.42,21.64,27.57,33.43,25.06,35.8,57.13
Other Mfr. Exp,19.1,29.33,29.1,39.19,75.2,84.76,114.94,95.86,117.22,197.63
Employee Cost,32.03,33.53,36.53,43.66,46.97,59.05,106.89,102.33,150.6,212.65
Selling and admin,22.44,27.89,27.81,42.17,33.79,42.01,62.93,53.72,66.77,103.96
Other Expenses,13.35,6.06,8.39,4.57,9.44,11.75,29.75,17.23,27.95,66.31
Other Income,6.71,6.61,3.01,8.81,8.72,9.31,5.62,28.04,30.22,48.93
Depreciation,18.42,25.57,30.86,40.11,49.02,62.31,84.77,92.3,107.91,139.12
Interest,32.27,42.79,53.25,63.86,54.17,24.98,42.71,41.87,46.44,111.82
Profit before tax,30.51,40.4,32.71,35.71,89.41,135.93,190.75,120.13,154.27,219.65
Tax,8.31,11.63,8.61,13.56,27.09,41.15,26.6,36.86,42.95,55.88
Net profit,21.62,28.77,24.1,22.14,62.31,93.66,158.4,81.59,109.19,157.2
Dividend Amount,,,,5.01,,,10.06,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,587.48,974.29,1936.69,1825.73,750.44,1348.31,3002.62,1701.99,927.06,1294.76
Expenses,553.17,900.67,1811.4,1726.48,713.77,1269.79,2799.11,1570.07,867.5,1216.26
Other Income,8.14,8.62,9.38,12.85,12.18,8.94,18.69,19.31,12.75,5.21
Depreciation,26.23,27.08,30.24,32.15,31.81,36.32,38.84,43.29,45.22,46.56
Interest,6.4,12.32,18.57,21.08,24.36,28.93,37.46,45.26,36.57,36.85
Profit before tax,9.82,42.84,85.86,58.87,-7.32,22.21,145.9,62.68,-9.48,0.3
Tax,1.92,9.9,26.56,15.97,-5.02,7.13,37.8,16.08,-3.83,0.81
Net profit,7.43,32.12,57.22,42.05,-2.98,14.15,103.98,45.64,-6.95,-0.48
Operating Profit,34.31,73.62,125.29,99.25,36.67,78.52,203.51,131.92,59.56,78.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,21.7,21.7,21.7,23.81,31.45,31.45,31.45,33.69,33.69,33.69
Reserves,187.78,216.83,240.93,338.85,861.31,954.7,1096.96,1570.45,1700.52,1875.08
Borrowings,315.47,365.96,358.05,394.62,113.97,251.34,382.85,398.72,1068.57,1455.11
Other Liabilities,336.13,401.36,494.31,493.23,721.28,1133.25,1387.64,1581.66,2106.84,2876.39
Total,861.08,1005.85,1114.99,1250.51,1728.01,2370.74,2898.9,3584.52,4909.62,6240.27
Net Block,348.62,418.22,500.46,556.77,710.02,809.45,1105.82,1144.03,1505.13,2221.54
Capital Work in Progress,52.17,51.85,35.65,21.34,29.75,33.68,11.78,43.26,128.25,50.31
Investments,,,,,5.71,,,108.07,225.41,193.44
Other Assets,460.29,535.78,578.88,672.4,982.53,1527.61,1781.3,2289.16,3050.83,3774.98
Total,861.08,1005.85,1114.99,1250.51,1728.01,2370.74,2898.9,3584.52,4909.62,6240.27
Receivables,158.43,231.59,247.95,310.09,378.57,787.16,854.2,1068.99,1314.91,1763.09
Inventory,174.19,189.43,225.77,268.5,395.65,560.62,655.7,716.29,840.85,1091.28
Cash & Bank,50.64,28.9,18.36,35.24,133.81,44.67,120.27,289.93,562.59,559.45
No. of Equity Shares,21702788,21702788,21702788,23809825,31446540,31446540,31446540,33693731,33693731,33693731
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,80.85,152.19,141.73,127.03,-63.06,288.21,220.96,240.73,320.55
Cash from Investing Activity,,-86.54,-83.93,-84.47,-151.99,-110.67,-320.45,-481,-677.6,-488.76
Cash from Financing Activity,,0.77,-67.86,-46.48,127.78,93.17,63.4,369.99,555.49,192.81
Net Cash Flow,,-4.92,0.41,10.77,102.82,-80.56,31.16,109.95,118.62,24.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,1069.4,816.6,1230.45,3315.85,3523.25,1824.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
