COMPANY NAME,ANGEL ONE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2420.35,,,,,,,,,
Market Capitalization,21769.24,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,450.43,451.2,440.05,770.25,777.69,747.6,1288.69,2291.9,3002.3,4271.68
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,6.91,7.37,6.44,5.65,5.4,4.73,1.79,1.64,1.39,
Other Mfr. Exp,12.03,15.81,18.83,21.08,3.37,253.79,400.36,621.87,769.2,
Employee Cost,93.01,111.63,135.14,124.5,161.95,160,172.08,281.3,398.43,556.46
Selling and admin,58.39,210.51,270.38,354.29,129.72,100.74,207.81,440.47,495.11,
Other Expenses,168.43,16.28,6.16,10.46,274.49,45.2,44.24,20.26,43.72,2023.71
Other Income,11.29,11.02,112.26,13.64,11.43,2.06,8.24,4.72,18.33,8.04
Depreciation,10.28,13.01,13.52,14.53,20,20.92,18.36,18.64,30.26,49.93
Interest,38.41,35.66,53.93,94.69,69.76,49.96,42.32,75.98,90.94,135.95
Profit before tax,74.26,51.95,47.91,158.69,124.43,114.32,409.97,836.46,1191.58,1513.67
Tax,27.3,20.22,16.89,50.76,44.59,31.98,113.11,211.65,301.63,388.14
Net profit,46.95,31.72,31.01,107.93,79.83,82.35,296.86,624.81,889.95,1125.53
Dividend Amount,6.32,8.04,9.76,97.92,19.44,19.44,105.23,224.55,332.43,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,597.32,680.81,682,745.3,748.6,825.74,807.5,1047.9,1059.05,1357.28
Expenses,361.37,384.43,415.6,428.9,424.3,440.01,487.2,604.5,661.09,827.43
Other Income,7.87,2.62,2.4,0.5,11.1,5.29,3.6,1.4,1.78,1.25
Depreciation,4.83,5.23,6.4,6.9,8,8.93,8.9,11.2,13.09,16.69
Interest,18.26,19.52,19.8,24.4,25.5,20.54,18.3,26.4,35.63,55.64
Profit before tax,220.73,274.25,242.6,285.6,301.9,361.55,296.7,407.2,351.02,458.77
Tax,56.19,69.56,61.1,72.1,73.9,94.64,75.9,102.7,90.71,118.83
Net profit,164.55,204.69,181.5,213.5,228,266.91,220.8,304.5,260.31,339.94
Operating Profit,235.95,296.38,266.4,316.4,324.3,385.73,320.3,443.4,397.96,529.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,14.36,14.36,14.36,72,72,72,81.83,82.86,83.42,84.01
Reserves,332.39,354.94,375.07,402.95,459.44,519.42,1049.17,1501.52,2078.14,2954.6
Borrowings,332.71,358.5,771.94,1124.98,871.82,490.88,1171.47,1257.74,787.19,2541.12
Other Liabilities,294.74,411.08,641.44,767.49,805.26,1107.88,2511.37,4377.82,4528.92,7674
Total,974.2,1138.88,1802.81,2367.42,2208.52,2190.18,4813.84,7219.94,7477.67,13253.73
Net Block,121.12,121.88,122.78,115.8,133.97,124.06,114.83,151.83,186.53,409.38
Capital Work in Progress,0.88,3.1,0.64,,0.57,2.09,0.18,12,61.63,
Investments,,,49.52,5.62,14.91,35.27,5.54,18.65,109.47,
Other Assets,852.2,1013.9,1629.87,2246,2059.07,2028.76,4693.29,7037.46,7120.04,12844.35
Total,974.2,1138.88,1802.81,2367.42,2208.52,2190.18,4813.84,7219.94,7477.67,13253.73
Receivables,268.45,445.93,858.15,158.46,214.64,39.03,227.7,565.32,374.87,486.95
Inventory,0.09,0.15,0.18,0.06,0.05,0.05,,,,
Cash & Bank,358.41,437.61,617.58,927.38,985.97,1413.56,1877.45,4874.96,5491.08,9844.29
No. of Equity Shares,14364175,14364175,14364175,71995003,71995003,71995003,81826507,82858722,83419741,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,10.58,-77.44,-209.97,-309.49,,643.3,-1198.67,557.55,803.25,-329.9
Cash from Investing Activity,-7.14,-13.21,-49.52,47.41,,-28.13,24.8,-52.35,-185.11,-91.05
Cash from Financing Activity,1.88,39.59,350.33,238.89,,-448.89,894.12,-165.13,-907.18,1330.88
Net Cash Flow,5.32,-51.05,90.84,-23.19,,166.27,-279.75,340.06,-289.05,909.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,291.2,1536.75,1162.85,3045
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.44,1.44,1.44,7.2,7.2,7.2,8.18,8.29,8.34,8.4
