COMPANY NAME,ARVIND FASHIONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,4,,,,,,,,,
Current Price,456.15,,,,,,,,,
Market Capitalization,6078.51,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,1292.19,4218.9,4643.86,3613.57,1911.91,3056.04,4421.08
Raw Material Cost,,,,943.44,1575.32,2744.92,2077.1,626.66,1764.09,2442.78
Change in Inventory,,,,247.59,-403.59,456.2,84.83,-491.56,54.28,151.09
Power and Fuel,,,,12.05,35.95,43.31,36.79,8.19,10.59,14.78
Other Mfr. Exp,,,,223.38,645.76,414.59,359.5,246.58,348.25,444.86
Employee Cost,,,,111.58,366.97,407.84,313.17,204.81,236.79,268.65
Selling and admin,,,,166.31,904.24,1145.09,615.2,314.59,525.43,886.3
Other Expenses,,,,9.33,45.32,50.54,72.92,18.72,33.32,42.73
Other Income,,,,2.06,4.83,3.63,-1.5,-134.43,-66.82,48.65
Depreciation,,,,42.96,138.95,153.16,420.66,237.84,233,238.73
Interest,,,,34.03,96.06,131.36,278.18,182.66,134.53,154.92
Profit before tax,,,,-1.24,11.57,12.88,-476.62,-554.13,-242.5,127.07
Tax,,,,-16.24,-1.35,-8.6,-77.43,41.86,-5.8,40.11
Net profit,,,,15,14.47,16.61,-400.74,-579.78,-267.4,36.71
Dividend Amount,,,,,,,,,,13.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,812.11,1007.99,916.7,920.32,1181.81,1072.78,1140.01,957.16,1173.54,1125.05
Expenses,755.96,911.12,843.65,828.46,1065.66,960.9,1015.99,851.89,1034.72,981.94
Other Income,-53.63,8.91,20.98,2.15,20.04,11.38,13.48,10.92,0.3,35.56
Depreciation,58.2,56.71,61.03,52.93,58.62,54.93,63.71,62.92,54.85,61.5
Interest,35.75,27.07,22.95,27.86,32.47,34.26,39.09,38.84,36.09,38.27
Profit before tax,-91.43,22,10.05,13.22,45.1,34.07,34.7,14.43,48.18,78.9
Tax,2.79,4.37,-12.33,5.05,17.02,11.88,6.17,18.96,11.15,13.96
Net profit,-97.59,6.31,0.78,-0.51,18.22,8.09,10.92,-16.43,21.66,51.08
Operating Profit,56.15,96.87,73.05,91.86,116.15,111.88,124.02,105.27,138.82,143.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,21.74,23.17,23.2,23.47,42.43,52.97,53.13
Reserves,,,,636.3,1036.61,1106.21,573.83,479.55,697.28,856.51
Borrowings,,,,604.18,744.68,824.12,2162.16,1754.92,957.86,1265.03
Other Liabilities,,,,946.19,1371.11,1570.81,1673.45,1424.33,1558.49,1497.35
Total,,,,2208.41,3175.57,3524.34,4432.91,3701.23,3266.6,3672.02
Net Block,,,,340.45,531.96,537.46,1234.16,1044.87,661.33,864.94
Capital Work in Progress,,,,,0.64,11.44,1.44,0.4,,2.1
Investments,,,,82.14,0.02,0.02,,,,
Other Assets,,,,1785.82,2642.95,2975.42,3197.31,2655.96,2605.27,2804.98
Total,,,,2208.41,3175.57,3524.34,4432.91,3701.23,3266.6,3672.02
Receivables,,,,250.05,784.48,878.72,781.35,625.61,571.71,559.51
Inventory,,,,943.58,727.29,1184.16,1305.83,810.01,830.81,981.9
Cash & Bank,,,,23.13,28.43,12.07,11.63,18.86,104.96,200.31
No. of Equity Shares,,,,108708200,115851454,57994673,58679364,113487487,132461813,132825660
New Bonus Shares,,,,,,,,,,
Face value,,,,2,2,4,4,4,4,4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,-145.64,-77.78,175.09,205.69,-69.65,300.12,317.27
Cash from Investing Activity,,,,-702.81,-144.87,-131.83,-117.66,-48.8,-8.51,-28.49
Cash from Financing Activity,,,,854.79,226.21,-45.94,-85.33,112.78,-209.21,-197.68
Net Cash Flow,,,,6.35,3.56,-2.68,2.7,-5.67,82.4,91.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,775.1,143.09,138.95,283.85,279.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,11.21,11.35,11.35,13.24,13.28
