COMPANY NAME,ASIAN PAINTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,2710.1,,,,,,,,,
Market Capitalization,259865.37,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,13615.26,14271.49,15061.99,16824.55,19240.13,20211.25,21712.79,29101.28,34488.59,35494.73
Raw Material Cost,6874.83,6569.83,7452.6,8128.17,9974.4,9981.99,10425.55,17123.25,18985.53,19726.41
Change in Inventory,148.07,-199.33,528.6,-142.13,293.26,239.15,92.45,1324.97,309.73,-363.8
Power and Fuel,130.68,114.48,106.02,110.3,119.63,97.79,86.05,117.23,138.29,
Other Mfr. Exp,1504.47,1535.22,1662.75,1691.68,1862.35,1946.12,2068.31,2880.45,2916.2,
Employee Cost,936.86,994.98,1039.89,1121.89,1242.69,1371.27,1547.61,1794.61,2036.41,2326.18
Selling and admin,3351.66,3912.3,4364.04,2254.92,2366.87,2311.51,2245.69,2941.98,3500.84,
Other Expenses,-1278.06,-1779.69,-2028.47,171.45,202.51,584.9,576.43,765.12,961.21,5493.36
Other Income,142.14,213.39,337.9,336.41,273.77,355.05,331.65,295.88,431.46,820.96
Depreciation,265.92,275.58,334.79,360.47,622.14,780.5,791.27,816.36,858.02,853
Interest,42.24,49,37.33,41.47,110.47,102.33,91.63,95.41,144.45,205.17
Profit before tax,2076.87,2613.85,2959.54,3138.48,3306.1,3629.04,4304.35,4187.72,5688.83,7347.77
Tax,649.54,844.49,943.29,1040.96,1098.06,854.85,1097.6,1102.91,1493.5,1790.08
Net profit,1395.15,1745.16,1939.43,2038.93,2155.92,2705.17,3139.29,3030.57,4106.45,5460.23
Dividend Amount,585.11,719.4,987.98,834.5,1007.16,1151.04,1712.17,1836.87,2460.35,3194.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,8527.24,7892.67,8606.94,8457.57,8636.74,8787.34,9182.31,8478.57,9103.09,8730.76
Expenses,6984.93,6449.38,7050.99,7229.87,7025.31,6922.58,7061.02,6762.34,7047,7039.39
Other Income,86.77,-26.38,87.52,117.56,122.21,104.17,227.74,194.33,186.46,212.43
Depreciation,207.91,205.11,208.1,215.7,214.05,220.17,198.32,208.72,220.35,225.61
Interest,27.45,22.62,28.75,35.4,41.39,38.91,45.75,50.9,54.42,54.1
Profit before tax,1393.72,1189.18,1406.62,1094.16,1478.2,1709.85,2104.96,1650.94,1967.78,1624.09
Tax,362.43,315.13,370.59,290.33,381.14,451.44,530.12,418.55,492.62,348.79
Net profit,1015.69,850.42,1016.93,782.71,1072.67,1234.14,1550.37,1205.42,1447.72,1256.72
Operating Profit,1542.31,1443.29,1555.95,1227.7,1611.43,1864.76,2121.29,1716.23,2056.09,1691.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.92,95.92
Reserves,4646.44,6428.9,7507.97,8314.31,9374.63,10034.24,12710.37,13715.64,15896.31,18632.38
Borrowings,418.17,323.29,560.34,533.43,1319.6,1118.5,1093.12,1586.88,1932.62,2474.38
Other Liabilities,3753.97,3710.92,4240.96,4819.82,5458.69,4889.31,6455.93,7559.99,7854.48,8721.41
Total,8914.5,10559.03,12405.19,13763.48,16248.84,16137.97,20355.34,22958.43,25779.33,29924.09
Net Block,2660.04,3416.35,3303.74,3732.24,6496.56,6272.31,5858.52,5519.06,5770.46,7146.62
Capital Work in Progress,196,106.59,257.54,1405.11,209.67,140.24,182.98,426.43,1019.59,2698.37
Investments,1587.79,2712.13,2651.99,2140.7,2568.58,2018.85,4736.8,3247.53,4261.71,4587.92
Other Assets,4470.67,4323.96,6191.92,6485.43,6974.03,7706.57,9577.04,13765.41,14727.57,15491.18
Total,8914.5,10559.03,12405.19,13763.48,16248.84,16137.97,20355.34,22958.43,25779.33,29924.09
Receivables,1182.07,1186.84,1446.6,1730.63,1907.33,1795.22,2602.17,3871.44,4636.94,4889.05
Inventory,2258.52,1998.24,2626.94,2658.31,3149.86,3389.81,3798.6,6152.98,6210.64,5923.41
Cash & Bank,204.39,424.2,801.21,404.65,444.88,782.83,610.75,864.33,843.82,1084.01
No. of Equity Shares,959197790,959197790,959197790,959197790,959197790,959197790,959197790,959197790,959197790,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1187.69,2242.95,1527.33,2113.44,2469.54,3038.15,3683.35,986.49,4193.43,
Cash from Investing Activity,-464.99,-866.21,-681.11,-1556.14,-917.79,-517.91,-540.54,-316.75,-1282.34,
