COMPANY NAME,ASTER DM HEALTHCARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,343.85,,,,,,,,,
Market Capitalization,17178.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2871.15,3875.84,5249.89,5931.29,6721.16,7962.71,8651.88,8608.43,10253.28,11932.88
Raw Material Cost,1047.73,1337.77,1723.04,2002.16,2160.43,2524.97,2768.05,2436.95,3068.46,3811.75
Change in Inventory,42.33,115.6,99.89,114.84,101.49,105.13,228.79,-111.96,176.69,279.93
Power and Fuel,29.05,39.18,56.63,71.84,86.31,101.38,111.84,107.73,120.28,148.95
Other Mfr. Exp,28.35,306.69,413.24,636.95,735.91,851.14,1010.91,1209.43,1476.16,1606.16
Employee Cost,791.12,1153.58,1628.98,2054.5,2271.13,2688.18,2903.93,2755.36,3264.46,3965.22
Selling and admin,399.69,587.66,976.24,596.33,630.56,661.17,439.71,437.08,514.77,673.52
Other Expenses,166.96,60.37,106.53,335.18,306.04,164.11,181.07,447.2,452.76,381.49
Other Income,18.67,23.08,24.92,452.52,177.37,-155.13,-158.39,53.49,51.2,79.47
Depreciation,111.12,143.96,243,322.44,297.74,306.47,585.94,617.57,640.58,780.44
Interest,47.84,79.05,189.41,370.88,204.13,205.04,390.79,333.59,306.85,389.67
Profit before tax,310.29,306.26,37.63,108.37,307.77,410.25,330.04,205.05,636.85,535.08
Tax,26.72,34.15,29.41,10.83,26.08,42.94,15.38,27.22,35.8,59.59
Net profit,177.78,272.11,8.21,101.76,268.88,333.11,276.61,147.74,525.99,424.91
Dividend Amount,62.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2504.34,2649.56,2727.79,2662.12,2816.3,3192.14,3262.32,3215.37,3316.63,3710.61
Expenses,2161.53,2252.5,2267.34,2370.41,2497.5,2743.47,2756.73,2834.97,2946.64,3154.92
Other Income,10.13,12.09,21.98,37.27,18.42,9.52,14.76,9.2,-46.05,7.95
Depreciation,156.35,160.88,170.37,174.96,189.37,197.51,218.6,217.46,227.16,231.54
Interest,61.39,66.93,62.24,68.8,77.21,87.24,95.97,98.89,101.94,98.64
Profit before tax,135.2,181.34,249.82,85.22,70.64,173.44,205.78,73.25,-5.16,233.46
Tax,7.58,13.14,4.19,5.45,16.54,14.41,23.19,53.4,10.17,24.24
Net profit,106.91,148.34,226.27,68.54,46.21,139.39,170.77,4.9,-30.79,179.21
Operating Profit,342.81,397.06,460.45,291.71,318.8,448.67,505.59,380.4,369.99,555.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,374.53,388.64,403.05,403.22,505.23,505.23,496.8,497.04,499.52,499.52
Reserves,536.01,1095.76,16.57,1472.19,2326.87,2708.53,2775.34,2875.42,3079.51,3574.17
Borrowings,885.86,1090.66,3320.57,2757.69,2351.57,2788.44,5604.68,4803.65,4907.13,5700.3
Other Liabilities,1097.28,1834.29,2002.81,2171.15,2295.67,2925.91,3528.5,3443.91,4035.08,5061.64
Total,2893.68,4409.35,5743,6804.25,7479.34,8928.11,12405.32,11620.02,12521.24,14835.63
Net Block,1087.35,2236.95,2507.48,3519.69,3738.27,4288.57,7123.59,6748.93,7008.63,9052.41
Capital Work in Progress,357.45,197.36,358.13,289.76,401.74,549.98,735.97,933.86,997.74,278.96
Investments,6.68,2.72,38.76,32.32,37.74,22.11,34.35,62.86,44.83,79.55
Other Assets,1442.2,1972.32,2838.63,2962.48,3301.59,4067.45,4511.41,3874.37,4470.04,5424.71
Total,2893.68,4409.35,5743,6804.25,7479.34,8928.11,12405.32,11620.02,12521.24,14835.63
Receivables,677.47,884.31,1342.26,1287.62,1546.39,2028.7,2366.44,2019,2020.52,2336.31
Inventory,196.16,310.82,410.7,525.54,627.02,732.16,960.95,848.99,1025.68,1305.62
Cash & Bank,324.74,304.18,266.67,152.07,299.78,341.14,177.12,281.36,379.61,428.56
No. of Equity Shares,374531000,388638000,403052000,403220000,505200000,505200000,496800000,497000000,499500000,499500000
New Bonus Shares,252772938,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,235.53,202.66,360.79,537.35,600.92,1223.25,1569.12,1314.04,1833.98
Cash from Investing Activity,,-438.66,-775.38,-1136.25,-522.4,-702.41,-658.37,-333.09,-563.26,-950.85
Cash from Financing Activity,,202.53,577.73,653.8,45.68,134.42,-674.8,-1116.13,-686,-817.39
Net Cash Flow,,-0.6,5.01,-121.66,60.63,32.93,-109.92,119.9,64.78,65.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
