COMPANY NAME,ASTRAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,2072.05,,,,,,,,,
Market Capitalization,55671.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1056.9,1410.48,1677.8,1894.67,2072.92,2507.3,2577.9,3176.3,4394,5158.5
Raw Material Cost,805.25,1036.19,1230.95,1306.19,1402.08,1689.8,1665.6,1919.7,3061.4,3422.6
Change in Inventory,32.63,-13.28,29.71,2.7,18.71,42.1,69.9,-49.2,133.4,-12.1
Power and Fuel,20.45,28.88,36.01,43.54,53.25,65.3,70.3,64.3,77.7,101.9
Other Mfr. Exp,24.4,24.9,37.56,41.47,45.22,54.9,62.4,64.9,87.7,115.2
Employee Cost,24.45,48.07,75.07,88.79,106.58,139.2,175.4,191.3,245.6,319.6
Selling and admin,74.93,103.98,110.34,145.48,157.65,200.9,214.1,227.6,278.9,345.2
Other Expenses,-15.17,-13.12,10,10.58,12.71,17.7,17.9,21.7,22.6,32.3
Other Income,2.34,3.09,-4.05,8.01,12.68,15.1,11.3,25,34.8,36.7
Depreciation,21.91,36.42,41.79,50.2,57.13,81.4,107.9,116.5,126.9,178.1
Interest,31.12,25.45,30.24,18.4,21.58,31.9,39.4,13.1,12.9,40
Profit before tax,104.53,109.52,131.5,200.73,248.11,283.4,306.1,533,648.5,628.2
Tax,25.23,31.34,29.56,56.16,72.45,86.1,56.5,124.8,158.1,155.7
Net profit,78.91,75.89,100.95,144.68,175.09,195.8,247.9,404.4,483.8,456.6
Dividend Amount,3.65,4.44,4.79,7.19,7.19,8.4,15.1,40.2,60.3,94.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1199.9,1102.7,1390.6,1212.9,1171.6,1267.8,1506.2,1283.1,1363,1370.2
Expenses,988.4,905.1,1175.7,1042.3,1027.6,1081.4,1198.8,1081.5,1142.9,1165.1
Other Income,8,6.2,16.4,13.7,13.9,-1.7,12,12.1,13.4,6.4
Depreciation,31.4,32.1,32.8,43.3,44.8,45.5,44.5,46.3,48.7,50.1
Interest,1.1,2,5.2,13.3,14,9.4,3.3,5.8,8,7.5
Profit before tax,187,169.7,193.3,127.7,99.1,129.8,271.6,161.6,176.8,153.9
Tax,43.7,41.8,49.2,31.6,24.1,34.6,65.4,42.3,45.1,40.6
Net profit,141.2,127.3,141.4,88.9,69.1,93,205.7,119.8,131.2,113.5
Operating Profit,211.5,197.6,214.9,170.6,144,186.4,307.4,201.6,220.1,205.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11.24,11.84,11.98,11.98,11.98,12,15.1,20.1,20.1,26.9
Reserves,304.08,606.94,696.38,834.87,1006.26,1265.7,1487.8,1875.7,2316.5,2684.3
Borrowings,141.95,202.64,196.56,228.97,189.08,275.3,191,80.2,98.3,87.1
Other Liabilities,237.1,343.89,396.53,385.79,467.7,546.1,595.2,696.7,952,1563.8
Total,694.37,1165.31,1301.45,1461.61,1675.02,2099.1,2289.1,2672.7,3386.9,4362.1
Net Block,289.3,556.84,645.08,741.2,842.47,1105.4,1254.9,1314.5,1496,1950.5
Capital Work in Progress,8.2,26.83,14.94,24.98,73.13,80.8,44.4,56.6,123.2,126.1
Investments,,,,,,0.2,0.2,,,
Other Assets,396.87,581.64,641.43,695.43,759.42,912.7,989.6,1301.6,1767.7,2285.5
Total,694.37,1165.31,1301.45,1461.61,1675.02,2099.1,2289.1,2672.7,3386.9,4362.1
Receivables,145.08,232.72,227.12,338.5,306.73,339.1,227.8,276.7,269.1,354.5
Inventory,194.97,265.55,277.32,272.1,357.24,397,540.4,472.1,733.4,874.6
Cash & Bank,0.96,11.52,49.92,18.19,43.65,98.1,130.1,476,641.8,682.1
No. of Equity Shares,56190280,118365079,119750283,119766565,119766565,119806565,150662206,200907768,200907768,268611572
New Bonus Shares,,,,,,,30132441,,,
Face value,2,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,67.43,116.98,225.75,114.19,281.85,342,405.4,664.1,543.1,556.9
Cash from Investing Activity,-91.13,-343.49,-202.92,-157.98,-185.27,-291.3,-317.7,-454.1,71.5,-478.1
Cash from Financing Activity,13.14,237.07,15.65,12.05,-71.11,-5,-163,-153.2,-44,-190.6
Net Cash Flow,-10.56,10.56,38.48,-31.73,25.46,45.7,-75.3,56.8,570.6,-111.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,104.87,201.54,185.36,246.45,401.92,522.86,526.98,1212.64,1517.21,1337
,,,,,,,,,,
DERIVED:,,,,,,,,,,
