COMPANY NAME,AUROBINDO PHARMA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1115.3,,,,,,,,,
Market Capitalization,65355.49,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,8088.67,12103.29,13771.66,14909.54,16463.03,19563.55,23098.51,24774.62,23455.49,24855.38
Raw Material Cost,3708.04,5835.08,6254.98,6743.46,7235.26,9388.19,9837.09,10632.68,9323.6,11702.94
Change in Inventory,102,329.48,92.88,309.2,482.52,675.55,101.86,730.21,-816.68,409.68
Power and Fuel,349.84,359.6,419.26,437.14,470.95,556.79,587.68,589.28,626.86,842.63
Other Mfr. Exp,428.43,537.57,590.06,644.5,745.63,953.52,964.51,1109.59,1058.4,1026.82
Employee Cost,802.52,1302.5,1542.89,1767.95,2131.19,2585.31,3219.55,3536.16,3452.1,3523.26
Selling and admin,708.2,1632.67,1684.62,1969.15,2270.1,2363.49,3161.83,3637.28,3331.1,3704.31
Other Expenses,56.23,186.04,179.61,215.99,320.67,439.86,580.57,721.8,451.21,758.13
Other Income,17.8,81.02,200.25,114.64,105.12,69.96,165.74,3195.43,152.36,290.59
Depreciation,312.53,332.61,392.37,427.63,557.97,667.95,966.71,1055.39,1126.52,1244.58
Interest,310.16,159.87,256.7,66.72,77.72,262.6,305.13,74.49,48.64,140.48
Profit before tax,1532.52,2167.85,2744.3,3060.84,3241.18,3091.35,3743.04,7343.59,3372.74,2612.5
Tax,363.45,596.59,720.71,759.65,818.27,726.85,899.35,2009.77,725.63,684.85
Net profit,1172.85,1575.77,2025.09,2301.66,2423.17,2364.73,2845.14,5334.84,2648.15,1927.5
Dividend Amount,87.45,131.4,146.3,146.48,146.48,146.48,175.77,234.36,527.31,439.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5941.92,6002.22,5809.37,6235.92,5739.37,6407.13,6472.96,6850.52,7219.42,7351.78
Expenses,4766.25,4993.04,4839.08,5303.41,4949.81,5453.31,5476.64,5701.96,5845.98,5753.06
Other Income,96.58,99.78,-113.88,40.62,57.19,92.65,134.91,46.58,187.88,162.52
Depreciation,294.21,299.05,253.57,279.51,298.1,321.4,345.57,326.56,417.5,423.27
Interest,10.42,16.13,9.21,14.63,25.29,44.96,55.6,56.55,68.18,75.55
Profit before tax,967.62,793.78,593.63,678.99,523.36,680.11,730.06,812.03,1075.64,1262.42
Tax,270.91,189.49,17.49,158.61,112.99,189.1,224.15,242.32,323.7,322.45
Net profit,696.99,604.73,576.46,520.54,409.45,491.26,506.27,570.75,757.18,936.29
Operating Profit,1175.67,1009.18,970.29,932.51,789.56,953.82,996.32,1148.56,1373.44,1598.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,29.15,29.2,58.52,58.59,58.59,58.59,58.59,58.59,58.59,58.59
Reserves,3721,5126.71,7228.78,9313.32,11621.83,13832.19,16766.08,21871.28,24517.39,26781.26
Borrowings,3769.14,4451.07,5041.07,3364.14,4769.93,6966.76,5826.38,5339.08,2851.27,5286.21
Other Liabilities,1970.48,3302.75,3567.87,3464.07,4491.89,5413.53,6113.49,6146.97,6211.11,7379.2
Total,9489.77,12909.73,15896.24,16200.12,20942.24,26271.07,28764.54,33415.92,33638.36,39505.26
Net Block,2721.67,3705.64,4179.69,4833.78,6520.68,8474.85,9396.47,9373.58,10532.09,11023.69
Capital Work in Progress,309.72,419.63,848.14,1458.08,1583.04,1668.46,1985.92,3061.53,3747.2,5390.01
Investments,19.79,19.79,122.96,245.87,311.54,360.22,554.71,591.01,997.15,542.74
Other Assets,6438.59,8764.67,10745.45,9662.39,12526.98,15767.54,16827.44,20389.8,18361.92,22548.82
Total,9489.77,12909.73,15896.24,16200.12,20942.24,26271.07,28764.54,33415.92,33638.36,39505.26
Receivables,2636.57,3539.17,4606.68,2765.33,3080.2,3413.78,4315.16,3503.28,4012.26,4466.38
Inventory,2367.54,3611.3,4056.14,4330.54,5858.41,7245.6,7699.87,9041.18,7559.08,8516.11
Cash & Bank,178.58,469.11,800.26,513.48,1262.25,1957.18,2842.15,5474.28,4190.01,6084.2
No. of Equity Shares,291457020,291982275,585169586,585882409,585907609,585915609,585915609,585915609,585938609,585938609
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,646.28,1236.81,1419.76,3278.58,1954.52,1650.97,4381.28,3329.05,5016.48,2386.75
Cash from Investing Activity,-818.63,-1016.94,-1445.51,-1787.18,-1926.76,-2904.39,-1562.86,596.57,-3211.36,-3977.81
