COMPANY NAME,AXIS BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1115.65,,,,,,,,,
Market Capitalization,344389.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,35727.46,41409.25,45175.09,46614.06,56043.65,63715.68,64696.42,68846.06,87448.37,112759.05
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,753.16,736.13,880.53,878.06,1093.22,1186.04,1245.68,1449.92,1595.42,
Employee Cost,3617.9,4022.38,4745.48,5417.98,5994.16,5823.4,6773.02,8421.24,9675.03,12193.68
Selling and admin,1746.62,1640.09,2126.47,2354.92,2483.83,2640.63,2942.37,3577.74,4022.69,
Other Expenses,5403.74,7470.05,16574.38,21065.57,18448.5,26325.54,24230.96,17764.18,15705.63,29226.94
Other Income,8838.11,9954.98,12421.6,11862.62,14188.75,16341.99,16151.52,17268.13,18706.38,25230.31
Depreciation,419.64,461.39,526.67,590.58,737.17,806.07,979.39,1048.99,13145.65,
Interest,21341.26,24344.23,26789.35,27603.69,33883.47,37995.94,34926.44,34922.66,43389.15,61390.74
Profit before tax,11283.25,12689.96,5953.81,565.88,7592.05,5280.05,9750.08,18929.46,18621.18,35178
Tax,3834.76,4332.38,1986.78,101.86,2544.96,3401.29,2497.69,4765.11,7768.52,8754.46
Net profit,7447.9,8349.67,3953.03,455.82,5038.59,1853.11,7195.5,14119.29,10818.45,26386.2
Dividend Amount,1090.43,1191.42,1197.52,,257.16,,,306.98,307.68,308.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,17653.35,18208.52,19193.33,20782.8,22842.58,24629.66,26245.74,27417.53,28865.2,30230.58
Expenses,7994.47,7935.71,7168.26,7450.33,8577.28,8101.28,9730.68,10059.45,10506.5,11123.99
Other Income,4437.84,4792.17,3422.55,4390.25,5147.76,-7101.45,5648.46,5704.7,6271.63,7605.52
Depreciation,,,,,,,,,,
Interest,8795.33,9162.29,9564.8,10149.98,11093.99,12580.38,13971.9,14748.97,15942.63,16727.24
Profit before tax,5301.39,5902.69,5882.82,7572.74,8319.07,-3153.45,8191.62,8313.81,8687.7,9984.87
Tax,1328.32,1468.69,1493.6,1947.49,2109.7,2217.73,2092.67,2096.13,2194.34,2371.32
Net profit,3956.95,4417.73,4380.59,5612.33,6187.38,-5361.85,6091.35,6204.15,6491.66,7599.04
Operating Profit,9658.88,10272.81,12025.07,13332.47,14265.3,16528.38,16515.06,17358.08,18358.7,19106.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,474.1,476.57,479.01,513.31,514.33,564.34,612.75,613.95,615.37,
Reserves,44475.49,53082.19,55901.34,63694.1,67288.29,85776.09,102980.95,117646.71,129166.34,
Borrowings,406637.67,472149.92,527437.44,611424.85,711995.77,797337.38,859872.14,1020942.96,1152038.29,
Other Liabilities,15655.71,20677.94,27644.22,28071.11,34247.58,44194,46859.49,56575.53,62597.96,
Total,467242.97,546386.62,611462.01,703703.37,814045.97,927871.81,1010325.33,1195779.15,1344417.96,
Net Block,2446.72,3357.87,3518.14,3697.03,3842.12,3911.74,4211.35,4753.23,4999.68,
Capital Work in Progress,105.18,215.89,292.1,351.79,287.76,482.6,118.34,215.13,142.14,
Investments,118526.63,131398.64,129018.35,153036.71,174055.85,155281.63,225335.77,274608.13,288094.83,
Other Assets,346164.44,411414.22,478633.42,546617.84,635860.24,768195.84,780659.87,916202.66,1051181.31,
Total,467242.97,546386.62,611462.01,703703.37,814045.97,927871.81,1010325.33,1195779.15,1344417.96,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,36492.1,33702.81,50966.12,43910.81,68004.31,97799.77,63424.35,112343.51,108707.93,
No. of Equity Shares,2370522199,2382831826,2395036109,2566538936,2571644871,2821677934,3063748652,3069747836,3076852012,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-15162.5,-34494.68,32208.62,-38390.3,37125.25,30415.64,12632.88,28137.3,22074.78,-5554.67
Cash from Investing Activity,-7972.38,9210.7,-12458.4,-10007.1,-18674.35,-9485.3,-54287.63,-27112.23,-32350.9,-9088.16
Cash from Financing Activity,31044.82,22494.69,-2486.91,41342.09,5642.6,8865.13,7279.33,47894.08,6640.54,22341.25
Net Cash Flow,7909.94,-2789.29,17263.31,-7055.3,24093.5,29795.47,-34375.42,48919.15,-3635.58,7698.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
