COMPANY NAME,AZAD ENGINEERING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,1272.75,,,,,,,,,
Market Capitalization,7527.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,122.17,120.51,194.47,251.68
Raw Material Cost,,,,,,,14.09,22.16,37.61,49.52
Change in Inventory,,,,,,,1.76,8.41,16.85,19.37
Power and Fuel,,,,,,,4.52,5.59,6.84,11.62
Other Mfr. Exp,,,,,,,29.86,33,48.76,59.18
Employee Cost,,,,,,,24.74,31.62,46.27,59.27
Selling and admin,,,,,,,9.22,7.32,8.03,13.4
Other Expenses,,,,,,,0.09,0.53,1.55,5.75
Other Income,,,,,,,1.45,4.16,3.35,9.85
Depreciation,,,,,,,6.95,8.87,13.31,16.58
Interest,,,,,,,6.1,4.89,13.62,52.38
Profit before tax,,,,,,,29.81,19.1,38.68,13.2
Tax,,,,,,,8.71,5.58,10.68,4.69
Net profit,,,,,,,21.1,13.51,28,8.51
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,,2022-12-31 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,,,59.8,82.84,89.23
Expenses,,,,,,,,42.42,56.56,56.49
Other Income,,,,,,,,2.52,10.64,18.44
Depreciation,,,,,,,,4.15,5.07,5.23
Interest,,,,,,,,12.8,11.73,19.37
Profit before tax,,,,,,,,2.95,20.12,26.58
Tax,,,,,,,,-0.88,0.66,9.78
Net profit,,,,,,,,3.83,19.45,16.8
Operating Profit,,,,,,,,17.38,26.28,32.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,1.51,1.51,1.51,1.65
Reserves,,,,,,,85.29,90.85,118.5,202.38
Borrowings,,,,,,,57.54,83.48,196.98,300.4
Other Liabilities,,,,,,,53.38,80.72,87.12,84.57
Total,,,,,,,197.72,256.56,404.11,589
Net Block,,,,,,,101.08,114.06,137.43,209.68
Capital Work in Progress,,,,,,,0.26,,23.66,37.99
Investments,,,,,,,6.78,6.29,6.28,6.28
Other Assets,,,,,,,89.6,136.21,236.74,335.05
Total,,,,,,,197.72,256.56,404.11,589
Receivables,,,,,,,40.78,52.54,74.63,118.66
Inventory,,,,,,,16.51,34.29,57.38,86.06
Cash & Bank,,,,,,,8.01,17.09,17.66,52.72
No. of Equity Shares,,,,,,,1513200,1513200,1513200,1651826
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,36.6,33.91,20.94,-10.21
Cash from Investing Activity,,,,,,,-28.36,-28.58,-114.24,-101.15
Cash from Financing Activity,,,,,,,-7.17,6.97,96.04,126.33
Net Cash Flow,,,,,,,1.07,12.3,2.74,14.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.15,0.15,0.15,0.17
