COMPANY NAME,BHARAT PETROLEUM CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,592.15,,,,,,,,,
Market Capitalization,128369.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,242598.5,187814.6,201250.66,235895.11,298225.59,284571.9,230170.81,346791.08,473187.18,448083.03
Raw Material Cost,212339.34,157769.77,177243.33,201908.35,262748.71,253665.2,191142.32,307442.89,434189.53,378085.99
Change in Inventory,-4351.45,-1304.82,5832.38,-203.35,1606.26,1073.07,3743.56,4041.62,977.24,1989.84
Power and Fuel,1940.21,1781.07,1483.97,1935.49,2396.38,2966.87,2502.3,3213.61,4020.86,
Other Mfr. Exp,2061.29,6685.45,6987.82,7760.76,8890.18,9073.29,8586.17,9711.07,11611.5,
Employee Cost,2349.85,2962.06,3669.52,3748.53,3984.03,4020.51,4856.35,3408,2775.01,3577.17
Selling and admin,7191.01,2297.12,2077.76,2820.18,3175.96,2318.4,2128.43,3307.31,4472.49,
Other Expenses,2584.89,2043.23,1837.84,2201,3524.36,4625.49,3697.75,4612.52,6196.2,24327.68
Other Income,2117.16,1912.87,2720.81,2926.81,2974.86,1393.46,7488.59,4939.42,2036.5,3032.56
Depreciation,3026.68,2071.87,2107.64,2885,3417.77,4080.09,4334.21,5434.35,6368.82,6771.26
Interest,1180.47,680.49,696.36,1185.74,1763.95,2637.01,1723.41,2605.64,3745.38,4148.89
Profit before tax,7690.47,12131.59,13699.61,14173.52,12905.37,3651.57,22432.02,16036.73,2821.13,36194.44
Tax,2608.46,4042.72,4192.64,4381.61,4377.52,-14.21,5112.19,4355.23,690.08,9335.6
Net profit,4806.57,8088.87,8720.94,9008.63,7802.3,3055.36,16164.98,11681.5,2131.05,26858.84
Dividend Amount,1626.93,2032.42,4261.56,4130.45,3737.07,3245.35,16533.99,3407.12,851.78,4486.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,95121.1,104079.84,121081.8,114820.44,119169.55,118115.39,112984.79,103044.37,115499.14,116554.73
Expenses,90018.72,98125.57,126905.94,113405.55,114956.98,107030.6,97199.66,90103.86,109300.28,107599.79
Other Income,687.98,1131,614.78,672.92,415.34,522.52,800.43,693.71,918.72,403
Depreciation,1393.54,1603.34,1616.98,1560.77,1586.28,1604.79,1613.96,1605.27,1830.14,1721.89
Interest,659.74,751.81,710.39,937.05,1128.26,1148.02,869.09,973.21,920.5,966.8
Profit before tax,3737.08,4730.12,-7536.73,-410.01,1913.37,8854.5,14102.51,11055.74,4366.94,6669.25
Tax,978.19,1927.38,-1388.79,-71.52,166.36,1984.03,3458.21,2812.19,1185.52,1879.68
Net profit,2758.89,2802.74,-6147.94,-338.49,1747.01,6870.47,10644.3,8243.55,3181.42,4789.57
Operating Profit,5102.38,5954.27,-5824.14,1414.89,4212.57,11084.79,15785.13,12940.51,6198.86,8954.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,723.08,655.62,1311.25,1966.88,1966.88,1966.88,2092.91,2129.45,2129.45,2136.29
Reserves,21825.42,27137.65,29508.5,34651.69,36797.84,34565.45,51462.17,49776.17,51392.91,73498.82
Borrowings,25492.21,23387.73,35725.44,37659.36,44839.1,65475.54,54531.86,64534.2,69376.03,54599.05
Other Liabilities,38281.38,35240.73,42541.07,46078.13,53322.29,48852.11,52891.08,71088.81,65210.38,72183.59
Total,86322.09,86421.73,109086.26,120356.06,136926.11,150859.98,160978.02,187528.63,188108.77,202417.75
Net Block,29109.4,25358.5,33683.86,45539.3,49314.84,60174.57,64098.31,83901.46,86675.12,98322.49
Capital Work in Progress,15787.34,17458.93,16833.87,9874.74,13654.49,17756.74,17037.29,15432.95,16248.93,8679.72
Investments,7711.81,9401.05,21327.13,23724.57,24906.91,27028.51,26767.73,23615.9,26778.28,26630.59
Other Assets,33713.54,34203.25,37241.4,41217.45,49049.87,45900.16,53074.69,64578.32,58406.44,68784.95
Total,86322.09,86421.73,109086.26,120356.06,136926.11,150859.98,160978.02,187528.63,188108.77,202417.75
Receivables,2901.85,2216.89,4803.75,5209.28,6906.25,5378.02,7834.77,9707.47,6723.78,8342.03
Inventory,17400.02,14643.7,21196.78,22530.94,22934.87,22242.6,26706.72,42178.74,38069.19,42836.13
Cash & Bank,3446.26,4202.37,1884.54,1353.86,662.52,1164.84,8110.11,2236.69,2574.38,6286.36
No. of Equity Shares,723084248,723084248,1446168496,2169252744,2169252744,2169252744,2092913412,2129455489,2129455489,
New Bonus Shares,,,723084248,723084248,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
