COMPANY NAME,BASF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,4020.2,,,,,,,,,
Market Capitalization,17405.29,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4429.9,4705.76,4749.17,5073.41,5583.4,6025.67,7594.56,9558.34,13099.73,13644.77
Raw Material Cost,3229.39,3385.21,3354.01,3612.9,3995.67,4632.5,6353.88,7796.87,11045.04,11569.41
Change in Inventory,157.83,-33.77,-98.25,13.78,41.48,159.61,283.85,67.03,278.32,194.01
Power and Fuel,73.91,98.79,114.4,97.31,94.63,106.85,83.42,65.37,82.78,110.2
Other Mfr. Exp,104.12,130.36,62.84,160.18,170.9,212.01,168.62,134.16,172.48,190.16
Employee Cost,366.13,347.41,327.58,321.96,351.43,376.47,362.56,344.96,380.65,392.11
Selling and admin,499.04,491.7,576.27,526.77,591.75,613.82,518.7,508.7,660.11,757.83
Other Expenses,30.94,85.16,108.48,96.75,74.62,78.97,112.6,142.47,125.59,132.43
Other Income,-2.6,38.76,173.44,26.88,181.5,139.4,-4.42,418.61,36.56,52.75
Depreciation,71.1,142.42,163.09,169.03,153.39,147.09,180.86,173.92,170.57,182.08
Interest,16.13,95.56,148.06,141.64,112.96,85.11,83.45,37.57,17.47,13.91
Profit before tax,194.37,-65.86,-30.37,-12.47,261.03,71.86,9.9,839.96,759.92,543.4
Tax,66.49,1.04,,1.66,14.53,-9.86,-12.97,287.35,165.08,140.51
Net profit,127.88,-66.9,-30.37,-14.13,246.5,81.72,22.87,552.61,594.84,402.89
Dividend Amount,17.32,17.32,4.33,4.33,12.99,21.64,12.99,43.29,25.97,34.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3405.49,3291.76,3389.56,3887.79,3581.99,2898.1,3276.89,3374.65,3706.6,3326.26
Expenses,3176.33,3114.48,3174.48,3577.14,3394.26,2843.41,3143.32,3176.83,3472.71,3113.78
Other Income,3.12,19.08,10.99,3.29,10.01,11.98,27.47,8.59,15.98,26.51
Depreciation,42.99,42.35,43.56,44.57,45.11,45.86,46.54,46.71,47.44,48.8
Interest,6.1,4.23,4,5.23,3.66,2.75,2.27,7.83,2.16,2.79
Profit before tax,183.19,149.78,178.51,264.14,148.97,18.06,112.23,151.87,200.27,187.4
Tax,45.85,39.41,28.66,67.39,35.86,7.42,29.84,39.19,51.17,47.34
Net profit,137.34,110.37,149.85,196.75,113.11,10.64,82.39,112.68,149.1,140.06
Operating Profit,229.16,177.28,215.08,310.65,187.73,54.69,133.57,197.82,233.89,212.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29,43.29
Reserves,1206.88,1118.77,1072.72,1058.97,1300.59,1369.6,1200.69,1742.86,2292.79,2657.89
Borrowings,1067.3,1600.2,1349.22,1274.55,867.69,912.21,821.74,285.86,121.52,105.85
Other Liabilities,1716.97,1405.61,1311.33,1497.74,1634.79,1524.38,2764.17,3072.1,3652.33,3757.6
Total,4034.44,4167.87,3776.56,3874.55,3846.36,3849.48,4829.89,5144.11,6109.93,6564.63
Net Block,526.08,1351.09,1288.87,1222.39,1117.35,956.98,964.92,817.1,762.96,792.89
Capital Work in Progress,792.14,74.18,55.14,32.86,27.48,42.24,23.07,53.29,100.1,18.77
Investments,,,,,,,,,,
Other Assets,2716.22,2742.6,2432.55,2619.3,2701.53,2850.26,3841.9,4273.72,5246.87,5752.97
Total,4034.44,4167.87,3776.56,3874.55,3846.36,3849.48,4829.89,5144.11,6109.93,6564.63
Receivables,859.76,930.45,1042.34,1068.82,1088.78,1040.67,1421.02,2059.21,2621.31,2344.53
Inventory,1146.01,990.77,807.58,920.13,1019.17,1212.63,1553.3,1536.39,1942.62,2217.22
Cash & Bank,15.06,127.69,3.17,25.1,8.62,13.21,99.89,173.12,126.22,367.19
No. of Equity Shares,43284960,43284958,43284958,43284958,43284958,43285640,43285640,43285640,43285640,43285640
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,7.73,-96.33,198.86,221.07,290,-77.15,571.61,483.1,329.93,530.72
Cash from Investing Activity,-596.69,-163.05,199.31,-65.96,158.25,176.8,-21.11,181.86,-119.9,-199.04
Cash from Financing Activity,588.47,372.01,-425.09,-132.99,-464.65,-94.97,-463.84,-591.8,-257.03,-90.69
Net Cash Flow,-0.49,112.63,-26.92,22.12,-16.4,4.68,86.66,73.16,-47,240.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
