COMPANY NAME,BEML LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3202.15,,,,,,,,,
Market Capitalization,13333.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2903.67,2802.09,2974.61,2494.22,3239.08,3474.25,3025.44,3596.83,4337.49,3898.95
Raw Material Cost,1590.68,1355.84,1458.22,1329.32,1707.65,1950.63,1881.56,2037.27,2268.68,2098.85
Change in Inventory,-103.08,-208.43,-245.01,124.18,-16.83,-16.52,291.47,-0.88,-150.7,-37.68
Power and Fuel,38.56,35.87,35.36,37.24,39.66,38.2,37.11,35.57,37.51,36.29
Other Mfr. Exp,89.46,80.26,72.29,84.89,116.79,123.15,143.33,134.5,190,169.52
Employee Cost,722.67,774.97,759.52,785.11,813.24,805.75,848.07,851.95,861.47,839.76
Selling and admin,122.92,136.73,108.02,92.09,92.8,104.66,111.84,91.43,116.33,159.83
Other Expenses,105.43,135.79,146.82,136.54,199.26,197.79,211.08,267.28,387.53,188.08
Other Income,60.27,60.22,42.12,62.52,24.92,23.23,48.56,19.94,5.68,22.1
Depreciation,54.32,53.01,56.57,62.8,65.39,70.73,72.38,71.38,66.45,64.08
Interest,126.82,75.96,56.33,54.65,48.32,59.61,40.74,39.4,64.76,49.25
Profit before tax,10,5.45,78.59,98.28,164.06,130.44,19.36,87.11,199.74,277.71
Tax,3.93,-0.47,14.19,13.5,34.38,67.29,-44.32,18.41,71.15,119.81
Net profit,6.1,5.93,64.38,84.76,129.67,63.18,63.85,68.9,128.79,157.92
Dividend Amount,4.18,4.18,16.71,33.42,33.42,29.24,25.06,25.06,41.77,41.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1000.42,1174.5,1683.58,669.18,804.86,1036.97,1387.94,576.91,916.79,1046.97
Expenses,973.71,1058.8,1453.87,724.96,763.06,947.53,1101.13,627.44,857.71,991.09
Other Income,13.45,-0.45,1.36,0.76,1.25,4.81,18.95,1.2,9.6,34.27
Depreciation,16.76,16.64,16.23,16.11,16.02,15.91,16.04,15.65,15.75,15.78
Interest,12.74,20.1,10.27,11.23,10.77,12.04,12.21,10.03,10.75,7.52
Profit before tax,10.66,78.51,204.57,-82.36,16.26,66.3,277.51,-75.01,42.18,66.85
Tax,,,71.15,,,,119.82,,-9.61,18.65
Net profit,10.66,78.51,133.42,-82.36,16.26,66.3,157.69,-75.01,51.79,48.2
Operating Profit,26.71,115.7,229.71,-55.78,41.8,89.44,286.81,-50.53,59.08,55.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,41.77,41.77,41.77,41.77,41.77,41.77,41.77,41.77,41.77,41.77
Reserves,2039.25,2034.97,2087.65,2140.6,2159.34,2145.6,2211,2172.64,2314.92,2379.71
Borrowings,957.78,645.37,569.4,437.53,445.91,403.62,341.1,751.72,831.81,381.48
Other Liabilities,1789.56,1920.53,1721.64,2137.31,2096.63,2494.99,2569.58,2876.84,2624.49,2303.94
Total,4828.36,4642.64,4420.46,4757.21,4743.65,5085.98,5163.45,5842.97,5812.99,5106.9
Net Block,513.21,482.15,557.3,583.37,594.57,630.88,620.89,600.73,621.31,547.97
Capital Work in Progress,172.87,191.7,103.88,79.42,68.1,25.45,15.42,13.94,13.81,22.71
Investments,,,,,,,,,,
Other Assets,4142.28,3968.79,3759.28,4094.42,4080.98,4429.65,4527.14,5228.3,5177.87,4536.22
Total,4828.36,4642.64,4420.46,4757.21,4743.65,5085.98,5163.45,5842.97,5812.99,5106.9
Receivables,977.36,991.7,1207.17,1431.04,1650.83,1613.96,1508.13,1884.51,1861.36,1236.7
Inventory,2219.42,1972.99,1750.97,2031.06,1865.76,1783.11,2101.64,2084.48,2176.73,2158.52
Cash & Bank,17.54,145.55,66.43,14.54,2.43,31.43,27.85,5.36,33.94,39.34
No. of Equity Shares,41670000,41670000,41670000,41670000,41670000,41670000,41670000,41670000,41670000,41900000
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,393.52,547.82,80.34,208.63,129.74,256.82,105.84,-301.03,50.93,563.41
Cash from Investing Activity,-27.87,-35.96,-33.18,-59.44,-61.88,-62.43,-51.28,-49,-24.85,-20.09
Cash from Financing Activity,-426.6,-383.86,-104.65,-160.28,-100.67,-129.19,2.93,-176.58,-9.95,-334.85
Net Cash Flow,-60.95,128.01,-57.49,-11.09,-32.81,65.19,57.49,-526.6,16.13,208.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,236.65,888.59,845.74,1103.24,845.74,820.18,365.84,1017.17,1473.29,1257.4
