COMPANY NAME,BALKRISHNA INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,2441.05,,,,,,,,,
Market Capitalization,47175.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3768.27,3813.08,3236.58,3723.3,4443.79,5209.99,4811.24,5783.19,8295.12,9759.53
Raw Material Cost,1834.78,1962.87,1396.02,1585.06,2194.44,2503.67,2079.52,2455.04,4035.41,4910.44
Change in Inventory,12.89,-15.5,-23.17,5.43,51.22,59.55,-59.23,144,257.57,-4.87
Power and Fuel,168.73,175.54,118.54,129.8,176.26,186.87,164.26,173.78,282.84,348.56
Other Mfr. Exp,267.92,292.34,252.15,237.31,308.17,362.82,287.36,384.85,463.65,526.7
Employee Cost,168.64,227.4,235.03,256.98,280.04,299.3,328.74,371.14,430.41,459.72
Selling and admin,338.73,388.43,320.64,348.5,381.34,557.77,572.91,682.86,1274.52,1732.52
Other Expenses,112.35,23.63,25.19,40.11,52.2,52.88,45.28,48.03,56.89,64.63
Other Income,13.9,277.44,130.58,253.63,339.71,215.38,249.98,171.49,437.9,341.83
Depreciation,170.28,243.7,282.32,304,311.4,332.61,373.61,416.3,455.37,570.81
Interest,27.46,47.77,39.85,22,14.83,12.44,10.79,11.76,9.35,48.32
Profit before tax,706.17,713.34,674.25,1058.6,1116.04,1176.56,1139.52,1554.92,1982.15,1434.79
Tax,231.55,240.77,228.53,341.75,380.25,402.91,179.87,377.39,546.77,377.39
Net profit,474.62,472.57,445.72,716.85,735.79,773.65,959.65,1177.53,1435.38,1057.4
Dividend Amount,19.33,23.2,53.16,77.32,154.64,154.64,386.6,328.61,541.24,309.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2072.23,2045.81,2374.21,2619.43,2657.52,2165.57,2317.01,2159.35,2253.19,2274.41
Expenses,1534.38,1589.16,1871.13,2175.45,2231.26,1896.28,1837.25,1658.41,1720.48,1733.81
Other Income,133.3,113.04,109.37,105.72,226.65,44.97,57.01,105.76,107.09,65.63
Depreciation,111.43,117.57,119.53,129.27,137.33,148.56,155.65,155.29,160.43,160.85
Interest,2.05,2.05,2.55,2.95,4.77,14.22,26.1,21.71,23.85,36.44
Profit before tax,557.67,450.07,490.37,417.48,510.81,151.48,355.02,429.7,455.52,408.94
Tax,166.64,111.12,115.53,110.52,128.55,43.1,95.22,97.82,108.08,103.52
Net profit,391.03,338.95,374.84,306.96,382.26,108.38,259.8,331.88,347.44,305.42
Operating Profit,537.85,456.65,503.08,443.98,426.26,269.29,479.76,500.94,532.71,540.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,19.33,19.33,19.33,19.33,38.66,38.66,38.66,38.66,38.66,38.66
Reserves,1875.75,2256.65,2755.5,3523.53,4044.73,4615,4969.62,5961.16,6894.35,7518.27
Borrowings,2438.52,2357.84,1898.3,1390.87,867.47,871.14,932,1001.12,2528.59,3346.53
Other Liabilities,687.7,684.53,725.27,855.35,927.35,954.21,866.07,1165.55,1517.38,1444.2
Total,5021.3,5318.35,5398.4,5789.08,5878.21,6479.01,6806.35,8166.49,10978.98,12347.66
Net Block,2389,2415.39,2858.78,2848.73,2849.14,2786.25,3307.51,3370.32,4019.39,5384.05
Capital Work in Progress,564.86,634.04,231.07,109.67,118.66,600.41,586.59,855.52,1258.4,1391.6
Investments,370.19,444.06,835.87,1349.19,1102.67,1082.55,1062.5,1417.65,1896.68,2036.71
Other Assets,1697.25,1824.86,1472.68,1481.49,1807.74,2009.8,1849.75,2523,3804.51,3535.3
Total,5021.3,5318.35,5398.4,5789.08,5878.21,6479.01,6806.35,8166.49,10978.98,12347.66
Receivables,613.76,581.15,384.95,411.67,479.63,517.1,589.86,753.59,1096.15,1115.27
Inventory,568.4,411.41,398.26,476.12,618.87,758.71,615.64,939.72,1672.09,1667.37
Cash & Bank,14.93,434.21,329.96,24.81,33.43,65.63,69.08,75.14,51.71,76.33
No. of Equity Shares,96658595,96658595,96658595,96658595,193317190,193317190,193317190,193317190,193317190,193317190
New Bonus Shares,,,,,96658595,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,601.67,984.13,1071.95,846.85,749.94,820.41,1173.14,1339.03,908.04,1447.97
Cash from Investing Activity,-1229.61,-434.64,-551.82,-563.21,-92.28,-636.02,-677.8,-1172.87,-1897.41,-1783.12
Cash from Financing Activity,364.9,-130.22,-625.28,-589.34,-653.8,-164.68,-494.69,-158.06,980.36,358.54
Net Cash Flow,-263.04,419.27,-105.15,-305.7,3.86,19.71,0.65,8.1,-9.01,23.39
,,,,,,,,,,
,,,,,,,,,,
