COMPANY NAME,BALRAMPUR CHINI MILLS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,371.7,,,,,,,,,
Market Capitalization,7486.25,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2664.95,2986.98,2756.66,3460.14,4342.54,4285.78,4741.29,4811.66,4846.03,4665.86
Raw Material Cost,2275,2083.54,2112.54,2576.85,3064.88,3595.41,3464.16,3511.86,3261.73,3419.4
Change in Inventory,184.1,-426.41,136.23,419.52,-409.75,538.36,-37.34,55.83,-194.42,10.16
Power and Fuel,4.69,4.25,5.74,5.24,4.93,4.26,4.04,2.36,2.69,0.97
Other Mfr. Exp,110.27,109.42,89.33,89.28,115.17,149.13,140.42,157.31,162.13,172.37
Employee Cost,141.76,150.44,155.46,181.99,205.04,231.52,255.18,282.98,309.27,365.26
Selling and admin,7.92,12.42,37.42,44.19,38.33,98.35,87.16,134.38,135.56,117.29
Other Expenses,85.18,72.31,78.24,79.23,49.95,54.37,71.02,64.76,73.09,79.19
Other Income,20.65,13.45,-129.84,-7.51,37.86,47.48,51.68,46.52,36.31,64.93
Depreciation,109.58,115.92,110.2,105.03,95.16,95.85,101.42,111.88,113.86,129.5
Interest,117.84,102.09,66.55,55.43,52.03,40.94,64.17,39.3,30.87,48.65
Profit before tax,17.46,-76.37,107.57,734.91,345.16,601.79,568.06,609.18,598.72,408.32
Tax,9.03,-18.43,7.44,142.15,113.49,25.97,48.7,129.39,134.08,124.15
Net profit,8.46,-57.95,100.2,592.99,231.66,575.82,519.35,479.79,464.64,284.17
Dividend Amount,,,,82.25,57.1,57.1,55,52.5,51,50.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1213.83,1212.15,1279.61,1080.08,1113.1,981.16,1491.53,1389.62,1539.47,1230.39
Expenses,1078.99,1112.36,949.52,1035.66,1129.04,901.49,1087.65,1226.43,1374.58,1117.01
Other Income,6.39,17.44,10.57,15.5,14.78,22.52,21.63,17.63,116.43,59.75
Depreciation,28.16,27.99,28.41,28.22,28.35,32.76,40.17,40.57,41.24,41.97
Interest,6.23,3.74,7.78,13.84,7.77,5.89,21.14,33.53,17.2,7.92
Profit before tax,106.84,85.5,304.47,17.86,-37.28,63.54,364.2,106.72,222.88,123.24
Tax,23.74,21.38,63.98,5.48,-8.33,17.24,109.75,33.2,56.63,31.92
Net profit,83.1,64.13,240.48,12.38,-28.95,46.29,254.45,73.51,166.25,91.33
Operating Profit,134.84,99.79,330.09,44.42,-15.94,79.67,403.88,163.19,164.89,113.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,24.48,24.49,24.5,23.5,22.84,22.84,22,21,20.4,20.17
Reserves,1191.86,1102.57,1204.57,1537.1,1594.22,2094.95,2393.69,2598.15,2749.31,2875.4
Borrowings,1527.08,1677.59,1666.62,1782.28,989.83,1734.01,1482.49,1240.38,1210.71,1879.61
Other Liabilities,1415.61,1099.34,804.86,684.61,1092.74,851.34,909.65,774.4,511.62,653.44
Total,4159.03,3903.99,3700.55,4027.49,3699.63,4703.14,4807.83,4633.93,4492.04,5428.62
Net Block,1524.26,1376.74,1340.06,1412.3,1445.67,1421.56,1624.05,1598.58,1633.65,2598.59
Capital Work in Progress,0.3,7.56,86.47,6.13,11.25,45.83,12.4,14.48,204.3,24.29
Investments,40.75,40.74,47.71,73.59,122.12,165.76,244.38,249.16,172.56,262.6
Other Assets,2593.72,2478.95,2226.31,2535.47,2120.59,3069.99,2927,2771.71,2481.53,2543.14
Total,4159.03,3903.99,3700.55,4027.49,3699.63,4703.14,4807.83,4633.93,4492.04,5428.62
Receivables,64.06,158.61,198.63,162.77,182.21,450.03,239.29,245.46,136.72,124.82
Inventory,2092.29,1669.25,1864.89,2313.63,1802.2,2316.86,2295.98,2378.46,2200.61,2318.79
Cash & Bank,143.52,82.2,9.07,4.49,8.71,4.93,4.66,2.8,3.28,11.9
No. of Equity Shares,244840817,244916267,244949767,235010467,228428327,228428327,220000000,210000000,204040000,201749245
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,462.33,-76.32,147,345.64,1179.84,-523.01,849.61,649.21,694.65,452.92
Cash from Investing Activity,-63.02,-23.02,-146.62,-117.05,-159.32,-159.2,-304.71,-81.13,-309.39,-858.75
Cash from Financing Activity,-446.92,37.77,-69.91,-232.72,-1020.1,681.88,-545.52,-569.13,-385.39,405.83
Net Cash Flow,-47.61,-61.58,-69.53,-4.13,0.42,-0.33,-0.63,-1.05,-0.12,-0.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
