COMPANY NAME,BARBEQUE-NATION HOSPITALITY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,512.8,,,,,,,,,
Market Capitalization,2002.39,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,403.05,503.48,586.34,739.02,846.97,507.08,860.55,1233.76
Raw Material Cost,,,149.3,179.73,,,292.2,178.25,304.74,415.19
Change in Inventory,,,,,,,,,,
Power and Fuel,,,35.24,42.25,44.51,58.5,70.47,45.44,69.36,103.44
Other Mfr. Exp,,,15.6,12.13,229.87,290.82,39.16,30.42,60.07,75
Employee Cost,,,69.56,91.89,125.69,167.98,197.51,135.19,188.61,267.6
Selling and admin,,,66.06,87.66,44.43,65.39,70.23,65.16,96.01,131.04
Other Expenses,,,18.38,26.21,18.16,27.66,13,6.13,8.03,10.91
Other Income,,,0.38,0.45,6.74,-6.74,20.02,48.01,26.77,11.85
Depreciation,,,25.4,33.24,70.27,89.54,133.96,121.17,127.26,145
Interest,,,9.72,14.4,53.57,56.4,75.59,84.87,65.3,71.7
Profit before tax,,,14.17,16.42,6.58,-24.01,-25.13,-111.54,-32.06,25.73
Tax,,,8.1,7.7,12.39,14.38,7.8,-19.66,-6.87,6.58
Net profit,,,6.06,9.03,-5.8,-38.39,-32.39,-90.46,-25.6,17.02
Dividend Amount,,,2,,2.76,2.8,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,220.89,286.67,251.02,314.87,310.5,328.16,280.23,323.89,301.7,330.88
Expenses,179.58,220.98,206.47,244.42,252.2,266.2,240.35,277.13,257.32,264.57
Other Income,8.78,4.71,5.9,3,4.86,3.43,0.56,4,4.27,1.64
Depreciation,30.4,33.99,33.96,35.16,35,38.19,36.65,37.49,44.29,41.44
Interest,15.32,17.16,16.25,17.45,17.98,18.29,17.98,18.75,19.5,19
Profit before tax,4.37,19.25,0.24,20.84,10.18,8.91,-14.19,-5.48,-15.14,7.51
Tax,1.02,4.42,-0.25,4.82,2.65,1.72,-2.59,-1.43,-3.22,2.66
Net profit,2.92,14.16,-0.06,15.18,7.09,6.57,-11.82,-4.31,-12.37,4.34
Operating Profit,41.31,65.69,44.55,70.45,58.3,61.96,39.88,46.76,44.38,66.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,13.31,13.51,13.8,13.99,14,16.97,19.46,19.49
Reserves,,,111.3,133.48,131.19,117.64,-8.08,226.93,366.54,381.65
Borrowings,,,51.93,87.05,478.39,577.82,726.54,602.57,610.4,684.5
Other Liabilities,,,61.41,61.57,99.78,109.64,223,291.34,144.87,173.28
Total,,,237.95,295.61,723.16,819.09,955.46,1137.81,1141.27,1258.92
Net Block,,,165.35,197.66,547.86,682.32,812.69,731.63,872.3,1011.62
Capital Work in Progress,,,14.23,21.77,18.52,15.89,10.89,6.02,21.18,27.34
Investments,,,3,2.79,,,,,,
Other Assets,,,55.37,73.39,156.78,120.88,131.88,400.16,247.79,219.96
Total,,,237.95,295.61,723.16,819.09,955.46,1137.81,1141.27,1258.92
Receivables,,,5.13,4.07,5.6,4.9,2.15,2.64,5.73,7.36
Inventory,,,12.42,16.07,18.98,19.27,14.93,20.15,35.76,42.07
Cash & Bank,,,1.08,5.27,43.62,11.98,14.7,245.49,85.34,42.56
No. of Equity Shares,,,13312007,27024014,27599014,27984014,27991788,33942920,38909166,38978401
New Bonus Shares,,,,,,,,,,
Face value,,,10,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,45.74,54.2,127.55,122.25,181.05,67.93,59.81,227.59
Cash from Investing Activity,,,-63.72,-75.16,-99.28,-129.15,-151.8,-7.18,-90.16,-151.79
Cash from Financing Activity,,,13.95,25.15,7.3,-24.74,-26.54,170.05,-129.8,-118.58
Net Cash Flow,,,-4.03,4.19,35.56,-31.64,2.72,230.8,-160.15,-42.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,1267.65,633.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,1.33,2.7,2.76,2.8,2.8,3.39,3.89,3.9
