COMPANY NAME,BAYER CROPSCIENCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,5262.95,,,,,,,,,
Market Capitalization,23712.26,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3187.6,3660,2769,2802.8,2709.9,3167.3,3609.4,4261.3,4734.4,5139.7
Raw Material Cost,2062.6,2418.7,1463.9,1677.7,1478.6,1505.7,1650.2,2318.2,2492.8,2466.8
Change in Inventory,8.5,5.1,31.6,104.5,-65,68.4,-59.1,177.9,144.1,3.1
Power and Fuel,33.2,11.6,6.1,6.4,6.6,11.4,14,12.3,14.2,15.7
Other Mfr. Exp,71.1,96.9,281.1,181.9,106.8,320.2,287.6,421.3,436.6,469.4
Employee Cost,204.6,227.6,220.7,245.9,263.9,364.2,361.6,362.2,463.1,534.3
Selling and admin,430.3,426.9,355.6,342.1,347.5,500.3,476.7,461.8,598.8,669.1
Other Expenses,-25,-32.1,38.6,39.7,32,50.8,33.8,51.7,61.3,63.3
Other Income,90.9,87.9,81.7,70.1,38.7,51.1,-64.2,68.9,112.5,167.7
Depreciation,64.6,25.3,24.7,28.9,33.1,43.8,65.3,73.5,64.5,79.5
Interest,4.8,4.6,10,6.9,11.3,10.4,13.8,12.6,12.9,22.3
Profit before tax,440.8,573.5,481.6,447.9,403.8,480,583.1,794.5,846.8,990.1
Tax,151.3,190.5,166.5,156.9,103.7,142.9,108.6,301.4,201.5,231.9
Net profit,289.5,383,315.1,291,300.1,337.1,474.5,493.1,645.3,758.2
Dividend Amount,20.13,76.86,60.18,60.18,61.74,61.74,112.25,516.35,673.5,583.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1365.1,990.1,963.3,1667.4,1451.9,1037.9,982.5,1739.6,1617.2,954.9
Expenses,1143.3,923.8,762.6,1272.3,1214,952.5,776.7,1315,1312.3,827
Other Income,14.3,68.3,15.7,14.2,13.8,115.9,23.8,20.7,16.1,14.6
Depreciation,14.3,14.2,21.4,22.9,15.2,14.3,27.1,31.3,11.6,15.2
Interest,2.3,2.6,5.5,4.1,7.5,3.4,7.3,7.9,3.7,3.1
Profit before tax,219.5,117.8,189.5,382.3,229,183.6,195.2,406.1,305.7,124.2
Tax,65.4,33,36.8,79.7,66.4,49.1,36.7,77.6,82.8,31.1
Net profit,154.1,84.8,152.7,302.6,162.6,134.5,158.5,328.5,222.9,93.1
Operating Profit,221.8,66.3,200.7,395.1,237.9,85.4,205.8,424.6,304.9,127.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,36.6,36.6,35.4,35.4,34.3,34.3,44.9,44.9,44.9,44.9
Reserves,1705.7,1996.3,1804,2021.3,1744,2205.1,2527.6,2505.4,2479.4,2667.2
Borrowings,,,,,,,1.5,26.3,86.4,73.5
Other Liabilities,644.6,740.2,597.4,768.7,756.5,1309.8,1261.7,1662.7,1742.2,1893
Total,2386.9,2773.1,2436.8,2825.4,2534.8,3549.2,3835.7,4239.3,4352.9,4678.6
Net Block,227.8,321.8,290.3,342,334.4,440.2,468.5,424.7,467.5,462.4
Capital Work in Progress,216.8,0.6,16.9,24.1,36.1,47.2,55.9,76.3,98.3,109.2
Investments,3.7,28.8,67.6,49.7,,,40.8,52.2,38.5,41.1
Other Assets,1938.6,2421.9,2062,2409.6,2164.3,3061.8,3270.5,3686.1,3748.6,4065.9
Total,2386.9,2773.1,2436.8,2825.4,2534.8,3549.2,3835.7,4239.3,4352.9,4678.6
Receivables,409.9,571.1,405,556.5,658.8,698.6,718,754.9,1004.7,975.6
Inventory,549.5,564.7,664.6,768.1,739.9,1157,963.5,1325.1,1512,1807.2
Cash & Bank,486.2,1130.4,763.2,839,417.8,582,1071,1209.5,787.4,868
No. of Equity Shares,36600000,36619001,35354001,35354001,34333593,34333593,44942092,44942092,44942092,44942092
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,281.5,200.4,206.5,157.3,121.4,432.8,665.9,686.7,215.5,609.3
Cash from Investing Activity,-289.7,485.2,15.8,-8.4,38.3,-112.9,-28.9,6.7,64.2,83.3
Cash from Financing Activity,-479.6,-41.5,-589.6,-73.3,-581.1,-158.3,-148.3,-555.8,-703.3,-613.2
Net Cash Flow,-487.8,644.1,-367.3,75.6,-421.4,161.6,488.7,137.6,-423.6,79.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1506.15,3323.1,3793.55,3796.2,4229.15,4402.95,3455.95,5341.9,4969.35,4077.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
