COMPANY NAME,BERGER PAINTS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,481.25,,,,,,,,,
Market Capitalization,56087.16,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3731.8,4170.18,4223.1,4552.25,5165.73,6061.86,6365.82,6817.59,8761.78,10567.84
Raw Material Cost,2123.12,2549.94,2489.81,2357.66,2730.63,3426.09,3306.65,3579.29,5124.6,6065.6
Change in Inventory,40.16,18.68,19.62,125.09,99.97,173.95,18.8,186.65,381.49,93.24
Power and Fuel,43.36,47.03,42.15,43.79,48.27,59.13,58.54,56.47,68.13,83.27
Other Mfr. Exp,537.04,312.97,338.98,733.4,764.16,896.83,984.06,1089.73,1460.76,1660.48
Employee Cost,226.92,253.44,273.92,307.16,357.05,408.96,453.11,485.71,543.69,609.76
Selling and admin,429.81,520.48,311.1,366,367.81,273.45,430.17,483.04,501.2,606.38
Other Expenses,-19.66,-5.72,141.98,150.42,190.78,236.71,99.4,127.63,113.82,157.8
Other Income,35.95,36.02,40.33,108.44,46.5,60.03,68.52,51.49,68.45,47.81
Depreciation,70.71,92.5,98.65,108.05,124.21,182.27,191.01,211.14,226.51,264.03
Interest,46.63,50.14,27.28,16.22,24.55,47.24,47.04,44.1,50.72,99.23
Profit before tax,349.98,404.1,559.18,703.08,704.74,765.16,883.16,978.62,1122.29,1162.34
Tax,100.59,139.4,188.62,229.42,243.91,271.27,227.06,258.9,289.34,301.94
Net profit,249.39,264.7,370.56,473.66,460.83,494.3,657.81,719.75,832.82,859.42
Dividend Amount,76.23,86.66,114.43,169.92,174.78,184.51,213.66,271.96,301.1,310.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2225.01,2550.77,2187.51,2759.7,2670.92,2693.59,2443.63,3029.51,2767.3,2881.83
Expenses,1871.04,2159.18,1841.07,2354.86,2306.97,2343.94,2097.06,2472.76,2293.65,2401.79
Other Income,12.99,15.45,24.36,16.51,15.64,13.37,15.07,17.35,19.11,20.34
Depreciation,55.89,56.05,59.75,62.8,62.47,64.35,74.41,78.21,82.87,82.91
Interest,12.68,13.85,14.61,16.26,24.12,29.55,29.3,19.71,21.08,19.62
Profit before tax,298.39,337.14,296.44,342.29,293,269.12,257.93,476.18,388.81,397.85
Tax,79.18,84.17,76.15,88.58,73.49,67.95,71.92,121.27,96.68,97.69
Net profit,218.85,252.72,220.66,253.43,219.36,200.94,185.69,354.35,291.64,299.65
Operating Profit,353.97,391.59,346.44,404.84,363.95,349.65,346.57,556.75,473.65,480.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,69.3,69.33,69.35,97.1,97.1,97.11,97.12,97.13,97.13,97.14
Reserves,1051.03,1191.27,1492.74,1804.46,2097.41,2346.7,2563.01,3279.74,3829.86,4396.98
Borrowings,623.52,609.56,354.41,406.21,422.17,752.94,766.9,633.76,1013.53,1188.97
Other Liabilities,851.01,845.68,960.29,1131.8,1325.97,1359.92,1472.47,1907.01,2270.97,2283.32
Total,2594.86,2715.84,2876.79,3439.57,3942.65,4556.67,4899.5,5917.64,7211.49,7966.41
Net Block,863.77,930.66,962.92,1135.96,1267.17,1582.65,1915.57,2044.22,2186.81,3331.57
Capital Work in Progress,133.32,100.44,51.06,62.21,97.16,169.89,178.49,106.75,605.51,110.54
Investments,90.68,134.49,347.54,472.13,333.13,394.92,315.17,355.67,234.33,183.11
Other Assets,1507.09,1550.25,1515.27,1769.27,2245.19,2409.21,2490.27,3411,4184.84,4341.19
Total,2594.86,2715.84,2876.79,3439.57,3942.65,4556.67,4899.5,5917.64,7211.49,7966.41
Receivables,485.66,535.21,545.4,578.14,692.4,671.48,714.11,1019.72,1053.68,1243.12
Inventory,695.66,719.47,733.23,935.47,1007.34,1233.53,1278.46,1616.13,2315.83,2319.12
Cash & Bank,184.09,169.76,105.33,102.45,204.97,238.48,219.93,439.61,312.95,244.69
No. of Equity Shares,346481300,693284120,693477912,970986647,970986647,971122908,971219780,971295037,971295037,971422485
New Bonus Shares,,,,,,,,,,
Face value,2,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,310.31,413.81,594.57,394.5,421.9,610.84,724.64,795.76,566.5,975.97
Cash from Investing Activity,-301.38,-183.55,-259.21,-308.4,-183.43,-378.59,-223.37,-456.7,-521.29,-600.25
Cash from Financing Activity,-51.85,-198.29,-367.63,-82.42,-200.13,-258.77,-479.42,-281.76,-78.13,-362.85
Net Cash Flow,-42.92,31.97,-32.27,3.68,38.34,-26.52,21.85,57.3,-32.92,12.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
