COMPANY NAME,BHARAT ELECTRONICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,226.2,,,,,,,,,
Market Capitalization,165275.84,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,6517.86,7092.63,7353.77,8656.39,10400.8,12164.17,12967.67,14108.69,15368.18,17734.44
Raw Material Cost,3683.15,3866.79,4019.3,4800.41,5070.74,6037.64,6820.23,7911.37,9146.85,10183.86
Change in Inventory,-73.91,-27.36,232.71,420.06,-410.89,130.68,-249.31,124.69,280.28,393.28
Power and Fuel,42.02,44.61,45.85,37.99,37.78,43.88,41.6,38.12,43.13,46.81
Other Mfr. Exp,172.74,191.03,153.07,129.58,154.44,144.1,140.17,168.78,183.7,184.06
Employee Cost,1046.12,1281,1267.21,1559.87,1788.07,1895.63,2075.09,1956.16,2128.01,2317.34
Selling and admin,199.64,197.07,196.28,214.95,253.59,290.54,263.08,326.69,215.55,278.86
Other Expenses,375.6,305.38,511.74,541.69,645.91,973.65,619.67,618.51,586.84,1027.03
Other Income,437.92,507.47,572.64,420.11,195.73,72.99,99.4,124.96,231.54,280.8
Depreciation,149.87,166.15,191.96,211.63,271.72,338.13,371.86,387.32,401.13,428.82
Interest,6.81,7.44,9.74,17.87,6.36,15.93,7.66,9.61,8.55,18.83
Profit before tax,1205.92,1513.27,1763.97,1982.57,1957.03,2628.34,2478.4,2941.78,3166.24,3922.91
Tax,254.24,316.21,427.22,485.54,549.78,780.31,685.77,872.44,811.78,982.56
Net profit,951.31,1197.21,1337.39,1523.58,1431.72,1886.4,1823.85,2098.94,2398.87,2984.42
Dividend Amount,186.4,233.6,408,502.56,487.32,828.44,682.25,974.64,1096.47,1315.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3678.05,3701.65,6339.81,3140.61,3961.59,4153.12,6479.12,3532.94,4009.06,4162.16
Expenses,2814.04,2872.34,4762.28,2618.24,3093.31,3289.73,4647.28,2860.43,2994.89,3089.66
Other Income,62.38,59.91,63.94,82.21,73.79,58.64,66.16,140.23,137.06,167.42
Depreciation,99.4,98.19,106.09,99.32,109.45,106.07,113.98,108.94,108.26,107.46
Interest,0.49,0.18,4.25,1.02,1.75,9.72,2.46,1.07,1.51,0.51
Profit before tax,826.5,790.85,1531.13,504.24,830.87,806.24,1781.56,702.73,1041.46,1131.95
Tax,216.46,205.98,384.63,148.11,216.04,203.23,415.18,174.13,260.73,283.83
Net profit,624.46,595.86,1154.2,365.65,623.74,613.01,1382.02,538.48,789.35,859.58
Operating Profit,864.01,829.31,1577.53,522.37,868.28,863.39,1831.84,672.51,1014.17,1072.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,80,80,240,223.36,243.66,243.66,243.66,243.66,243.66,730.98
Reserves,7140.26,8036.84,9006.16,7512.41,7772.02,8967.84,9827.87,10815.92,12042.27,13130.65
Borrowings,0.44,25.27,28.39,63.58,80.36,33.63,8.33,2.52,52.7,61.34
Other Liabilities,7759.78,7587.23,9330.39,9800.29,10868.48,11575.45,14270.66,18429.51,21573.51,21567.02
Total,14980.48,15729.34,18604.94,17599.64,18964.52,20820.58,24350.52,29491.61,33912.14,35489.99
Net Block,694.73,1073.01,1231.84,1501.1,1839.05,2297.6,2712.59,2652.14,2675.26,2962.86
Capital Work in Progress,458.23,140.33,429.79,742.81,940.05,849.03,827.98,882.68,1006.04,854.94
Investments,,0.05,462.46,490.96,937.34,964.42,1110.32,1305.94,1572.02,649.99
Other Assets,13827.52,14515.95,16480.85,14864.77,15248.08,16709.53,19699.63,24650.85,28658.82,31022.2
Total,14980.48,15729.34,18604.94,17599.64,18964.52,20820.58,24350.52,29491.61,33912.14,35489.99
Receivables,4155.88,3805.32,3721.91,4368.26,5014.3,5373.67,6724.02,6561.99,6108.09,7033.48
Inventory,3344.52,3427.95,4157.65,4885.03,4583.37,4443.35,3960.51,4970.28,5594.91,6449.75
Cash & Bank,4604.53,6037.92,7216.11,3827.19,841.07,971.87,1660.5,5073.76,7563.74,8111.58
No. of Equity Shares,80000000,80000000,240000000,2233627930,2436592943,2436592943,2436592943,2436592943,2436592943,7309778829
New Bonus Shares,,,160000000,,223362793,,,,,
Face value,10,10,10,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-569.02,1433.74,2260.06,-60.94,-686.59,1513.88,2570.41,5093.22,4207.22,1266.86
Cash from Investing Activity,759.36,-839.15,-1470.34,3114.65,-6.41,-895.94,-648.96,-2595.22,-4871.66,2690.84
Cash from Financing Activity,-213.35,-209.02,-317.7,-2856.8,-1202.38,-662.67,-1060.52,-1075.73,-1077.6,-1312.87
