COMPANY NAME,BHARAT FORGE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1412.15,,,,,,,,,
Market Capitalization,65610.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,7622.2,6809.15,6396.15,8357.69,10145.73,8055.84,6336.26,10461.08,12910.26,15682.07
Raw Material Cost,2864.79,2711.63,2484.36,3407.57,4589.71,3524.19,2653.81,4805.89,6231.4,7383.4
Change in Inventory,-17.78,143.59,48.58,126.45,375.37,-52.34,19.65,589.93,270.04,4.21
Power and Fuel,472.91,422.95,405,491.55,591.89,481.43,396.1,576.84,827.88,
Other Mfr. Exp,1365.1,836.33,750.44,974.1,1129.96,879.09,747.76,1260.38,1464.66,
Employee Cost,905.83,916.26,932.03,1090.2,1247.3,1196.51,1072.21,1465.71,1564.36,1860
Selling and admin,255.42,302.99,270.42,333.5,458.97,380.2,326.28,607.04,834.23,
Other Expenses,350.35,350.06,481.94,464.54,455.63,470.28,327.74,352.22,521.12,3884.94
Other Income,226.14,148.25,391.35,46.49,199.36,108.95,-137.57,288.3,124.5,220.42
Depreciation,362.33,452.98,452.05,466.88,520.79,547.72,612.16,730.3,735.59,848.2
Interest,135.58,115.96,99.96,106.53,127.22,171.33,107.73,160.41,298.62,491.17
Profit before tax,1118.25,991.83,959.88,1195.76,1598.99,461.7,-25.45,1380.52,826.94,1438.99
Tax,358.69,316.48,249.17,441.79,566.39,112.46,101.52,303.45,318.56,528.83
Net profit,762.54,678.46,704.62,762.44,1032.17,349.83,-126.38,1081.76,528.36,951.13
Dividend Amount,174.64,174.64,174.64,209.54,232.82,162.98,93.13,325.96,325.96,419.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2394.69,3573.09,2851.46,3076.39,3353.36,3629.05,3877.27,3774.19,3866.41,4164.21
Expenses,1895.32,3029.86,2426.11,2644.65,2914.31,3191.08,3281.9,3152.76,3168.54,3520.93
Other Income,201.13,69.83,29.53,43.72,36.57,17.24,66.7,50.89,57.66,45.16
Depreciation,176.08,213.83,180.75,188.11,185.58,181.14,206.09,211.33,223.67,207.11
Interest,24.47,62.63,39.54,52.57,109.23,97.29,114.5,124.33,136.82,115.52
Profit before tax,499.95,336.6,234.59,234.78,180.81,176.78,341.48,336.66,395.04,365.81
Tax,77.95,104.75,74.21,93.23,102.09,49.03,127.75,121.79,140.59,138.69
Net profit,421.19,235.72,164.45,145.92,82.5,135.5,223.4,227.23,264.55,235.95
Operating Profit,499.37,543.23,425.35,431.74,439.05,437.97,595.37,621.43,697.87,643.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,46.57,46.57,46.57,93.13,93.13,93.13,93.13,93.13,93.13,93.13
Reserves,3397.6,3366.65,4069.8,4557.28,5281.63,5125.31,5320.69,6476.25,6611.1,7077.06
Borrowings,2546.42,3375.17,3124.07,3256.97,4029.31,4469.35,5270.66,5971.62,7313.24,7947.53
Other Liabilities,2245.32,1503.57,1600.3,2069.39,2174.2,1794.63,2403.29,2950.83,4217.19,4231.4
Total,8235.91,8291.96,8840.74,9976.77,11578.27,11482.42,13087.77,15491.83,18234.66,19349.12
Net Block,2628.69,3133.97,3277.07,3499.7,3624.6,4002,4749.97,4869.99,6160.91,6323.77
Capital Work in Progress,869.64,408.81,453.18,343.78,830.68,1142.68,900.11,1124.76,701.16,976.86
Investments,495.54,885.7,1191.56,1501.14,1523.66,1618.02,2606.76,2603.76,2568.82,1848.98
Other Assets,4242.04,3863.48,3918.93,4632.15,5599.33,4719.72,4830.93,6893.32,8803.77,10199.51
Total,8235.91,8291.96,8840.74,9976.77,11578.27,11482.42,13087.77,15491.83,18234.66,19349.12
Receivables,853.47,1401.74,1341.07,1937.14,2147.84,1493.85,1409.58,2162.3,3087.46,3167.15
Inventory,1033.9,996.78,1075.2,1359.89,1844.67,1734.7,1793.94,2710.46,3126.25,3216.08
Cash & Bank,681.99,449.29,336.08,304.06,475.46,575.11,472.86,603.02,1039.52,1689.92
No. of Equity Shares,232967156,232794316,232967156,465761472,465761472,465761472,465761472,465761472,465761472,
New Bonus Shares,,,,232794316,232794316,232794316,232794316,232794316,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1034.52,1355.78,1051.67,967.36,911.47,1521.95,1020.02,505.85,1294.47,1664.4
Cash from Investing Activity,-466.87,-888.37,-736.61,-722.26,-1195.89,-1114.12,-1511.06,-689.69,-1665.58,-666.75
Cash from Financing Activity,-359.91,-448.33,-400.66,-314.42,367.65,-381.42,578.3,310.17,280.27,-202.69
