COMPANY NAME,BHARTI AIRTEL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1275.45,,,,,,,,,
Market Capitalization,758681.5,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,85863.5,96100.7,96532.1,95468.3,82638.8,80780.2,87539,100615.8,116546.9,139144.8
Raw Material Cost,472.8,774.4,,,,,,,,
Change in Inventory,,494.8,,,,,,,,
Power and Fuel,,8439.8,6904.9,7294.6,6908.2,8043.6,9124.9,9224,10489.8,13088.2
Other Mfr. Exp,38509.6,30935.6,34292.2,34082.7,30443.6,31849.8,29935.1,34945.5,35639.8,39040.1
Employee Cost,4622.8,4857,4910.8,4303.2,3977.1,3797.5,3807.2,4114.6,4433.3,4830.8
Selling and admin,13708.9,16459.6,10258.8,8626.8,6023.1,5337.7,4643.2,4787.8,6413.6,8593.2
Other Expenses,2037.7,1527.1,6181.2,5831.2,5207.7,5987.8,3419.1,2265,2036.5,2319
Other Income,2881,1242.6,4858,1713.1,1756.5,4474.1,-37774.6,-4215,4656.1,1018.9
Depreciation,15649.6,19858.3,17449.8,19773,19243.1,21347.5,27689.6,29404.4,33090.7,36431.8
Interest,5878.8,4446.5,8546.1,9546.6,9325.5,10622.2,13991.8,15091,16616.2,19299.9
Profit before tax,7864.3,10539.8,12846.3,7723.3,3267,-1731.8,-42846.5,-3431.5,12483.1,16560.7
Tax,4844.9,5486.7,5953.3,3481.9,1083.5,-3419.3,-12182.3,8932.5,4177.9,4273.3
Net profit,2772.7,4620.8,6076.7,3799.8,1099,409.5,-32183.2,-15083.5,4254.9,8345.9
Dividend Amount,719.53,1539,543.65,399.74,2134.61,999.35,1091.12,,1677,2269.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,28326.4,29866.6,31500.3,32804.6,34526.8,35804.4,36009,37440,37043.8,37899.5
Expenses,14515.9,15163.8,15460,16275.2,16933,17719.6,17311.9,17841.5,17530.1,18084.7
Other Income,1429.7,853,1638.4,355,558.6,-412.2,885.9,-2478.1,-653.9,1012.8
Depreciation,8247.2,8547.2,8582.6,8781.4,8946.8,9297.7,9405.9,9653.8,9734.3,10074.3
Interest,3964.1,4367.1,4059.3,4510.9,4940.3,4685.6,5163.1,5613.7,5185.8,6644.9
Profit before tax,3028.9,2641.5,5036.8,3592.1,4265.3,3689.3,5014,1852.9,3939.7,4108.4
Tax,1030.8,990.8,1321.8,1123.3,1286.4,1075.6,788,332.7,1846.5,1232
Net profit,1134,829.6,2007.8,1606.9,2145.2,1588.2,3005.6,1612.5,1340.7,2442.2
Operating Profit,13810.5,14702.8,16040.3,16529.4,17593.8,18084.8,18697.1,19598.5,19513.7,19814.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,1998.7,1998.7,1998.7,1998.7,1998.7,1998.7,2727.8,2746,2795,2836.6
Reserves,57757.3,37778.3,64770.6,65457.6,67535.7,69423.5,74417,56206.7,63759.3,74726.3
Borrowings,75895.8,83415.1,100646.5,107287.6,111333.5,125428.3,148228.1,162785.2,169677.9,226020.3
Other Liabilities,45840.4,58746.9,57056.2,57578.4,68653.1,77175.8,133718.4,122679.2,124975,140973.8
Total,181492.2,181939,224472,232322.3,249521,274026.3,359091.3,344417.1,361207.2,444557
Net Block,140614.5,124278.6,172292.8,178235.1,187200.4,200831.5,229255.5,223479.6,244083.3,277393.8
Capital Work in Progress,,17414.8,5702,10838.5,9751.2,9634.2,4282.3,5726.5,5954.7,49425.4
Investments,15530.8,10752,11977,14338.7,16158.6,15711,25476.5,27550.4,29349.1,32953.9
Other Assets,25346.9,29493.6,34500.2,28910,36410.8,47849.6,100077,87660.6,81820.1,84783.9
Total,181492.2,181939,224472,232322.3,249521,274026.3,359091.3,344417.1,361207.2,444557
Receivables,6244.1,5207.2,5503.9,4740.2,5883,4300.6,4605.8,3637.7,4056.2,3981.5
Inventory,142.2,133.9,169.2,48.8,69.3,88.4,156.9,266,375,257.6
Cash & Bank,4980.8,2083.1,5098.7,5098.3,6670.6,8064,15892.7,13466.1,13494.3,13418.6
No. of Equity Shares,3997400100,3997400102,3997400102,3997400102,3997400102,3997400107,5455557355,5492027268,5884314930,5967422312
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,26232.6,28059,27942.3,28279.9,29853.8,20070.2,18128.7,48205,55016.6,65324.6
Cash from Investing Activity,-25180.6,-22301.1,-14091.4,-30680,-27939.5,-28285.6,-29598.5,-27285.6,-41477.7,-39232.4
