COMPANY NAME,BIKAJI FOODS INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,511.35,,,,,,,,,
Market Capitalization,12815.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,400.03,468.11,549.71,609.68,780.83,901.11,1074.55,1308.46,1598.7,1944.39
Raw Material Cost,292.86,352.04,409.95,448.41,449.99,530.5,615.94,790.82,1000.14,1218.95
Change in Inventory,0.52,1.27,1.14,2.35,2,2.41,-1.34,3.37,8.9,4.08
Power and Fuel,15.91,16.76,28.69,32.07,24.22,31.84,34.34,35.52,46.87,50.14
Other Mfr. Exp,3.72,2.79,3.56,6.8,129.11,119.75,150.69,172.97,202.03,215.06
Employee Cost,25.02,30.16,23.18,26.23,38.47,66.81,64.61,69.14,85.58,97.31
Selling and admin,17.22,15.92,17.83,17.86,38.85,54.32,102.27,86.47,118.16,141.62
Other Expenses,2.68,2.7,4.64,7.34,2.15,7.57,10.95,11.65,12.51,16.47
Other Income,1.55,0.62,1.94,2.9,3.32,9.58,7.74,10.79,9.93,14.85
Depreciation,3.72,6.15,7.01,11.91,16.88,22.31,34.2,32.92,36.67,41.84
Interest,2.16,-4.47,,,4.6,4.02,5.5,3.26,6.62,8.83
Profit before tax,38.81,47.95,57.93,64.31,81.88,75.98,62.45,119.87,108.95,173.1
Tax,13.97,15.87,16.66,20.52,29.07,24.97,6.97,30.13,28.99,45.43
Net profit,24.84,32.09,41.27,43.79,52.81,51.01,55.48,89.75,79.96,127.67
Dividend Amount,,4.67,4.67,4.67,4.67,4.86,4.86,4.86,2.5,18.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,433.31,436.78,397.42,413.62,569.96,502.58,458.23,477.4,597.82,613.13
Expenses,387.17,412.97,357.44,382.37,504.98,451.93,400.09,413.18,508.75,536.83
Other Income,3.32,2.13,7.53,4.98,5.94,12.37,5.25,8.63,6.06,5.71
Depreciation,8.75,9.33,10.05,10.21,10.47,12.12,10.41,11.28,14.69,14.81
Interest,1.43,0.94,2.01,2.09,2.15,2.06,1.95,1.58,2.26,2.28
Profit before tax,39.28,15.67,35.45,23.93,58.3,48.84,51.03,59.99,78.18,64.92
Tax,8.87,5.04,9.1,6.1,14.91,11.09,14.3,15.26,16.87,15.83
Net profit,30.41,10.63,26.36,17.83,43.39,37.74,36.73,44.73,61.31,49.09
Operating Profit,46.14,23.81,39.98,31.25,64.98,50.65,58.14,64.22,89.07,76.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,20.42,23.34,23.34,23.34,23.34,24.31,24.31,24.31,24.95,24.95
Reserves,60.84,172.09,207.73,245.09,283.87,445.54,503.96,579.97,797.7,930.32
Borrowings,45.97,71.72,97.35,136.05,141.98,72.56,53.95,83.39,140.83,138.17
Other Liabilities,54.32,62.19,55.37,55.43,73.32,87.4,93.2,115.18,117.53,135.89
Total,181.55,329.34,383.79,459.91,522.51,629.81,675.42,802.85,1081.01,1229.33
Net Block,94.7,100.18,175.66,229.46,312.75,395.72,405.61,406.08,479.88,499.16
Capital Work in Progress,11.82,84.27,82.78,85.87,47.2,13.13,2.88,33.15,48.14,63.56
Investments,0.11,10.06,1.66,1.66,2.86,2.99,36.5,87.03,145.51,154.16
Other Assets,74.92,134.83,123.69,142.92,159.7,217.97,230.43,276.59,407.48,512.45
Total,181.55,329.34,383.79,459.91,522.51,629.81,675.42,802.85,1081.01,1229.33
Receivables,14.3,15.04,22.03,29.15,34.28,38.98,41.71,46.78,76.58,90.41
Inventory,17.01,28.01,23.19,30.06,31.48,38.33,36.49,56.2,69.77,70.53
Cash & Bank,18.7,65.48,66.98,66.62,67.43,103.33,88.27,86.6,89.23,95.68
No. of Equity Shares,20423735,23341411,23341411,23341411,23341411,24313306,24313306,24313306,249509880,249509880
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,26.85,54.37,34.04,36.55,78.39,63.84,51.22,121.08,59.83,172.53
Cash from Investing Activity,-27.39,-94.88,-73.61,-68.84,-63.13,-66.98,-54.08,-129.01,-220.11,-126.92
Cash from Financing Activity,1.13,87.29,41.07,31.94,-9.84,58,-25.78,1.51,156.7,-1.91
Net Cash Flow,0.59,46.79,1.5,-0.36,5.43,54.85,-28.64,-6.41,-3.58,43.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,362.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.04,2.33,2.33,2.33,2.33,2.43,2.43,2.43,24.95,24.95
