COMPANY NAME,BIOCON LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,298.65,,,,,,,,,
Market Capitalization,35902.7,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2877.3,3089.8,3347.4,3891.1,4123.4,5514.4,6300.5,7143.1,8184,11174.2
Raw Material Cost,1185.5,1308,1330.9,1515.6,1677.8,2106.3,2190.3,2533.8,2975,3817.2
Change in Inventory,-0.5,51.9,40.5,69,41.7,209.7,200.8,290.1,256.6,154.1
Power and Fuel,162.4,176.7,184.7,156.4,189,239.8,246.1,270.3,316.4,414.8
Other Mfr. Exp,128.9,124.7,177,232,302.1,386,452.2,548.6,620,818.2
Employee Cost,481.8,570.6,613.4,750.3,933.4,1168.9,1464.8,1749.1,1893.4,2196.1
Selling and admin,374.6,466.7,521.2,536.8,517,843.1,946.7,1033.6,1144.8,1323.5
Other Expenses,-143.5,-200.8,170.7,-210.5,-283.3,-413.7,-374.1,-282.9,-302,346.8
Other Income,55.9,158.2,639.3,173.4,227.5,339.9,227.8,259.8,71.9,17.5
Depreciation,203.6,221,248.7,277.2,385.1,447.8,552.2,715.1,814.2,1113.1
Interest,1.7,8.9,29.3,26,61.5,70.9,64.9,57.7,67.6,419
Profit before tax,537.7,624.1,751.3,849.7,610,1214.9,1186,1067.7,983.1,897.1
Tax,106.9,95.7,142.2,161.6,156.9,212.3,315.1,221.5,211.5,254.1
Net profit,413.8,497.4,550.4,612.1,372.4,905.3,748.2,740.5,648.4,462.7
Dividend Amount,100,100,100,60,60,60,,,60.03,180.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1840.4,2174.2,2408.8,2139.5,2319.7,2941.1,3773.9,3422.6,3462.3,3953.7
Expenses,1445.2,1733.2,1869.9,1783.1,1877.3,2352.4,2816.7,2741.4,2744.9,3051
Other Income,34.8,48.3,26.3,77.9,47.5,-192.8,151.9,93.5,133.9,586.7
Depreciation,201.5,205.7,212.2,217.5,230.8,301.1,363.7,358,389.3,414.5
Interest,22.5,14.7,10.5,19.9,30,120.3,248.8,233,247.7,266.7
Profit before tax,206,268.9,342.5,196.9,229.1,-25.5,496.6,183.7,214.3,808.2
Tax,46.3,49.3,58.6,29.5,147.3,-4.8,82.1,34.8,41.6,54.9
Net profit,138.3,187.1,238.6,144.4,46.9,-41.8,313.2,101.4,125.6,660
Operating Profit,395.2,441,538.9,356.4,442.4,588.7,957.2,681.2,717.4,902.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,100,100,100,100,300,300,600,600,600.3,600.3
Reserves,2926.7,3170.6,3933.8,4737.7,4880.8,5798,6105.8,7026.9,7832.2,17266.6
Borrowings,863.7,1117.2,2477.7,2302.5,2264,2422.1,2715.3,4481.1,5146.6,18018.8
Other Liabilities,1860.2,1987.6,1946.6,2254,2544.9,3672.3,4992.9,6382,6762.6,15856.1
Total,5750.6,6375.4,8458.1,9394.2,9989.7,12192.4,14414,18490,20341.7,51741.8
Net Block,1525.2,1629.9,1748.3,3625.9,3699.5,4471,5971.1,6363.9,6569,29467.7
Capital Work in Progress,1205.6,1676.6,2239.5,839.2,1302.8,1898.9,2196,2800.2,4110.4,7317
Investments,764.9,230.3,901.5,1253,675.2,1011.8,966.1,1951.9,1587.9,2068.8
Other Assets,2254.9,2838.6,3568.8,3676.1,4312.2,4810.7,5280.8,7374,8074.4,12888.3
Total,5750.6,6375.4,8458.1,9394.2,9989.7,12192.4,14414,18490,20341.7,51741.8
Receivables,599.8,770.5,714.5,883.2,1063.9,1291.8,1223.7,1503.3,2058.2,3573.2
Inventory,376.6,452.7,542.4,635.3,722.5,1031.6,1435.9,1866.6,2298.2,4243.7
Cash & Bank,804.4,937.5,1538.6,1044.3,1322.8,1057.2,998.6,2015.4,1747.5,2400.1
No. of Equity Shares,200000000,200000000,200000000,200000000,600000000,600000000,1200000000,1200000000,1200600000,1200600000
New Bonus Shares,,,,,,,600000000,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,560.7,210.7,370.6,640,662.1,1154.6,1283.1,1159.7,1176.6,1852.5
Cash from Investing Activity,-903.7,-491.3,-1138.2,-509.8,-683.6,-702.6,-1505.3,-3651.4,-1662,-14260.1
Cash from Financing Activity,426,186.2,1067.6,-177.5,-239.7,-241.7,387.6,2564,242.1,13048.7
Net Cash Flow,83,-94.4,300,-47.3,-261.2,210.3,165.4,72.3,-243.3,641.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,70.73,78.22,80.56,188.72,296.95,305.28,270.55,408.9,335.6,206.35
