COMPANY NAME,BIRLA CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1483.75,,,,,,,,,
Market Capitalization,11437.54,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3209.89,3268.16,4347.67,5729.97,6548.73,6915.69,6785.45,7461.22,8682.27,9662.72
Raw Material Cost,511.55,617.88,664.55,787.12,962.7,974.17,911.72,1074.34,1216.02,1505.62
Change in Inventory,39.99,14.03,-14.43,-46.36,20.91,54.91,-75.44,20.82,121.95,-75.27
Power and Fuel,867.51,774.94,968.43,1302.41,1485,1380.92,1211.56,1624.61,2372.62,1947.43
Other Mfr. Exp,611,581.35,741.62,916.03,1102.22,1133.86,1161.07,1343.37,1663.98,
Employee Cost,226.15,244.83,307.14,358.21,371.81,408.93,418.48,474.74,526.71,556.17
Selling and admin,655.68,699.79,900.59,1318.37,1499.13,1526.39,1445.16,1658.47,1959.63,
Other Expenses,75.81,77.31,127.36,193.36,200.17,199.38,210.47,196.46,280.54,4140.63
Other Income,142.59,145.89,139.04,61.53,78.47,74.15,28.08,67.3,106.99,92.35
Depreciation,153.75,148.76,255.5,332.16,339.12,351.91,370.76,396.94,509.88,578.31
Interest,78.37,82.26,276.79,377.64,370.52,387.67,296.28,242.66,338.72,371.71
Profit before tax,212.65,200.96,230.3,159.84,317.44,681.52,712.59,537.75,43.11,579.93
Tax,37.4,33.23,10.83,5.89,61.74,176.34,82.45,139.16,2.61,159.37
Net profit,175.24,167.72,219.46,153.94,255.69,505.18,630.14,398.59,40.5,420.56
Dividend Amount,46.21,46.21,50.06,50.06,57.76,57.76,77.01,77.01,19.25,77.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1750.06,2264.21,2203.76,1999.83,2016.11,2462.57,2408.46,2285.83,2312,2656.43
Expenses,1527.61,1987.51,1944.45,1905.87,1871.7,2188.24,2110.62,1996.98,1933.5,2184.02
Other Income,13.89,30.89,2.65,41.75,7.89,67.41,16.17,27.15,16.31,32.72
Depreciation,100.7,99.68,114.53,125.4,129.86,140.09,140.31,143.48,144.82,149.7
Interest,60.83,54.73,70.29,92.79,86.92,88.72,97.42,95.4,96.52,82.37
Profit before tax,74.81,153.18,77.14,-82.48,-64.48,112.93,76.28,77.12,153.47,273.06
Tax,14.36,42.1,15.22,-26.02,-14.57,27.98,16.57,18.75,44.33,79.72
Net profit,60.45,111.08,61.92,-56.46,-49.91,84.95,59.71,58.37,109.14,193.34
Operating Profit,222.45,276.7,259.31,93.96,144.41,274.33,297.84,288.85,378.5,472.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,77.01,77.01,77.01,77.01,77.01,77.01,77.01,77.01,77.01,77.01
Reserves,2549.96,2848.31,3209.24,4202.81,4418.21,4729.12,5408.98,5971.84,5903.79,6596.76
Borrowings,1302.18,1281.25,4254.94,4130.47,4049.2,4281.95,4146.34,4325.94,4462.27,3903.47
Other Liabilities,1065.85,1022.75,2156.63,2664.27,2787.19,3087.39,3268.23,3487.86,3645.75,3858.93
Total,4995,5229.32,9697.82,11074.56,11331.61,12175.47,12900.56,13862.65,14088.82,14436.17
Net Block,1927.56,2033.06,6362.16,7367.85,7263.43,7324.73,7322.77,7576.89,9842.88,9790.66
Capital Work in Progress,122.82,63.37,805.34,762.3,914.05,1603.9,2104.79,2551.06,357.64,480.23
Investments,1308.97,1689.96,564.17,672.15,876.73,836.17,752.45,1008.94,867.23,1287.03
Other Assets,1635.65,1442.93,1966.15,2272.26,2277.4,2410.67,2720.55,2725.76,3021.07,2878.25
Total,4995,5229.32,9697.82,11074.56,11331.61,12175.47,12900.56,13862.65,14088.82,14436.17
Receivables,88.13,94.24,132.53,191.45,262.2,250.38,279.51,302.81,323.34,414.94
Inventory,552.54,567.41,630.18,686.96,783.02,787.63,815.06,830.1,1078.43,964.55
Cash & Bank,468.02,363.38,312.47,219.82,138.96,99.45,177.25,137.98,218.29,159.21
No. of Equity Shares,77008947,77008947,77008947,77005347,77005347,77005347,77005347,77005347,77005347,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,281.78,248.73,677.26,804.86,1064.13,1341.21,1328.43,1039.15,805.46,1619.45
Cash from Investing Activity,-11.01,-11.01,-981.56,-234.43,-543.38,-1183.98,-581.51,-775.09,-365.03,-700.05
Cash from Financing Activity,-265.08,-201.87,280.25,-555.17,-534.88,-201.17,-701.87,-270.26,-318.31,-969.14
Net Cash Flow,5.69,35.84,-24.05,15.26,-14.13,-43.94,45.05,-6.2,122.12,-49.74
,,,,,,,,,,
,,,,,,,,,,
