COMPANY NAME,BIRLASOFT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,604.3,,,,,,,,,
Market Capitalization,16684.86,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2989.92,3224.29,3320.04,2249.8,2550.67,3290.97,3555.72,4130.35,4794.77,5278.15
Raw Material Cost,84.88,17.23,36.01,,,,,,,
Change in Inventory,-0.28,3.81,10.4,,,,,,,
Power and Fuel,10.57,13.05,12.92,8.14,8.97,11.83,7.47,6.7,7.18,
Other Mfr. Exp,485.31,474.29,513.64,394.67,425.07,632.89,741.84,960.21,1034.49,
Employee Cost,1741.16,1933.5,2090.53,1347.74,1535.19,1997.54,2126.68,2368.88,2813.06,3048.33
Selling and admin,285.68,300.87,296.04,182.67,229.74,193.35,101.16,128.49,226.88,
Other Expenses,57.64,54.42,32.61,33.29,45.28,63.44,49.29,25.95,191.6,1393.6
Other Income,35.18,16.38,46.69,87.04,100.39,42.99,18.93,66.07,21.72,103.51
Depreciation,85.14,69.13,82.66,40.18,49.87,82.58,80.37,76.51,82.27,85.03
Interest,25.98,16.54,13.6,8.13,10.84,16.13,13.04,13.02,18.59,19.94
Profit before tax,248.46,365.45,299.12,322.02,346.1,336.2,454.8,616.66,442.42,834.76
Tax,11.48,84.55,60.57,67.65,53.94,111.85,133.97,153.03,110.84,211
Net profit,236.99,280.9,238.51,252.85,289.47,224.35,320.83,463.64,331.58,623.76
Dividend Amount,20.69,41.33,41.4,45.48,54.83,55.34,97.06,125.78,96.2,110.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1071.91,1101.44,1154.41,1192.08,1221.89,1226.39,1262.77,1309.88,1342.95,1362.55
Expenses,909.15,926.89,984.61,1015.73,1214.54,1059.43,1069.65,1102.72,1128.67,1140.88
Other Income,12.76,22.62,15.47,-2.72,12.37,-2.31,14.06,15.56,28.17,45.72
Depreciation,18.75,19.97,19.64,20.67,21,20.96,21.38,21.5,21.06,21.09
Interest,3.14,3.6,3.25,5.81,5.56,3.97,4.23,5.69,5.95,4.08
Profit before tax,153.63,173.6,162.38,147.15,-6.84,139.72,181.57,195.53,215.44,242.22
Tax,39.66,40.69,41.66,32.11,9.53,27.56,44.04,50.45,54.39,62.13
Net profit,113.97,132.9,120.72,115.05,-16.36,112.17,137.54,145.08,161.06,180.08
Operating Profit,162.76,174.55,169.8,176.35,7.35,166.96,193.12,207.16,214.28,221.67
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,37.61,37.57,37.64,37.9,54.83,55.34,55.46,55.9,54.97,55.19
Reserves,1258.54,1347.87,1544.82,1779.01,1658.72,1837.08,2124.48,2527.15,2393.32,2988.94
Borrowings,504.95,250.23,387.15,310.01,38.12,145.03,128.11,122.83,101.83,93.17
Other Liabilities,472.69,547.48,558.8,605.95,745.91,649.88,686.39,677.46,637.16,788.35
Total,2273.79,2183.15,2528.41,2732.87,2497.58,2687.33,2994.44,3383.34,3187.28,3925.65
Net Block,729.56,630.18,670.85,829.43,588.1,750.99,698.15,724.55,735.9,697.09
Capital Work in Progress,12.05,36.04,137.61,31.54,,2.35,6.55,2.84,6.5,11.64
Investments,81.51,11.76,78.8,129.22,190.9,33,570.95,840.18,563.14,1319.57
Other Assets,1450.67,1505.17,1641.15,1742.68,1718.58,1900.99,1718.79,1815.77,1881.74,1897.35
Total,2273.79,2183.15,2528.41,2732.87,2497.58,2687.33,2994.44,3383.34,3187.28,3925.65
Receivables,697.87,686.09,784.34,805.7,710.75,740.19,518.23,681.16,731.61,1036.52
Inventory,22.88,38,43.35,23.88,,,,,,
Cash & Bank,363.75,395.33,390.18,504.93,377.16,630.11,527.36,382.78,553.49,424.94
No. of Equity Shares,188065361,187826334,188193398,189514051,274143808,276708577,277286094,279496082,274870547,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,289.41,409.95,163.03,407.42,-71.58,309.91,557.84,280.69,560.92,718.23
Cash from Investing Activity,-102.1,-145.51,-150.19,-192.83,123.31,-42.34,-444.45,-309.49,251.57,-626.92
Cash from Financing Activity,-40.33,-306.54,80.13,-128.39,-116.16,-179.69,-96.87,-146.73,-636.2,-167.81
Net Cash Flow,146.97,-42.1,92.97,86.2,-64.42,87.88,16.53,-175.53,176.29,-76.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,118.61,93.03,81.61,136.26,98.65,61,253.05,454.95,261.15,742
,,,,,,,,,,
DERIVED:,,,,,,,,,,
