COMPANY NAME,BLUE DART EXPRESS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,7092.75,,,,,,,,,
Market Capitalization,16844.79,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2272.15,2562.94,2689.5,2799.24,3174.4,3175.13,3288.13,4410.49,5172.22,5267.83
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,16.76,188.14,194.14,217.92,263.43,234.37,172.22,332.04,516.57,
Other Mfr. Exp,1532.31,1162.91,1261.4,1318.66,1566.53,1489.92,1480.39,2044.93,2601.58,
Employee Cost,321.76,525.58,555.13,584.89,698.67,733.88,729.81,766.33,839.55,907.1
Selling and admin,171.27,265.78,327.62,310.06,346.38,207.12,197.26,248.72,227.67,
Other Expenses,5.73,14.3,9.22,15.77,13.21,35.23,22.16,18.46,49.24,3507.95
Other Income,24.55,34.79,25.9,20.01,18.51,-49.02,-5.55,-5.38,31.92,50.84
Depreciation,43.6,102.06,103.75,114.45,127.89,347.33,430,395.37,394.48,432.86
Interest,11.21,43.1,45.01,40.5,42.66,117.38,110.95,86.97,66.85,78.06
Profit before tax,194.06,295.86,219.13,217,134.14,-39.12,139.79,512.29,508.2,392.7
Tax,66.88,99.03,79.29,72.29,44.38,2.74,37.98,130.08,137.67,91.69
Net profit,129.33,196.83,139.84,144.71,89.76,-41.86,101.81,382.21,370.53,301.01
Dividend Amount,380.16,71.28,35.64,29.7,29.7,,35.64,142.56,71.28,59.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1254.75,1165.91,1293.31,1325.28,1337.08,1216.55,1237.55,1324.48,1382.93,1322.87
Expenses,981.08,874.11,1026.09,1082.29,1109.03,1017.32,1046.88,1101.75,1169.5,1096.92
Other Income,14.36,3.61,6.74,7.68,8.95,8.67,10.2,5.23,24.35,11.06
Depreciation,103.09,92.52,97.4,101.13,99.6,96.35,99,110.56,110.59,112.71
Interest,19.56,19.64,17.6,18.41,15.92,14.92,19.49,19.54,19.67,19.36
Profit before tax,165.38,183.25,158.96,131.13,121.48,96.63,82.38,97.86,107.52,104.94
Tax,41.96,46.28,40.17,37.49,32.82,27.19,21.1,24.8,18.63,27.16
Net profit,123.42,136.97,118.79,93.64,88.66,69.44,61.28,73.06,88.89,77.78
Operating Profit,273.67,291.8,267.22,242.99,228.05,199.23,190.67,222.73,213.43,225.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,23.76,23.76,23.76,23.76,23.76,23.76,23.76,23.76,23.76,23.76
Reserves,283.5,358.14,405.72,508.05,553.96,467.07,568.2,848.23,1155.8,1343.51
Borrowings,332.19,396.78,490.78,417.61,572.68,530,1522.15,1065.94,1120.14,1072.95
Other Liabilities,348.66,486.09,476.88,553.13,660.86,1619.96,783.32,890.83,923.34,1020.68
Total,988.11,1264.77,1397.14,1502.55,1811.26,2640.79,2897.43,2828.76,3223.04,3460.9
Net Block,215.64,452.91,470.54,518.3,654.36,1664.98,1583.18,1436.87,1437.03,1822.94
Capital Work in Progress,25.4,21.47,66.88,99.22,90.66,18.03,6.68,69.13,438.91,73.46
Investments,26.48,,,,,,150.07,207.39,170.89,307.28
Other Assets,720.59,790.39,859.72,885.03,1066.24,957.78,1157.5,1115.37,1176.21,1257.22
Total,988.11,1264.77,1397.14,1502.55,1811.26,2640.79,2897.43,2828.76,3223.04,3460.9
Receivables,290.98,290.74,360.69,422.25,491.02,528.23,517.92,580.01,636.66,670.43
Inventory,3.95,21.1,24.65,21.33,26.01,26.99,31.78,34.99,39.35,51.83
Cash & Bank,166.25,288.18,256.83,228.67,268.71,100,310.52,184.33,95.52,166.24
No. of Equity Shares,23762734,23757934,23757934,23757934,23757934,23757934,23757934,23757934,23727934,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,153.46,360.96,225.02,316.7,243.33,364.11,750.18,859.79,716.74,846.73
Cash from Investing Activity,31.86,-148.77,-227.8,-189.8,-280.03,-192.58,-528.98,11.31,-514.09,-374.64
Cash from Financing Activity,-125.53,-94.6,-32.82,-151.94,79.17,-340.09,-235.2,-772.06,-291.45,-401.23
Net Cash Flow,59.79,117.59,-35.6,-25.04,42.47,-168.56,-14,99.04,-88.8,70.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,7299.35,6050,5203.5,3768.75,3593.85,2199.05,5574.35,6862.25,6212.95,6183.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
