COMPANY NAME,BOSCH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,29881.7,,,,,,,,,
Market Capitalization,88091.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,8756.7,12085.5,9701.4,10435.2,11690.1,12085,9841.6,9718,11781.6,14929.3
Raw Material Cost,4899.2,6531.6,4900.3,5432.2,6283.3,6871.9,5097.8,5934.5,7573.7,9602.5
Change in Inventory,123.5,66.9,-82.5,119.7,-39.5,168,-223.4,152.3,275.1,139.7
Power and Fuel,107,131.7,104.7,108,109.7,111.2,97.6,86.1,100.1,106.5
Other Mfr. Exp,348.3,473.8,396.7,429.1,671.6,769.6,616.4,592.1,475.1,577.5
Employee Cost,1179.2,1663.1,1303.1,1342.8,1356.5,1350.7,1268.5,931.6,1066.6,1145.9
Selling and admin,696.5,931.4,680.9,806.1,909.4,842.5,922.1,936.1,1150.4,1539.4
Other Expenses,361.3,439.5,355.1,474.1,226.9,153,132.5,226.6,228.4,287.7
Other Income,352.6,537.3,622.7,912.2,417.9,600,-105.1,-240.8,390.9,470.6
Depreciation,384.2,548.4,386.4,456.2,467.2,402.2,383.3,341.4,324.3,385.6
Interest,0.5,14.3,12.9,27.2,3.3,13.3,10.2,14,28.9,12.1
Profit before tax,1256.6,1955.9,2101.5,2391.4,2040.6,2338.6,984.7,567.1,1500.1,1882.4
Tax,371.9,618.2,570.1,650.3,669.8,740.6,334.9,84.6,282.9,457.9
Net profit,884.7,1337.7,1531.4,1741.1,1370.8,1598,649.8,482.5,1217.2,1424.5
Dividend Amount,172.7,266.9,266.9,503.25,305,309.75,309.75,339.25,619.5,1416
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2918,3109.1,3311,3544.4,3661.6,3659.9,4063.4,4158.4,4130.1,4205.2
Expenses,2560.4,2751.6,2870.2,3094.9,3230.5,3256.2,3541,3690.5,3638.8,3626.8
Other Income,124.3,80.3,87.2,56.6,149.7,131.2,135.9,187.5,939.2,213.6
Depreciation,82.9,85.1,89.2,64.8,91.9,108.3,120.6,92.1,101.3,117.3
Interest,1.5,16.9,7.3,3.6,1.9,2,4.6,30.8,12.2,3.9
Profit before tax,397.5,335.8,431.5,437.7,487,424.6,533.1,532.5,1317,670.8
Tax,25.5,100.9,80.9,103.5,114.6,105.7,134.1,123.5,318.1,152.7
Net profit,372,234.9,350.6,334.2,372.4,318.9,399,409,998.9,518.1
Operating Profit,357.6,357.5,440.8,449.5,431.1,403.7,522.4,467.9,491.3,578.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,31.4,31.4,31.4,30.5,30.5,29.5,29.5,29.5,29.5,29.5
Reserves,6262.9,7315.6,9503.5,8769.1,9950.8,9096.7,9239.9,9792.6,10658.4,10982.7
Borrowings,183.1,110.9,50,,,,73.9,53.8,72.9,53.2
Other Liabilities,2413.6,2972.9,2847.9,3000.2,3946.1,3583.4,3976.7,4897.6,4649.6,5194
Total,8891,10430.8,12432.8,11799.8,13927.4,12709.6,13320,14773.5,15410.4,16259.4
Net Block,938.1,967.6,1148.7,1513.7,1317.5,1175.7,1342,1240.7,1211,1731.3
Capital Work in Progress,439.6,276,150.7,128.9,313.2,644.2,487,487.8,605.9,365.5
Investments,2202.3,2889.6,4628.1,3926.6,5240.4,4053.8,4041.5,5157.1,5527.5,5022.6
Other Assets,5311,6297.6,6505.3,6230.6,7056.3,6835.9,7449.5,7887.9,8066,9140
Total,8891,10430.8,12432.8,11799.8,13927.4,12709.6,13320,14773.5,15410.4,16259.4
Receivables,1056.1,1187.7,1322.5,1186.2,1615.6,1567.5,1413,1389.4,1534.3,1902.9
Inventory,1197.8,1276.2,1191.5,1180.4,1225.8,1444.3,1115.9,1298.5,1729.3,1902.9
Cash & Bank,1441.5,1896,1831.5,1717.6,1887.8,1252.7,2256,2450.5,1705.4,2056.9
No. of Equity Shares,31398900,31398900,31398900,30520740,30520740,29493640,29493640,29493640,29493640,29493640
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1057,1396.3,1317.7,1456.7,1728.7,593.2,1336.1,835,270.6,1213.6
Cash from Investing Activity,-846.2,-1183,-994.9,1246,-1170.3,1765.9,-872.9,-463.1,-33.2,261.8
Cash from Financing Activity,-237.9,-236.8,-356,-2669.7,-324.6,-2530.8,-399,-338.2,-383.1,-1239.4
Net Cash Flow,-27.1,-23.5,-33.2,33,233.8,-171.7,64.2,33.7,-145.7,236
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
