COMPANY NAME,BRITANNIA INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,5070.1,,,,,,,,,
Market Capitalization,122042.1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,7858.42,8397.23,9054.09,9913.99,11054.67,11599.55,13136.14,14136.26,16300.55,16769.27
Raw Material Cost,4722.21,5016.99,5642.88,6100.8,6616.64,6874.9,7663.22,8835.56,9663.83,9488.37
Change in Inventory,30.4,4.27,54.2,-6.3,55.18,-52.57,37.12,75.26,72.53,-3.66
Power and Fuel,110.96,95.16,104.28,128.83,175.17,177.7,182.29,217.68,272.2,
Other Mfr. Exp,555.68,510.15,509.93,487.59,621.32,610.68,672.21,752.29,893.75,
Employee Cost,294.44,341.36,352.61,401.6,441.82,486.69,527.38,542.26,658.38,708.7
Selling and admin,1129.07,956.77,915.01,953.48,1107.49,1125.23,1163.82,1187.32,1473.86,
Other Expenses,206.14,257.5,305.4,333.92,414.96,428.6,455.05,475.1,580.15,3401.89
Other Income,227.61,115.17,150.54,166.37,206.45,262.83,313.07,221.85,596.87,211.28
Depreciation,144.48,113.41,119.27,142.07,161.88,184.81,197.85,200.54,225.91,300.46
Interest,3.86,4.87,5.45,7.59,9.09,76.9,110.9,144.29,169.1,164
Profit before tax,949.59,1220.46,1304,1518.18,1767.93,1844.3,2513.61,2078.33,3032.77,2913.47
Tax,261.11,396.1,419.67,514.22,612.47,450.7,663.02,562.35,716.45,779.25
Net profit,688.64,824.58,884.47,1004.23,1159.12,1402.63,1863.9,1524.82,2321.77,2139.81
Dividend Amount,191.92,240,264,300.12,360.45,841.75,3794.18,1361.08,1734.48,1770.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3574.98,3550.45,3700.96,4379.61,4196.8,4023.18,4010.7,4432.88,4256.33,4069.36
Expenses,3035.97,3000.77,3200.37,3667.91,3379.22,3222.29,3321.82,3561.5,3436.58,3285.71
Other Income,54.15,53.91,55.5,53.3,427.82,60.4,56.92,52.35,47.66,57.34
Depreciation,50.38,50.93,50.96,51.66,57.96,65.33,70.76,71.68,78.09,79.93
Interest,37.38,33.75,41.97,54.14,38.13,34.86,53.05,53.42,31.09,26.44
Profit before tax,505.4,518.91,463.16,659.2,1149.31,761.1,621.99,798.63,758.23,734.62
Tax,136.22,140.96,127.42,168.62,216.91,203.5,166.54,212.13,202.57,198.01
Net profit,371.18,379.87,337.44,493.28,932.39,558.66,457.55,587.59,556.39,538.28
Operating Profit,539.01,549.68,500.59,711.7,817.58,800.89,688.88,871.38,819.75,783.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,23.99,24,24,24.01,24.03,24.05,24.09,24.09,24.09,24.09
Reserves,1221.12,2067.68,2672.42,3382.22,4229.22,4378.78,3523.57,2534.01,3510.18,3917.43
Borrowings,145.07,131.05,124.56,200.7,156.02,1537.59,2121.51,2481.2,2997.37,2064.96
Other Liabilities,1403.17,1271.18,1287.82,1580.99,1828.68,1889.12,2330.92,2487.3,2819.21,3067.08
Total,2793.35,3493.91,4108.8,5187.92,6237.95,7829.54,8000.09,7526.6,9350.85,9073.56
Net Block,844.07,950.24,1159.99,1345.6,1688.3,1878.18,1792.95,1753.21,2655.22,2771.14
Capital Work in Progress,48.37,90.07,30.07,202.82,101.24,39.55,116.52,535.68,105,187.54
Investments,517.94,788.38,486.85,1079.28,1476.28,2893.23,2780.91,1762.37,3324.24,2766.72
Other Assets,1382.97,1665.22,2431.89,2560.22,2972.13,3018.58,3309.71,3475.34,3266.39,3348.16
Total,2793.35,3493.91,4108.8,5187.92,6237.95,7829.54,8000.09,7526.6,9350.85,9073.56
Receivables,135.81,170.61,179.16,304.6,394.24,320.36,257.27,331.93,328.94,393.33
Inventory,404.04,440.65,661.45,652.79,781.38,740.96,1091.49,1367.49,1193.26,1181.22
Cash & Bank,226.33,87.65,120.76,186.42,109.82,122.85,211.34,184.9,197.98,446.35
No. of Equity Shares,119925800,119975815,120000815,120059148,240318294,240468296,240868296,240868296,240868296,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,584.46,959.23,441.28,1248.77,1155.78,1484.53,1875.52,1299.52,2526.21,2572.98
Cash from Investing Activity,-450.3,-705.2,-149.85,-956.52,-852.22,-1525.93,433.17,914.19,-1507,475.5
Cash from Financing Activity,-181.37,-246.18,-295.08,-231.75,-352.68,57.94,-2242.5,-2245.84,-1028.37,-2830.48
Net Cash Flow,-47.21,7.85,-3.65,60.5,-49.12,16.54,66.19,-32.13,-9.16,218
,,,,,,,,,,
