COMPANY NAME,CENTRAL DEPOSITORY SERVICES (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2072,,,,,,,,,
Market Capitalization,21652.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,105.42,122.85,146,187.69,196.25,214.55,343.72,551.33,555.09,812.26
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.61,0.69,0.67,0.65,0.52,0.44,0.51,0.55,0.99,
Other Mfr. Exp,9.26,9.25,9.74,9.72,13.98,15.36,19.91,26.43,38.4,
Employee Cost,19.58,21.95,25.39,31.14,35.59,48.84,43.54,53.13,83.31,96.43
Selling and admin,26.69,18.04,17.15,21.49,19.8,34.31,27.42,37.88,52.21,
Other Expenses,3.87,9,13.63,14.32,17.43,26.54,40.52,67.89,61.27,227.52
Other Income,23.45,71.58,40.85,37.99,49.19,59.15,56.92,54.57,65.85,95.05
Depreciation,6.24,4.19,3.7,6.95,9.92,11.73,9.2,11.46,19.48,27.23
Interest,,,,,,0.03,0.02,0.01,0.13,0.11
Profit before tax,62.62,131.31,116.57,141.41,148.2,136.45,259.52,408.55,365.15,556.02
Tax,19.2,40.18,29.98,37.78,33.38,29.73,58.25,96.74,89.19,136.45
Net profit,43.66,91,85.78,103.18,113.51,106.16,200.34,311.18,275.94,419.11
Dividend Amount,22.99,26.12,31.35,36.58,41.8,47.02,94.05,156.75,167.2,229.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,151.52,136.56,140.18,148.95,141.19,124.77,149.68,207.31,214.48,240.78
Expenses,48.75,46.3,65.51,57.63,56.56,56.47,70.14,78.84,84.04,92.89
Other Income,11.42,11.47,6.12,20.99,19.68,19.05,24.18,22.8,21.48,28.55
Depreciation,3.15,3.61,4.19,4.89,4.94,5.47,5.83,6.49,6.9,8.01
Interest,,,0.02,0.04,0.04,0.03,0.03,0.03,0.03,0.02
Profit before tax,111.04,98.12,76.58,107.38,99.33,81.85,97.86,144.75,144.99,168.41
Tax,27.4,20,18.98,26.92,24.57,18.73,24.18,35.78,37.51,38.98
Net profit,83.73,77.65,57.78,80.41,74.64,63.1,73.57,108.85,107.42,129.26
Operating Profit,102.77,90.26,74.67,91.32,84.63,68.3,79.54,128.47,130.44,147.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5,104.5
Reserves,264.9,374.82,428.82,494.25,563.64,619.49,772.72,988.42,1109.23,1358.84
Borrowings,,,,,,,0.28,0.29,2.37,1.35
Other Liabilities,121.77,73.66,73.18,91.59,115.65,138.34,206.48,232.36,240.81,316.96
Total,491.17,552.98,606.5,690.34,783.79,862.33,1083.98,1325.57,1456.91,1781.65
Net Block,6.69,3.67,5.22,76.09,75.24,74.35,73.43,106.18,124.59,345.35
Capital Work in Progress,,,0.26,,,,22.78,3.8,174.29,
Investments,389.26,457.47,502.9,521.04,593.25,664.59,709.42,925.49,936.69,1149.29
Other Assets,95.22,91.84,98.12,93.21,115.3,123.39,278.35,290.1,221.34,287.01
Total,491.17,552.98,606.5,690.34,783.79,862.33,1083.98,1325.57,1456.91,1781.65
Receivables,6.91,13.01,13.27,18.85,19.14,26.03,37.48,45.83,37.67,66.83
Inventory,,,,,,,,,,
Cash & Bank,65.6,40.37,48.32,41.95,55.5,53.7,207.68,205.85,123.51,52.86
No. of Equity Shares,104500000,104500000,104500000,104500000,104500000,104500000,104500000,104500000,104500000,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,42.95,28.42,42.74,79.3,85.7,82.17,192.56,283.41,248.83,385.94
Cash from Investing Activity,-19.44,0.27,18.19,-67.09,-66.78,-32.66,-107.23,-145.53,-129.25,-249.24
Cash from Financing Activity,-23.48,-27.67,-31.44,-37.73,-20.09,-50.54,-47.16,-94.18,-154.8,-168.58
Net Cash Flow,0.03,1.01,29.49,-25.52,-1.17,-1.02,38.17,43.7,-35.23,-31.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,282.65,242.55,214.4,656.05,1480.35,908.75,1711.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45
