COMPANY NAME,CHENNAI PETROLEUM CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,848.95,,,,,,,,,
Market Capitalization,12637.6,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,41636.89,25715.93,27522.5,32369.29,41112.96,36973.38,22222.42,43068.29,76271.35,66385.44
Raw Material Cost,39533.82,23046.72,24415.36,29714.07,39607.62,36689.83,19904.62,40092.91,67564.66,60884.16
Change in Inventory,-1320.81,-208.57,-105.03,606.7,409.91,-990.41,892.06,1227.35,-978.65,831.68
Power and Fuel,55.98,48.41,50.85,55.3,81.93,71.05,58.75,66.38,78.52,
Other Mfr. Exp,268.19,391.37,328.97,339.6,424.41,405.78,399.93,376.15,507.59,
Employee Cost,338.71,357,512.88,581.76,460.52,507.83,564.51,547.83,556.3,546.71
Selling and admin,359.16,231.14,263.85,269.52,386.1,435.82,369.42,511.17,711.16,
Other Expenses,-98.05,83.91,-31.92,-65.78,44.6,-24.64,-196.26,-30.94,176.74,1310.72
Other Income,30.24,36.4,40.05,38.76,58.73,24.13,106.88,16.23,15.12,13.25
Depreciation,226.12,273.69,278.63,340.2,453.46,522.6,467.38,503.52,573.46,605.63
Interest,404.77,352.88,273.85,321.85,420.98,414.86,376.47,413.21,330.69,223.28
Profit before tax,-742.38,758.64,1365.05,1458.23,-298.02,-3016.03,1276.54,1831.64,4808.7,3659.87
Tax,-703.4,16.77,335.29,545.31,-84.66,-938.45,1038.98,489.22,1274.89,948.62
Net profit,-38.99,741.87,1029.75,912.92,-213.36,-2077.58,237.56,1342.42,3533.81,2711.25
Dividend Amount,,59.6,312.9,275.65,,,,29.78,402.06,819
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,9939.29,16413.57,23162.55,19508.82,16054.44,18008.89,14744.8,16544.56,17375.9,17720.18
Expenses,9393.34,14825.57,19755.92,19279.06,15620.28,16382.22,13794.98,14740.14,16696.33,16678.46
Other Income,0.57,6.46,1.7,9.7,1.94,1.78,2.15,5.13,2.48,3.49
Depreciation,132,131.58,132.75,142.6,141.43,156.68,147.3,156.55,151.03,150.75
Interest,113.18,95.89,76.28,61.36,108.42,84.13,57.23,65.14,49.97,50.94
Profit before tax,301.34,1366.99,3199.3,35.5,186.25,1387.64,747.44,1587.86,481.05,843.52
Tax,72.51,372.57,840.51,7.62,43.3,383.45,199.12,397.3,121.06,231.14
Net profit,228.83,994.42,2358.79,27.88,142.95,1004.19,548.32,1190.56,359.99,612.38
Operating Profit,545.95,1588,3406.63,229.76,434.16,1626.67,949.82,1804.42,679.57,1041.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,149,149,149,149,148.91,148.91,148.91,148.91,148.91,148.91
Reserves,1506.07,2212.43,3164.8,3707.49,3160.6,1043.37,1275.66,2641.32,6132.05,8444.05
Borrowings,5399.06,4566.85,5501.07,3991.23,6120.64,8125.53,8561.2,8738.33,3759.6,2785.9
Other Liabilities,3928.78,3429.5,2680.71,6350.73,4525.14,3351.12,4092.68,5798.25,5844.53,6724.45
Total,10982.91,10357.78,11495.58,14198.45,13955.29,12668.93,14078.45,17326.81,15885.09,18103.31
Net Block,4076.8,4119.48,3882.83,5913.53,6977.31,7034.11,7142.17,6966.63,7636.55,7505.98
Capital Work in Progress,782.43,1679.06,2762.58,1409.8,1199.48,1597.8,1550.43,1209.55,331.43,210.11
Investments,25.42,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.95,11.95
Other Assets,6098.26,4547.3,4838.23,6863.18,5766.56,4025.08,5373.91,9138.69,7905.16,10375.27
Total,10982.91,10357.78,11495.58,14198.45,13955.29,12668.93,14078.45,17326.81,15885.09,18103.31
Receivables,1828.11,761.58,1040.39,1569.49,327.33,123.9,199.98,252.32,298.67,461.55
Inventory,3833.37,3200.93,3207.13,4781.72,4847.08,2360.87,4548.96,7575.45,6016.69,7830.91
Cash & Bank,39.91,38.86,16.93,8.7,9.77,3.73,4.83,12,8.64,94.25
No. of Equity Shares,149004600,149004600,149004600,149001400,148911400,148911400,148911400,148911400,148911400,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1078.35,2292.37,608.74,2756.67,-144.92,-621.42,452.25,1025.87,5748.96,2694.25
Cash from Investing Activity,-476.63,-1141.61,-1169.31,-969.19,-1273.27,-963.02,-547.95,-675.85,-402.51,-589.2
Cash from Financing Activity,-607.84,-1151.81,560.74,-1787.7,1418.32,1584.32,96.8,-342.84,-5353.55,-2106.11
