COMPANY NAME,CEAT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,2289.2,,,,,,,,,
Market Capitalization,9249.69,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5705,5483.55,5766.36,6282.48,6984.51,6778.83,7609.6,9363.41,11314.88,11943.48
Raw Material Cost,3476.94,3102.24,3475.26,3723.26,4381.28,3908.79,4201.93,6215.58,7381.03,6959.78
Change in Inventory,-56.39,11.39,75.49,-86.74,199.47,-6.29,-64.35,187.99,-4.36,35.41
Power and Fuel,173.4,156.01,178.01,191,220.79,216.58,255.47,327.67,375.42,
Other Mfr. Exp,399.49,469.94,481.84,457.5,132.52,146.77,156.53,178.56,190.61,
Employee Cost,390.1,406.35,425.12,476.93,546.92,557.09,692.83,702.17,769.05,845.71
Selling and admin,477.52,481.45,505.12,565.23,1035.94,978.73,999.88,981.51,1126.3,
Other Expenses,39.59,89.49,106.33,151.48,214.35,237.75,245.89,425.4,494.3,2521.17
Other Income,15.74,6.54,28.12,9.22,9.6,7.89,9.56,16.52,-8.26,-38.44
Depreciation,93.43,107.72,143.08,168.61,192.71,276.51,339.63,435.2,469.31,508.83
Interest,142.32,101.4,89.56,103.63,92.87,153.92,178.76,206.95,242.1,269.06
Profit before tax,471.56,586.88,465.65,367.32,376.2,304.29,483.89,94.88,254.14,835.9
Tax,157.65,187.34,106.42,134.03,125.12,74.23,51.59,24.3,71.75,221.42
Net profit,317.18,437.54,361.15,237.98,252.22,231.25,432.04,71.2,186.17,642.65
Dividend Amount,40.45,46.52,46.52,46.52,48.54,48.54,72.81,12.14,48.54,121.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2413.27,2591.99,2818.38,2894.48,2727.2,2874.82,2935.17,3053.32,2963.14,2991.85
Expenses,2279.15,2404.49,2653.12,2691.34,2489.6,2507.01,2548.07,2597.2,2545.64,2600.34
Other Income,5.54,-2.59,2.05,-13.93,1.57,-6.17,3.25,10.47,2.94,-55.1
Depreciation,108.56,109.56,111.41,115.12,117.48,125.3,120.94,124.49,127.34,136.06
Interest,54.77,56.61,52.13,57.72,65.68,66.57,70.13,71.72,65.55,61.66
Profit before tax,-23.67,18.74,3.77,16.37,56.01,169.77,199.28,270.38,227.55,138.69
Tax,-3.49,0.98,1.17,10.57,14.97,45.04,52.87,68.29,54.44,45.82
Net profit,-20.01,25.25,9.25,7.83,35.39,133.7,144.61,208,181.48,108.56
Operating Profit,134.12,187.5,165.26,203.14,237.6,367.81,387.1,456.12,417.5,391.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45
Reserves,1641.8,2014.29,2374.5,2565.64,2725.66,2867.47,3275.84,3232.36,3399.19,4002.16
Borrowings,775.05,663.18,924,871.67,1498.02,2035.04,1532.53,2228.87,2295.47,1791.5
Other Liabilities,1365.13,1390.03,1577.99,1668.68,2140.2,2422.56,3284.35,3657.86,3891.45,4160.39
Total,3822.43,4107.95,4916.94,5146.44,6404.33,7365.52,8133.17,9159.54,9626.56,9994.5
Net Block,1580.8,2032.07,2452.53,2709.24,3179.53,4159.79,4763.43,5329.18,6096.11,6295.5
Capital Work in Progress,229.02,299.08,326.26,309.96,832.91,1068.54,792.86,875.88,596.07,659.11
Investments,312.44,195.49,231.6,213.52,181.42,183.65,210.09,179.15,169.57,182.09
Other Assets,1700.17,1581.31,1906.55,1913.72,2210.47,1953.54,2366.79,2775.33,2764.81,2857.8
Total,3822.43,4107.95,4916.94,5146.44,6404.33,7365.52,8133.17,9159.54,9626.56,9994.5
Receivables,704.95,593.51,613.8,747.23,706.38,674.35,921.56,1154.32,1307.03,1283.22
Inventory,680.15,639.71,943.48,784.61,1005.6,938.96,1132.19,1309.56,1137.78,1150.49
Cash & Bank,123.63,63.03,35.92,86.25,73.54,34.21,43.12,36.31,71.88,59.08
No. of Equity Shares,40450092,40450092,40450092,40450092,40450092,40450092,40450092,40450092,40450092,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,748.69,702.05,334.66,672.39,561.4,956.33,1357.66,618.89,1205.49,1719.26
Cash from Investing Activity,-253.29,-432.61,-543.43,-411.75,-1060.47,-1075.5,-618.06,-944.37,-849.11,-853.7
Cash from Financing Activity,-194.02,-326.36,219.12,-202.47,484.44,79.02,-730.91,313.16,-319.53,-871.02
Net Cash Flow,301.37,-56.92,10.35,58.17,-14.63,-40.15,8.69,-12.32,36.85,-5.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
