COMPANY NAME,CIE AUTOMOTIVE INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,481.75,,,,,,,,,
Market Capitalization,18292.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Sales,5569.9,4000.72,5319.9,6427.9,8031.5,7907.8,6050.1,6765.1,8753,9280.35
Raw Material Cost,2541.83,1777.5,2152.7,2892.3,3773.7,3659,2679.1,3519.4,4860.7,4853.36
Change in Inventory,-18.98,51.01,8.4,76.1,142.1,-89.6,-127.2,184.8,84.7,-57.47
Power and Fuel,294.95,216.35,291.8,307.7,370.9,390.5,338,372.9,476.9,
Other Mfr. Exp,727.19,443.27,900.5,936.4,1207.3,1029.5,838,802.3,1069.4,
Employee Cost,1186.68,801.33,1102.5,1152.7,1329.7,1308,1261.8,926.3,902.2,994.42
Selling and admin,226.23,271.2,3.6,1.2,1.2,1.3,1.2,161.9,218.9,
Other Expenses,132.32,178.91,346.1,407.7,490.2,462.1,303.4,225.4,137.7,1951.69
Other Income,-183.19,-49.13,22.4,20,38.7,28.5,54.9,32.3,-749.1,409.53
Depreciation,237.5,163.02,232.5,268.3,286.7,316.1,306.4,273.3,296.2,322.2
Interest,121.12,50.41,59.4,51,50.2,52.3,54.8,34.8,22.7,107.37
Profit before tax,-100.09,100.61,261.6,506.7,702.4,627.9,195.1,665.9,103.9,1403.37
Tax,-21.93,23.89,92.6,148.3,204.3,274.1,88.7,273,240.1,278.22
Net profit,-78.07,76.72,169,358.4,498.1,353.8,106.4,392.9,-136.2,1125.15
Dividend Amount,,,,,,,,94.78,94.82,189.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1669.24,2060.82,2215.96,2229.43,2246.84,2440.2,2320.34,2279.41,2240.4,2426.8
Expenses,1488.95,1780.39,1910.19,1936,1954.45,2059.55,1950.21,1934.23,1913.25,2066.22
Other Income,7.84,8.24,15.38,17.46,-789.99,75.11,107.63,208.7,18.39,51.97
Depreciation,66.08,71.7,74.83,73.05,76.73,82.51,83.25,78.35,78.09,86.34
Interest,9.11,3.99,0.13,10.87,7.93,23.97,22.08,30.98,30.35,22.03
Profit before tax,112.94,212.98,246.19,226.97,-582.26,349.28,372.43,444.55,237.1,304.18
Tax,32.72,51.59,57.35,55.6,75.55,70.17,70.76,69.14,68.16,73.7
Net profit,80.23,161.39,188.85,171.37,-657.81,279.12,301.68,375.42,168.94,230.48
Operating Profit,180.29,280.43,305.77,293.43,292.39,380.65,370.13,345.18,327.15,360.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Equity Share Capital,322.98,323.34,378.1,378.4,378.8,379,379,379.1,379.3,379.36
Reserves,1563.54,1683.25,2888.2,3337.2,3910.3,4254.8,4529,4817.5,4719.2,5608.61
Borrowings,1549.1,1084.66,1391.7,1196.9,1613.4,1469.1,1647.6,1486.9,984.5,855.41
Other Liabilities,1514.98,2051.98,2176.9,2586.6,2581.5,2459.8,2807.9,3137.1,3836.8,2918.53
Total,4950.6,5143.23,6834.9,7499.1,8484,8562.7,9363.5,9820.6,9919.8,9761.91
Net Block,3123.76,3292.93,4517.3,4750.3,4905.2,6043.5,6741.3,6586.6,5546.7,5810.45
Capital Work in Progress,126.33,55.93,96.7,60.2,96,54.2,12.3,124.7,119.5,53.67
Investments,57.02,67.07,39,55.1,680.8,95.5,234,438,575.6,820.55
Other Assets,1643.49,1727.3,2181.9,2633.5,2802,2369.5,2375.9,2671.3,3678,3077.24
Total,4950.6,5143.23,6834.9,7499.1,8484,8562.7,9363.5,9820.6,9919.8,9761.91
Receivables,422.51,383.08,521.9,598.4,741.4,736.8,705.4,668.7,860.8,633.14
Inventory,684.96,718.87,835.2,989.8,1228.6,1056.6,1006.2,1348.6,1210.8,1162.61
Cash & Bank,89.27,50.15,98.1,71.9,112.7,149.9,238.1,159.5,85.9,238.72
No. of Equity Shares,322976262,323336048,378088265,378367242,378780932,379011627,379011627,379075399,379317379,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Cash from Operating Activity,322.26,679.63,304,512.2,708,1027.3,539.3,1051.1,1118.2,1383.26
Cash from Investing Activity,-183.99,-225.17,-830.8,-302.8,-1017.3,-589,-421.7,-762.5,-636.7,-909.57
Cash from Financing Activity,-293.66,-493.59,574.8,-235.6,362.1,-404,-38,-362.6,-487.7,-427.2
Net Cash Flow,-155.39,-39.13,48,-26.2,52.8,34.3,79.6,-74,-6.2,46.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,216.45,251.1,183.75,258.15,257,164.75,172,234.2,344.1,470.7
