COMPANY NAME,CMS INFO SYSTEMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,399.1,,,,,,,,,
Market Capitalization,6496.65,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,783.36,741.85,902.97,1162.06,1130.9,1407.67,1703.8
Raw Material Cost,,,,66.78,51.26,101.16,181.46,206.95,136.09,113.21
Change in Inventory,,,,-14.83,10.63,11.39,-9.86,27.31,-17.71,-2.97
Power and Fuel,,,,4.7,4.76,6.81,7.58,8.05,11.05,19.19
Other Mfr. Exp,,,,29.15,23.22,50.64,41.64,24.07,29.58,51.54
Employee Cost,,,,59.5,70.55,64.43,73.6,75.04,72.98,90.96
Selling and admin,,,,437.96,446.92,493.38,552.15,524.22,674.09,818.24
Other Expenses,,,,36.16,33.9,49.54,65.48,57.86,93.08,126.1
Other Income,,,,6.97,15.42,17.8,5.91,14.29,13.49,26.78
Depreciation,,,,21.4,20.82,25.8,48.18,58.05,87.58,124.19
Interest,,,,4.55,0.81,0.27,6.62,7.66,14.08,19.1
Profit before tax,,,,115.3,115.66,140.13,181.4,210.6,284.92,365.08
Tax,,,,40.77,39.49,48.94,53.74,58.92,71.45,89.68
Net profit,,,,74.54,76.17,91.2,127.66,151.68,213.47,275.41
Dividend Amount,,,,,,,26.64,22.64,38.75,73.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,325.58,354.28,398.83,399.41,417.39,437.74,449.26,456.57,486.61,522.95
Expenses,236.74,251.98,294.11,292.26,302.27,317.93,309.77,322.18,359.08,393.87
Other Income,1.15,8.91,1.92,16.53,2.08,4.49,3.69,5.79,6.5,31.42
Depreciation,21.41,21.43,26.31,27.85,32.19,30.71,33.44,34.38,34.41,35.74
Interest,3.84,2.91,4.24,4.43,4.92,4.56,5.18,4.17,4.02,3.88
Profit before tax,64.74,86.87,76.09,91.4,80.09,89.03,104.56,101.63,95.6,120.88
Tax,15.68,20.59,20.29,19.5,20.67,22.27,27.24,26.3,24.43,24.47
Net profit,49.06,66.27,55.79,71.9,59.42,66.76,77.32,75.33,71.18,96.4
Operating Profit,88.84,102.3,104.72,107.15,115.12,119.81,139.49,134.39,127.53,129.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,148,148,148,148,148,153.15,154.4
Reserves,,,,412.91,522.5,589.41,685.9,803.2,1058.76,1342.31
Borrowings,,,,7.2,,,,,,
Other Liabilities,,,,160.83,171.4,196.54,434.2,580.3,549.48,499.95
Total,,,,728.94,841.9,933.95,1268.1,1531.5,1761.39,1996.66
Net Block,,,,162.24,162.1,204.42,328.1,440.18,637.23,752.72
Capital Work in Progress,,,,1.46,0.28,2.55,3.85,23.15,42.42,19.85
Investments,,,,142.78,215.02,195.11,240.44,280.77,266.32,425.65
Other Assets,,,,422.46,464.5,531.87,695.71,787.4,815.42,798.44
Total,,,,728.94,841.9,933.95,1268.1,1531.5,1761.39,1996.66
Receivables,,,,123.32,113.77,133.91,223.65,424.2,427,450.53
Inventory,,,,10.85,23.65,41.64,43.04,89.47,62.93,74.17
Cash & Bank,,,,15.06,64.92,123.79,180.55,142.6,95.6,104.76
No. of Equity Shares,,,,148000000,148000000,148000000,148000000,148000000,153152747,154400078
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,120.55,150.26,74,203.96,100.4,219.17,382.14
Cash from Investing Activity,,,,-65.37,-90.97,5.42,-105.92,-89.83,-284.42,-322.67
Cash from Financing Activity,,,,-56.91,-4.78,-28.7,-55.93,-60.1,1.89,-50.95
Net Cash Flow,,,,-1.73,54.52,50.72,42.12,-49.53,-63.37,8.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,264.95,276.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,14.8,14.8,14.8,14.8,14.8,15.32,15.44
