COMPANY NAME,CSB BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,355.3,,,,,,,,,
Market Capitalization,6156.12,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1544.55,1482.89,1336.29,1296.81,1347.52,1509.89,1872.29,2038.31,2319.65,2927.54
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,6.35,6.15,7,7.63,8.51,13.15,13.59,16.32,16.61,
Employee Cost,308.82,303.52,295.01,287.92,385.2,332.06,496.79,482.9,559.98,714.71
Selling and admin,70.5,70.49,74.82,79.67,86.69,96.5,102.84,130.42,158.81,127.66
Other Expenses,168.86,262.71,211.95,268.8,379.05,214.67,297.98,118.24,137.72,456.89
Other Income,127.34,104.68,281.2,125.42,135.92,221.61,303.13,246.8,316.01,584.29
Depreciation,10.94,13.7,14.93,15.57,16.53,23.52,40.76,37.99,43.16,
Interest,1188.58,1159.27,1022.69,912,907.56,917.6,930.91,885.01,985.81,1451.13
Profit before tax,-82.16,-228.27,-8.91,-149.36,-300.1,134,292.55,614.23,733.57,761.44
Tax,-29,-78.55,-10.46,-51.89,-102.68,121.27,74.15,155.74,186.21,194.62
Net profit,-53.17,-149.72,1.55,-97.47,-197.42,12.72,218.4,458.49,547.36,566.82
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,527.65,519.56,535.93,555.18,592.05,636.49,683.49,687.34,761.83,794.87
Expenses,157.39,191.29,212.5,208.82,231.24,263.35,308.86,308.27,307.6,376.14
Other Income,52.16,63.61,54.85,44.94,89.9,125.99,121.55,142.54,125.34,196.51
Depreciation,,,,,,,,,,
Interest,224.31,215.73,225.24,230.21,242.31,288.05,319.48,343.65,379.16,408.84
Profit before tax,198.11,176.15,153.04,161.09,208.4,211.08,176.7,177.96,200.41,206.4
Tax,49.86,45.48,38.52,40.54,52.45,54.74,44.47,44.79,50.44,54.94
Net profit,148.25,130.67,114.52,120.55,155.95,156.34,132.23,133.17,149.97,151.46
Operating Profit,370.26,328.27,323.43,346.36,360.81,373.14,374.63,379.07,454.23,418.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,60.39,71.76,81.01,81.01,85.97,173.51,173.54,173.54,173.54,
Reserves,828.1,821.03,918.34,808.02,694.38,1787.16,2006.69,2477.86,3030.09,
Borrowings,14519.94,14480.2,14953.36,14732.45,15123.87,16584.68,20565.96,22195.49,25288.78,
Other Liabilities,351.29,278.95,270.53,248.57,1006.94,318.88,591.17,509.38,669.87,
Total,15759.72,15651.94,16223.24,15870.05,16911.16,18864.23,23337.36,25356.27,29162.28,
Net Block,175.11,215.09,215.26,216.12,217.73,253.48,269.49,287.86,319.36,
Capital Work in Progress,,,,,,,,,,
Investments,4427.08,5986.69,5761.52,4113.95,4027.61,5359.84,6125.99,7011.62,5848.7,
Other Assets,11157.53,9450.16,10246.46,11539.98,12665.82,13250.91,16941.88,18056.79,22994.22,
Total,15759.72,15651.94,16223.24,15870.05,16911.16,18864.23,23337.36,25356.27,29162.28,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,798.59,726.29,1211.15,1215.13,973.63,939.34,1714.07,1573.76,1836.71,
No. of Equity Shares,71901725,71901725,81155825,81155825,100987955,173649570,173679570,173679570,173679570,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-356.24,-165.51,395.42,26.84,-893.24,-1109.18,1373.8,-852.5,2211.48,1782.97
Cash from Investing Activity,-16.2,-12.72,-16.99,-17.79,-22.14,-235.35,-1231.43,130.92,-724.32,-1439.2
Cash from Financing Activity,96.73,105.93,106.43,-5.07,673.88,1310.25,632.36,581.27,-1224.22,974.41
Net Cash Flow,-275.71,-72.3,484.86,3.98,-241.5,-34.29,774.73,-140.31,262.95,1318.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,118.05,232.9,211.15,245.1,354.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,6.03,7.17,8.1,8.1,8.59,17.35,17.35,17.35,17.35,17.35
