COMPANY NAME,CAMPUS ACTIVEWEAR LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,253.2,,,,,,,,,
Market Capitalization,7730.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,409.51,463.93,633.03,711.28,1194.18,1484.25
Raw Material Cost,,,,,269.16,283.09,443.9,416.48,698.55,860.29
Change in Inventory,,,,,14.19,4.3,39.77,29.97,95.38,108.31
Power and Fuel,,,,,3.37,3.9,6.18,9,17.36,22.16
Other Mfr. Exp,,,,,21.65,26.35,37.59,48.75,74.87,111.44
Employee Cost,,,,,24.8,33.84,47.08,50.6,66.45,80.92
Selling and admin,,,,,41.47,51.58,51.44,84.44,174,228.8
Other Expenses,,,,,10.34,12.16,14.73,16.41,15.43,35.38
Other Income,,,,,17.52,25.65,36.45,3.73,1.47,2.75
Depreciation,,,,,8.36,8.61,19.93,32.22,53.04,71.04
Interest,,,,,20.1,14.46,12.97,17.16,19.62,28.68
Profit before tax,,,,,41.97,59.89,75.43,69.92,171.71,156.6
Tax,,,,,10.51,19.71,15.12,43.05,63.17,39.48
Net profit,,,,,31.46,40.18,60.32,26.87,108.54,117.12
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,273,433.55,352.34,337.71,333.17,465.62,347.75,353.76,258.66,472.01
Expenses,218.06,340.72,273.93,276.03,289.72,373.71,291.21,287.56,234.19,415.76
Other Income,0.45,0.49,0.29,0.56,0.74,0.88,0.58,0.21,0.44,1.36
Depreciation,12.8,13.77,15.45,14.53,16.97,19.56,19.98,17.07,18.08,18.36
Interest,4.67,4.69,6.09,5.58,7.65,8.23,7.23,6.94,6.46,5.78
Profit before tax,37.92,74.86,57.16,42.13,19.57,65,29.91,42.4,0.37,33.47
Tax,9.68,20.14,34.21,10.81,5.02,16.69,6.96,10.92,0.05,8.58
Net profit,28.24,54.72,22.96,31.32,14.54,48.31,22.95,31.48,0.32,24.89
Operating Profit,54.94,92.83,78.41,61.68,43.45,91.91,56.54,66.2,24.47,56.25
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,0.1,0.1,151.87,151.87,152.16,152.34
Reserves,,,,,160.25,203.43,132.56,160.76,275.42,399.78
Borrowings,,,,,127.07,126.68,245.34,177.24,288.99,335.01
Other Liabilities,,,,,107.39,108.95,124.58,196.37,247.05,297.21
Total,,,,,394.81,439.16,654.35,686.24,963.62,1184.34
Net Block,,,,,47.96,53.55,146.25,254.61,322.15,373.22
Capital Work in Progress,,,,,10.79,24.57,35.2,0.25,2.47,3.81
Investments,,,,,36.89,61.51,0.2,,,
Other Assets,,,,,299.17,299.53,472.7,431.38,639,807.31
Total,,,,,394.81,439.16,654.35,686.24,963.62,1184.34
Receivables,,,,,127.12,109.8,135.88,98.2,133.68,176.65
Inventory,,,,,75.62,97.57,154.89,206.89,357.66,457.4
Cash & Bank,,,,,1.44,1.62,59.42,1.04,0.35,23.99
No. of Equity Shares,,,,,97331,97331,151871564,151871564,304326004,304686278
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,22.37,-20.9,124.73,17.87,126.47
Cash from Investing Activity,,,,,,-23.39,-55.19,-8.84,-34.08,-69.69
Cash from Financing Activity,,,,,,1.2,88.89,-129.4,15.53,-33.14
Net Cash Flow,,,,,,0.18,12.8,-13.5,-0.69,23.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,333.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.01,0.01,15.19,15.19,30.43,30.47
