COMPANY NAME,COMPUTER AGE MANAGEMENT SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3096.8,,,,,,,,,
Market Capitalization,15207.01,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,371.79,441.53,463.6,605.96,651.35,661.46,673.75,863.77,928.62,1054.48
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,4.92,5.51,5.64,6.74,7.91,7.66,5.76,7.14,9.46,
Other Mfr. Exp,6.29,6.06,7.81,9.46,11.3,143.65,140.28,150.38,170.89,
Employee Cost,98.8,121.91,138.88,188.39,229.39,210.14,217.77,270.95,295.53,314.18
Selling and admin,28.34,34.63,31.44,52.34,56.66,35.01,31.89,40.27,40.37,
Other Expenses,106.93,131.5,105.22,144.87,153.89,5.04,9.53,4.81,7.07,258.88
Other Income,0.36,1.35,9.28,50.11,10.84,19.3,57.93,39.64,21.11,31.88
Depreciation,22.8,17.32,16,21.39,26.51,45.94,39.39,47.4,54.2,58.41
Interest,0.14,1.08,0.1,0.28,0.28,8.05,7.06,6.62,6.67,6.87
Profit before tax,103.93,124.87,167.79,232.6,176.25,225.27,280,375.84,365.54,448.02
Tax,34.29,43.52,60.26,72.61,64.12,61.2,61.04,86.42,91.01,110.9
Net profit,69.64,81.35,107.53,160,112.13,164.07,218.97,289.41,274.54,337.12
Dividend Amount,43.17,52.56,59.68,109.27,132.09,59.39,307.08,189.49,184.94,228.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,226.61,230.14,226.41,231.98,233.48,236.75,243.57,254.97,268.88,287.07
Expenses,120.72,126.43,132.07,129.44,129.55,132.29,138.03,137.63,145.51,151.9
Other Income,3.15,3.08,3.32,6.09,5.57,6.16,7.54,7.7,7.82,8.82
Depreciation,12.39,14.34,12.46,13.42,13.93,14.39,13.62,14.34,15.11,15.33
Interest,1.67,1.63,1.6,1.63,1.69,1.74,1.66,1.62,1.79,1.8
Profit before tax,94.98,90.82,83.6,93.58,93.88,94.49,97.8,109.08,114.29,126.86
Tax,22.83,22.72,21.28,23.9,22.9,22.92,24.57,27.69,28.74,29.9
Net profit,72.15,68.1,62.32,69.68,70.98,71.56,73.23,81.38,85.55,96.96
Operating Profit,105.89,103.71,94.34,102.54,103.93,104.46,105.54,117.34,123.37,135.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,48.76,48.76,48.76,48.76,48.76,48.76,48.79,48.9,48.99,
Reserves,232.1,250.19,312.69,363.99,343.4,440.33,420.92,555.67,679.06,
Borrowings,,,,,,,73.03,72.66,75.74,
Other Liabilities,79.24,94.09,91.14,127.56,170.42,226.31,234.88,217.2,206.51,
Total,360.1,393.04,452.59,540.31,562.58,715.4,777.62,894.43,1010.3,
Net Block,62.94,56.46,61.92,79.75,87.2,157.81,143.53,169.23,165.39,
Capital Work in Progress,,,,,,,,0.16,8.37,
Investments,232.47,274.74,305.5,331.87,322.84,396.96,362.24,455.17,478.95,
Other Assets,64.69,61.84,85.17,128.69,152.54,160.63,271.85,269.87,357.59,
Total,360.1,393.04,452.59,540.31,562.58,715.4,777.62,894.43,1010.3,
Receivables,1.27,7.81,9.15,14.63,18.04,26.24,24.14,21.55,25.12,
Inventory,,,,,,,,,,
Cash & Bank,10.09,6.02,8.9,18.72,34.18,39.44,142.1,113.02,182.86,
No. of Equity Shares,48760000,48760000,48760000,48760000,48760000,48760000,48791038,48903470,48993596,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,84.47,101.9,188.09,144.37,179.94,239.27,305.94,316.82,
Cash from Investing Activity,,-47.45,-30.44,-74.29,-14.91,-71.98,22.71,-116.96,-104.62,
Cash from Financing Activity,,-41.14,-71.83,-109.25,-132.08,-90.83,-268.41,-200.17,-200.92,
Net Cash Flow,,-4.12,-0.37,4.55,-2.63,17.13,-6.42,-11.19,11.28,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,1846.4,2315.85,2030.95,2915.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.89,4.9,4.91
