COMPANY NAME,CARBORUNDUM UNIVERSAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1468,,,,,,,,,
Market Capitalization,28013.92,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2042.3,1943.99,2112.49,2374.5,2688.9,2598.97,2631.71,3324.76,4654.28,4702.19
Raw Material Cost,706.44,680.28,735.05,780.56,981.7,916.49,830.88,1251.32,1776.46,1696.66
Change in Inventory,-11.19,-1.34,0.24,-24.37,26.74,29.54,-66.95,93.56,62.36,-0.59
Power and Fuel,303.56,242.12,252.52,327.47,378.61,371.66,363.1,403.25,508.46,478.11
Other Mfr. Exp,265,147.18,164.19,187.91,210.97,204.5,190.97,246.91,312.61,
Employee Cost,276.77,253.56,275.15,312.66,329.05,346.88,349.11,421.28,694.31,720.1
Selling and admin,182.29,174,293.87,178.79,192.67,186.18,168.99,254.17,432.74,
Other Expenses,62.67,137.76,56.35,163.04,183.53,202.98,195.65,300.98,336.93,1067.9
Other Income,111.74,38.85,40.87,36.52,46.42,61.56,31.6,56.34,135.65,120.51
Depreciation,100.37,86.82,96.48,106,108.27,104.52,99.45,114.57,187.34,190.75
Interest,25.34,22.91,18.12,8.61,8.48,6.33,3.58,5.64,23.53,18.34
Profit before tax,220.41,236.87,261.87,321.61,368.78,350.53,394.63,476.54,579.91,650.25
Tax,82.16,81.41,78.08,102.02,121.18,75.55,101.56,126.53,138.21,174.07
Net profit,132.6,144.1,174.87,215.6,247.68,272.42,284.31,333.36,413.99,461.25
Dividend Amount,23.52,28.26,33.02,42.52,52.03,52.08,56.88,66.46,66.46,76.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,899.24,869.29,1139.83,1127.77,1187.07,1199.62,1203.22,1146.34,1151.44,1201.19
Expenses,741.66,758.37,1012.36,964.74,1016.04,1009.29,1033.81,978.82,959.97,991.76
Other Income,13.05,18.48,31.88,17.62,30.29,59.13,41.03,30.82,24.83,24.83
Depreciation,27.91,34.32,42.83,44.5,47.32,52.69,45.74,45.86,48.16,50.99
Interest,1.47,2.37,4.46,5.05,6.82,7.2,5.16,4.87,4.72,3.59
Profit before tax,141.25,92.71,112.06,131.1,147.18,189.57,159.54,147.61,163.42,179.68
Tax,30.34,34.3,26.07,37.41,33.95,40.78,41.78,43.73,51.44,37.12
Net profit,101.55,57.03,78.77,88.99,109.11,137.12,113.23,101.88,111.3,134.84
Operating Profit,157.58,110.92,127.47,163.03,171.03,190.33,169.41,167.52,191.47,209.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,18.82,18.84,18.87,18.9,18.92,18.94,18.96,18.99,18.99,19.03
Reserves,1069.89,1173.42,1363.92,1545.45,1705.19,1839.41,2112.51,2344.79,2801.57,3106.68
Borrowings,340.17,319.86,155.95,123.9,91.97,66.11,56.74,232.21,277.26,171.89
Other Liabilities,386.78,347.94,374.49,399.31,405.85,358.05,490.65,699.92,774.1,854.3
Total,1815.66,1860.06,1913.23,2087.56,2221.93,2282.51,2678.86,3295.91,3871.92,4151.9
Net Block,792.72,659.14,704.81,735.65,695.02,748.37,777.13,1006.13,1526.74,1561
Capital Work in Progress,43.32,84.54,72.6,30.28,46.39,38.65,28.02,57.7,87.47,78.1
Investments,41.13,131.01,124.46,180.29,226.52,188.69,127.05,137.82,161.23,171.57
Other Assets,938.49,985.37,1011.36,1141.34,1254,1306.8,1746.66,2094.26,2096.48,2341.23
Total,1815.66,1860.06,1913.23,2087.56,2221.93,2282.51,2678.86,3295.91,3871.92,4151.9
Receivables,370.29,367.48,380.58,475.06,513.92,401.56,477.62,484.77,627.38,679.04
Inventory,388.33,370.43,386.7,438.02,532.86,507.62,460.52,690.9,898.93,850.16
Cash & Bank,99.17,113.25,126.06,128.91,97.51,293.98,688.95,351.57,400.11,557.93
No. of Equity Shares,188179042,188379560,188658090,188955751,189154175,189412196,189590839,189856703,189856703,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,325.76,177.76,295.26,212.98,201.83,406.86,450.76,244.53,430.17,601.51
Cash from Investing Activity,-136.08,-75.11,-71.95,-74.86,-85.3,-104.8,-265.81,-464.78,-247.89,-186.47
Cash from Financing Activity,-161.51,-85.59,-207.1,-83.24,-109.15,-134.55,-66.19,89.43,-133.41,-214.01
Net Cash Flow,28.18,17.06,16.22,54.88,7.38,167.51,118.76,-130.82,48.87,201.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,190.2,175.45,290.5,347.4,410.35,222,509.5,797.75,985.7,1268.35
