COMPANY NAME,CARTRADE TECH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,922.2,,,,,,,,,
Market Capitalization,4320.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,32.56,78.23,243.28,298.28,249.68,312.72,363.74,489.95
Raw Material Cost,,,0.65,,0.94,16.22,2.81,8.4,5.24,
Change in Inventory,,,,,0.94,-0.92,1.56,-0.35,-1.22,
Power and Fuel,,,0.38,0.85,2,2.26,1.67,2.04,2.71,
Other Mfr. Exp,,,0.06,0.06,7.42,7.98,3.73,1.64,2.84,
Employee Cost,,,52.37,74.38,127.66,133.11,130.15,333.3,205.73,246.06
Selling and admin,,,135.95,47.52,72.81,90.56,67.51,86.92,104.12,
Other Expenses,,,5.61,8.64,3.32,6.9,5.62,13.52,7.92,164.49
Other Income,,,18.24,19.56,23.53,20.16,31.84,46.23,63.98,3.13
Depreciation,,,1.37,3.33,15.22,17.38,19.93,24.74,28.74,37.39
Interest,,,0.03,0.05,2.95,4.19,4.68,7.16,8.64,9.25
Profit before tax,,,-145.62,-37.04,35.43,38.92,46.98,-119.12,60.56,35.89
Tax,,,0.05,,9.51,7.62,-56.42,2.24,20.13,15.91
Net profit,,,-145.68,-36.94,16.69,21.88,92.5,-132.1,34,14.3
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,88.78,93.14,82.78,87.89,97.21,95.86,86.07,120.01,138.59,145.28
Expenses,116.71,119.08,80.33,79.71,86.61,84.08,80.6,98.83,113.24,117.95
Other Income,13.54,12.74,9.99,14.6,18.65,20.73,20.84,-2.3,-32.24,16.89
Depreciation,6.27,6.46,6.79,7.13,7.23,7.59,8.37,9.08,9.57,10.37
Interest,1.75,1.76,1.86,1.9,1.87,2.04,2.17,2.22,2.29,2.56
Profit before tax,-22.41,-21.42,3.79,13.75,20.15,22.88,15.77,7.58,-18.75,31.29
Tax,-3.93,-0.01,0.48,8.18,6.09,5.38,2.25,2.54,4.8,6.32
Net profit,-23.36,-25.67,2.57,3.44,13.03,14.96,13,3.01,-24.23,22.52
Operating Profit,-27.93,-25.94,2.45,8.18,10.6,11.78,5.47,21.18,25.35,27.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,3.16,3.45,3.45,3.45,3.58,46.62,46.84,46.89
Reserves,,,948.25,1185.34,1193.05,1223.84,1637.75,1932.65,1996.6,2023.11
Borrowings,,,,,33.5,42.14,54.55,77.12,86.43,112.48
Other Liabilities,,,69.91,63.28,194.28,197.92,228,219.64,210.2,327.3
Total,,,1021.32,1252.07,1424.28,1467.35,1923.88,2276.03,2340.07,2509.78
Net Block,,,791.66,788.83,1010.27,1015.57,1022.45,1040.96,1042.16,1489.09
Capital Work in Progress,,,0.05,0.02,0.03,0.19,0.49,0.37,,
Investments,,,164.68,405.01,287.06,294.75,645.49,883.74,985.41,509.96
Other Assets,,,64.93,58.21,126.92,156.84,255.45,350.96,312.5,510.73
Total,,,1021.32,1252.07,1424.28,1467.35,1923.88,2276.03,2340.07,2509.78
Receivables,,,17.57,21.25,36.04,46.69,47.3,41.46,51.6,73.28
Inventory,,,0.09,,0.94,0.02,1.58,1.22,,
Cash & Bank,,,7.3,3.94,21.63,21.59,24.48,62.59,27.87,99.45
No. of Equity Shares,,,3156753,3449303,3449303,3449303,3584303,46622567,46844317,
New Bonus Shares,,,,,,,,,,
Face value,,,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,-49.77,35.2,17.16,35.21,63.16,48.22,15.87
Cash from Investing Activity,,,,-222.22,-20.41,-8.15,-340.81,-280.89,-16.55,-110.14
Cash from Financing Activity,,,,268.63,-5.44,-11.07,308.08,229.31,-39.12,-32.93
Net Cash Flow,,,,-3.35,9.34,-2.07,2.47,11.58,-7.46,-127.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,579.6,389.05,638.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.32,0.34,0.34,0.34,0.36,4.66,4.68,4.69
