COMPANY NAME,CASTROL INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,187.35,,,,,,,,,
Market Capitalization,18535.96,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Sales,3392.33,3298.03,3370.33,3584.32,3904.55,3876.82,2996.92,4192.06,4774.49,5074.61
Raw Material Cost,1920.69,1585.98,1546.57,1671.33,1971.11,1671.92,1290.47,2070.93,2528.27,2647.79
Change in Inventory,-16.81,-14.81,14.98,5.43,64.55,-75.73,24.13,12.11,28.35,11.38
Power and Fuel,5.29,4.84,4.6,5.26,5.96,6.39,5.11,5.7,6.21,6.42
Other Mfr. Exp,163.18,163.71,175.26,186.81,217.88,221.81,193.16,225.13,235.99,246.29
Employee Cost,161.89,177.08,178.42,196.35,204.23,214.03,220.84,233.01,273.57,292.64
Selling and admin,383.48,419.09,440.26,437.82,455.47,482.82,453.08,561.89,602.85,653.01
Other Expenses,23.32,31.78,39.2,59.06,43.68,50.42,44.13,40.61,44.53,41.93
Other Income,47.15,90.01,85.74,83.65,84.31,64.14,61.88,47.49,66.73,83.15
Depreciation,36.13,38.97,44.96,45.5,55.57,69.74,86.62,82.7,81.39,92.43
Interest,2.38,0.83,1.48,1.2,1.09,1.19,4.16,2.41,4.01,7.53
Profit before tax,726.31,950.95,1040.3,1070.07,1098.42,1146.91,785.36,1029.28,1092.75,1181.1
Tax,251.75,335.69,369.92,378.26,390.06,319.54,202.42,271.19,277.6,316.97
Net profit,474.56,615.26,670.38,691.81,708.36,827.37,582.94,758.09,815.15,864.13
Dividend Amount,370.92,445.1,544.02,692.38,494.56,544.02,544.02,544.02,642.93,741.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1090.61,1235.7,1241.71,1121.07,1176.01,1293.89,1333.76,1182.92,1264.04,1325.24
Expenses,824.67,918.5,955.59,863.93,925.37,1003.35,1024.01,914.36,934.98,1031.5
Other Income,12.39,15.03,13.67,18.71,19.64,22.1,18.55,20.23,22.27,24.14
Depreciation,20.92,20.22,19.57,20.78,20.82,22.73,21.82,22.87,25.01,23.71
Interest,0.55,0.72,0.49,1.23,1.57,1.65,1.47,2.41,2,2.12
Profit before tax,256.86,311.29,279.73,253.84,247.89,288.26,305.01,263.51,324.32,292.05
Tax,68.28,82.89,73.47,66.67,54.57,85.76,79.74,69.09,82.38,75.81
Net profit,188.58,228.4,206.26,187.17,193.32,202.5,225.27,194.42,241.94,216.24
Operating Profit,265.94,317.2,286.12,257.14,250.64,290.54,309.75,268.56,329.06,293.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Equity Share Capital,247.28,247.28,247.28,494.56,494.56,494.56,494.56,494.56,494.56,494.56
Reserves,249.5,328.33,734.26,525.59,671.1,872.39,919.67,1150.95,1391.47,1627.13
Borrowings,,,,,,,,6.72,49.95,76.95
Other Liabilities,995.37,1086.01,906.79,956.8,941.11,861.83,979.27,1051.79,1133.03,1221.29
Total,1492.15,1661.62,1888.33,1976.95,2106.77,2228.78,2393.5,2704.02,3069.01,3419.93
Net Block,172.07,148.84,146.97,138.97,186.04,199.7,209.21,201.18,260.79,258.85
Capital Work in Progress,15.67,36.41,37.26,57.27,35.04,27.33,43.54,50.04,60.76,108.36
Investments,,,,,,,,,325,487.5
Other Assets,1304.41,1476.37,1704.1,1780.71,1885.69,2001.75,2140.75,2452.8,2422.46,2565.22
Total,1492.15,1661.62,1888.33,1976.95,2106.77,2228.78,2393.5,2704.02,3069.01,3419.93
Receivables,271.5,236.46,255.22,284.97,391.8,482.03,180.49,311.65,350.36,422.82
Inventory,365.47,304.58,343.88,319.57,456.79,304.72,366.87,491.65,534.44,532.92
Cash & Bank,431.45,696.5,821.88,784.23,743.85,946,1274.19,1300.21,1217.71,1199.79
No. of Equity Shares,494561192,494561192,494561192,989122384,989122384,989122384,989122384,989122384,989122384,989122384
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00
Cash from Operating Activity,547.6,740.01,664.11,608.3,549.48,879.49,892.79,630.21,915.56,853.04
Cash from Investing Activity,-13.74,2.26,-32.97,151.37,66.12,-448.26,-200.94,-83.08,62.21,-250.53
Cash from Financing Activity,-696.63,-477.83,-568.03,-655.78,-567.42,-627.72,-564.33,-557.58,-607.5,-663.8
Net Cash Flow,-162.77,264.44,63.11,103.89,48.18,-196.49,127.52,-10.45,370.27,-61.29
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,251,220.68,190.33,193.2,151.25,129.3,123.05,122.8,123.15,179.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
