COMPANY NAME,CENTRAL BANK OF INDIA,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,60.45,,,,,,,,,
Market Capitalization,52476.28,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,26475.98,25987.66,24774.96,24163.12,22748.62,23675.59,22829.53,22903.34,25657.1,30848.92
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,74.43,69.59,120.82,113.38,99.01,104.54,116.74,162.09,147.49,
Employee Cost,3831.74,4473.36,4222.35,3991.44,3576.33,4227.58,4151.23,4482.81,5616.73,6325.77
Selling and admin,798.63,867.64,949.67,999.66,952.64,1069.57,679.04,1096.21,1177.23,
Other Expenses,3915.63,6117.92,7451.64,8910.8,9952.09,6733.57,7472.32,4735.44,5836.6,7264.02
Other Income,1900.39,2018.79,2870.57,2620.41,2416.33,3622.4,2994.37,2985.94,4163.56,4713.06
Depreciation,229.62,239.79,257.69,260.5,277.93,285.48,292.53,296.76,385.98,
Interest,19199.65,18889.3,18166.45,17603.32,15934.66,16004.56,14542.96,13360.88,13905.1,17882.37
Profit before tax,326.67,-2651.15,-3523.09,-5095.57,-5627.71,-1127.31,-1430.92,1755.09,2751.53,4089.82
Tax,-291.63,-1244.98,-1081.21,,,,-436.03,672.13,1063.14,1513.84
Net profit,666.06,-1396.37,-2459.36,-5139.6,-5616.93,-1255.72,-1000.11,1075.79,1678.78,2667.68
Dividend Amount,82.91,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,6075.4,5815.59,5555.14,6184.35,6746.19,7171.42,7258.97,7376.82,7841.91,8371.23
Expenses,2701.62,2303.02,2671.3,3039.25,3401.19,4042.72,3118.14,3533.64,3377.26,3560.75
Other Income,303.7,276.71,832.1,908.73,919.4,1424.26,959.05,1061.69,1329.25,1363.07
Depreciation,,,,,,,,,,
Interest,3324.11,3380.61,3397.13,3421.08,3443.96,3642.93,4061.78,4337.7,4671.85,4811.04
Profit before tax,353.37,408.67,318.81,632.75,820.44,910.03,1038.1,567.17,1122.05,1362.51
Tax,67.27,91.5,75.29,307.62,354.82,334.97,610.09,-41.46,394.53,550.68
Net profit,282.48,342.26,272.9,341.41,473.47,591,494.98,621.95,734.47,816.29
Operating Profit,3373.78,3512.57,2883.84,3145.1,3345,3128.7,4140.83,3843.18,4464.65,4810.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1658.27,1689.71,1902.17,2618.16,4047.2,5709.76,5875.56,8680.94,8680.94,
Reserves,16076.7,16817.86,16309.26,15592.31,15348.83,15826.74,20621.28,18868.47,20535.79,
Borrowings,282040.19,276189.42,306932.53,301380.17,305951.06,320277.17,336087.97,350827.87,368109.04,
Other Liabilities,12990.66,11924.15,9550.96,7758.65,6537.54,15337.01,7389.67,8914.89,9753.94,
Total,312765.82,306621.14,334694.92,327349.29,331884.63,357150.68,369974.48,387292.17,407079.71,
Net Block,2842.95,4369.02,4299.93,4352.85,4319.8,4345.71,5141.79,4964.27,4785.59,
Capital Work in Progress,,,,,,,,,,
Investments,89921.4,89086.68,92276.56,102769.46,125452.74,142525.67,148518.01,140774.54,136569.38,
Other Assets,220001.47,213165.44,238118.43,220226.98,202112.09,210279.3,216314.68,241553.36,265724.74,
Total,312765.82,306621.14,334694.92,327349.29,331884.63,357150.68,369974.48,387292.17,407079.71,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,14838.03,15569.66,78794.97,39262.41,31297.59,36104.55,38953.77,53096.94,44101.94,
No. of Equity Shares,1658273181,1689714269,1902170964,2618155800,4047201400,5709762724,5875562460,8680939432,8680939432,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2273.71,281.29,61870.67,-44376.42,-14509.98,1725.97,-2003.33,14276.55,-8786.34,-5909.91
Cash from Investing Activity,-331.67,-148.96,-188.62,-310.23,-250.94,-314.78,-202.45,-133.38,-208.66,-584.23
Cash from Financing Activity,509.67,599.29,1543.26,5154.09,6796.11,3395.78,5055,,,
Net Cash Flow,2451.71,731.62,63225.31,-39532.56,-7964.81,4806.97,2849.22,14143.17,-8995,-6494.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,106.6,74.25,105.65,72.35,35.65,12.25,16.3,18.35,24.1,59.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,165.83,168.97,190.22,261.82,404.72,570.98,587.56,868.09,868.09,868.09
