COMPANY NAME,CHALET HOTELS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,829.35,,,,,,,,,
Market Capitalization,18113.18,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,501.13,441.45,582.46,737.35,795.55,987.17,980.85,285.58,507.81,1128.47
Raw Material Cost,,,,,80.5,86.67,82.84,23.87,53.86,99.92
Change in Inventory,,,,,30.69,-23.97,-2.33,,1.28,
Power and Fuel,39.68,45.93,61.23,54.5,62.74,66.84,64.84,33.16,46.29,64.73
Other Mfr. Exp,177.84,127.28,136.52,147.52,103.45,102.68,109.68,56.44,107.99,162.9
Employee Cost,68,86.22,106.76,118.87,128.15,145.11,151.98,89.77,100.43,151.51
Selling and admin,82.58,88.15,115.04,143.02,160.5,160.45,156.04,64.99,85.47,178.67
Other Expenses,35.03,29.86,26.75,160.3,46.16,82.22,76.52,10.29,16.57,17.93
Other Income,-42.38,17.52,12.51,310.91,-66.02,43.51,23.73,14.1,10.93,91.8
Depreciation,59.6,61.77,98.81,126.98,111.63,115.42,113.32,117.46,118.42,117.31
Interest,136.88,160.57,215.87,217.96,211.92,265.67,146.18,151.98,144.41,154.47
Profit before tax,-140.86,-140.81,-166.01,79.11,-144.83,-18.35,100.85,-248.28,-153.42,272.83
Tax,-32.05,-14.42,-53.51,-48.32,-51.95,-10.72,1.22,-109.15,-71.96,89.54
Net profit,-108.81,-126.39,-112.49,127.44,-92.88,-7.63,102.68,-139.08,-81.53,183.33
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,128.18,164.18,148.01,253.01,247.84,289.75,337.87,310.77,314.55,373.67
Expenses,92.52,123.75,116.58,151.14,162.75,176.26,185.51,200.98,188.59,207.67
Other Income,6.2,-4.67,4.5,5.89,3.88,92.56,-10.53,3.81,3.61,6.22
Depreciation,30.46,28.47,30.27,29.71,29.64,28.12,29.84,30.97,34.97,35.32
Interest,39.23,33.66,35.6,39.13,38,36.81,40.53,45.42,50.13,48.25
Profit before tax,-27.83,-26.37,-29.94,38.92,21.33,141.12,71.46,37.21,44.47,88.65
Tax,-14,-11.98,-18.48,10.37,5.58,38.76,34.83,-51.45,8.02,18.01
Net profit,-13.66,-14.65,-11.56,28.55,15.73,102.34,36.71,88.66,36.44,70.62
Operating Profit,35.66,40.43,31.43,101.87,85.09,113.49,152.36,109.79,125.96,166
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,152.14,152.14,152.14,152.14,171.1,205.02,205.02,205.02,205.02,205.03
Reserves,508.36,479.9,364.94,314.9,324.41,1217.65,1349.53,1211.04,1136.23,1336.91
Borrowings,1759.24,2071.54,2350.64,2635.87,2709.31,1494.21,1790.75,1938.86,2422.43,2667.13
Other Liabilities,567.23,538.35,487.01,449.47,447.58,613.91,689.51,664.39,701.31,748.04
Total,2986.97,3241.93,3354.73,3552.38,3652.4,3530.79,4034.81,4019.31,4464.99,4957.11
Net Block,1275.78,2294.98,2390.18,2838.61,2819.21,2753.42,3018.98,3079.68,3413.39,3853.56
Capital Work in Progress,571.61,48.76,31.61,21.15,21.82,34.25,87.51,35.85,32.23,97.77
Investments,11.54,12.84,47.42,0.31,4.32,4.71,4.51,4.49,6.28,6.85
Other Assets,1128.04,885.35,885.52,692.31,807.05,738.41,923.81,899.29,1013.09,998.93
Total,2986.97,3241.93,3354.73,3552.38,3652.4,3530.79,4034.81,4019.31,4464.99,4957.11
Receivables,15.7,10.06,18.14,29.62,55.17,47.68,41.68,30.61,43.6,58.95
Inventory,294.79,321.73,325.76,319.09,311.58,395.46,436.67,435.48,436.48,439.26
Cash & Bank,102.44,31.8,34.66,33.17,31.67,82.68,127.88,45.77,99.85,121.98
No. of Equity Shares,152142253,152142253,152142253,152142253,171095293,205023864,205023864,205023864,205023864,205024864
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,79.34,201.22,248.91,365.52,252.44,60.17,62.22,476.88
Cash from Investing Activity,,,-172.48,328.98,-118.1,147.24,-391.44,-49.92,-396.1,-590.65
Cash from Financing Activity,,,53.04,-463.37,-156.59,-522.83,132.79,-34.09,410.95,126.05
Net Cash Flow,,,-40.11,66.83,-25.78,-10.07,-6.21,-23.84,77.07,12.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,337.55,205.15,146.3,302.35,363.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,15.21,15.21,15.21,15.21,17.11,20.5,20.5,20.5,20.5,20.5
