COMPANY NAME,CHAMBAL FERTILISERS & CHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,387,,,,,,,,,
Market Capitalization,15495.67,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,9732.71,9007.95,7553.45,7541.02,10094.52,12205.95,12719.01,16068.83,27772.81,17966.41
Raw Material Cost,5706.04,6109.95,4757.16,4585.9,6592.45,6680.65,6984.35,11930.3,17918.16,10756.85
Change in Inventory,52.67,298.5,-2.61,-46.57,510.64,-208.66,-353.86,2326.99,-1786.13,-145.41
Power and Fuel,1381.81,1249.52,958.8,1098.79,1767.89,2113.57,1645.56,3019.28,4838.21,
Other Mfr. Exp,697.57,170.92,175.66,129.49,144.79,194.94,203.03,235.21,269.26,
Employee Cost,338.03,167.12,142.11,149.6,127,156.33,176.69,180.96,191.25,220.77
Selling and admin,786.93,787.58,696.15,624.3,682.21,750.24,838.36,699.81,853.83,
Other Expenses,138.39,167.58,62.08,95.78,90.79,176.25,47.49,65.12,93.82,4800.09
Other Income,103.02,32.22,133.11,171.7,-2.05,192.41,469.96,374.38,222.49,329.54
Depreciation,216.49,111.25,92.2,85.39,118.76,286.86,289.22,299.74,308.29,312.79
Interest,163.91,266.94,255.31,156.56,246.95,503.86,290.88,108.88,320.02,173.06
Profit before tax,459.23,307.81,544.48,740.34,832.27,1327,2359.53,2230.9,1416.33,1886.98
Tax,179.72,160.46,185.52,244.93,247.42,101.44,611.94,664.84,382.54,611.23
Net profit,294.61,220.96,362.14,498.84,590.21,1226.19,1654.76,1565.98,1034.22,1275.8
Dividend Amount,78.65,79.08,79.08,79.08,83.24,166.48,312.16,312.16,312.16,300.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4743.33,3307.37,7291.18,8586.75,8296.21,3598.67,5589.28,5385.52,4348.57,2643.04
Expenses,4160.59,2945.94,6697.8,8142.25,7626.37,3490.78,4955.97,4770.51,3720.1,2476.54
Other Income,128.14,73.64,41.99,122.87,22.86,41.31,14.47,90.35,151.3,73.42
Depreciation,76.17,75.05,76.06,78.22,78.09,75.92,77.16,78.44,79.11,78.08
Interest,24.13,26.55,48.11,84.95,120.07,66.89,54.83,45.77,36.47,35.99
Profit before tax,610.58,333.47,511.2,404.2,494.54,6.39,515.79,581.15,664.19,125.85
Tax,175.41,89.67,169.49,130.01,170.63,-87.59,177.19,200.19,204.79,29.06
Net profit,435.06,243.57,341.82,274.27,324.03,94.1,338.64,380.97,459.41,96.78
Operating Profit,582.74,361.43,593.38,444.5,669.84,107.89,633.31,615.01,628.47,166.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,413.95,416.21,416.21,416.21,416.21,416.21,416.21,416.21,416.21,400.65
Reserves,1837.15,1450.69,1707.33,2089.34,2467.03,3123.09,4832.58,5983.37,6651.9,6872.9
Borrowings,4089.35,5317.13,4618.59,5719.8,8663.71,9695.52,3865.74,4263.85,3279.25,1873.93
Other Liabilities,1297.83,939.25,1314.66,1236.6,2378.17,1297.85,1132.16,2625.57,2422.71,2361.49
Total,7638.28,8123.28,8056.79,9461.95,13925.12,14532.67,10246.69,13289,12770.07,11508.97
Net Block,2948.28,1792.92,1162.02,1233.88,6905.18,6701.03,6479.84,6357.67,6262.39,6422.96
Capital Work in Progress,119.15,638.94,1712.2,4134.63,121.42,84.99,160.79,156.9,102.62,183.54
Investments,30.11,211.08,173.58,207.08,300.2,217.16,298.33,559.19,2377.09,2431.34
Other Assets,4540.74,5480.34,5008.99,3886.36,6598.32,7529.49,3307.73,6215.24,4027.97,2471.13
Total,7638.28,8123.28,8056.79,9461.95,13925.12,14532.67,10246.69,13289,12770.07,11508.97
Receivables,3171.16,3861.2,3036.2,2534.69,4827.4,5563.11,1174.59,2151.3,1760.48,191.56
Inventory,738.71,868.39,849.35,795.1,1323.15,1135.6,789.14,3123.21,1373.83,1254.66
Cash & Bank,203.93,54.27,132.14,77.65,81.09,167.53,907.4,554.14,57.63,132.89
No. of Equity Shares,413954450,416207852,416207852,416207852,416207852,416207852,416207852,416207852,416207852,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1063.78,-26.52,1279.5,1171.53,-1129.87,827.09,6943.55,-24.23,3239.26,3326.75
Cash from Investing Activity,-149.26,-347.53,-703.31,-1784.46,-1131.51,-462.31,-194.92,-118.87,-1872.36,-382.48
Cash from Financing Activity,-936.98,361.99,-499.88,563.88,2263,-283.19,-6006.85,-212.79,-1861.99,-2871.41
