COMPANY NAME,CIGNITI TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1297.45,,,,,,,,,
Market Capitalization,3545.69,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,378.88,594.84,619.26,693.28,816.08,871.97,896.53,1241.8,1647.58,1815.01
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,1.82,0.02,5.86,4.92,4.06,3.87,3.19,3.24,4.72,
Other Mfr. Exp,4.48,5.15,9.59,81.03,111.61,136.92,166.35,266.21,333.92,
Employee Cost,271.05,393.71,451.33,470.1,475.36,518.96,521.58,739.27,964.46,1124.18
Selling and admin,60.8,93.94,168.65,77.36,84.66,81.92,58.63,100.4,101.79,
Other Expenses,2.68,4.08,5.7,7.82,7.62,1.61,1.31,3.4,4.99,469.08
Other Income,1.21,3.41,-332.04,0.58,27.25,21.63,13.45,13.44,14.72,33.08
Depreciation,5.42,11.29,16.96,2.71,3.15,11.48,12.27,16.16,26.38,30.33
Interest,2.94,6.03,16.1,16.98,14.64,8,5.59,5.05,4.4,4.12
Profit before tax,30.9,84.03,-386.97,32.94,142.23,130.84,141.06,121.51,221.64,220.38
Tax,5.55,34.35,7.86,0.77,-5.13,9.24,35.71,29.78,53.32,54.79
Net profit,25.35,49.68,-394.83,32.17,147.36,121.6,105.35,91.74,168.32,165.59
Dividend Amount,,,,,,,7,7.01,14.99,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,325.46,344.08,377.97,416.65,427.99,424.97,439.53,451.83,468.02,455.64
Expenses,285.02,311.46,333.41,355.89,363.97,356.6,377.45,387,403.45,425.77
Other Income,1.33,5.29,1.11,2.17,7.76,3.67,4.69,5.32,7.31,16.18
Depreciation,4.27,4.91,5.32,6.89,7.15,7.02,7.11,7.59,7.85,7.79
Interest,1.34,1.5,1.07,1.06,1.15,1.12,1.05,1.14,0.92,1.03
Profit before tax,36.16,31.5,39.28,54.98,63.48,63.9,58.61,61.42,63.11,37.23
Tax,9.6,8.89,8.27,13.46,16.93,14.66,14.05,15.56,15.08,10.09
Net profit,26.55,22.6,31,41.53,46.55,49.24,44.56,45.86,48.04,27.14
Operating Profit,40.44,32.62,44.56,60.76,64.02,68.37,62.08,64.83,64.57,29.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,24.74,25.5,26.51,27.25,27.66,27.85,28.02,28.05,27.26,27.3
Reserves,244.34,334.12,-67.32,-20.37,123.08,239.39,344.33,431.79,562.09,710.77
Borrowings,43.08,127.04,143.85,131.39,73.68,121.47,45.67,80.04,55.77,57.24
Other Liabilities,71.91,149.26,124.87,99.77,83.09,91.2,114.08,157.86,200.88,210.56
Total,384.07,635.92,227.91,238.04,307.51,479.91,532.1,697.74,846,1005.87
Net Block,71.12,141.4,63.7,61.72,68.48,101.96,93.23,112.95,135.27,121.29
Capital Work in Progress,55.04,64.34,,,,,,,,
Investments,,,,,,48.89,80.46,120.13,177.28,249.89
Other Assets,257.91,430.18,164.21,176.32,239.03,329.06,358.41,464.66,533.45,634.69
Total,384.07,635.92,227.91,238.04,307.51,479.91,532.1,697.74,846,1005.87
Receivables,134.7,175.82,103.49,114.68,123.69,164.41,157.72,226.78,255.15,318.64
Inventory,,,,,,,,,,
Cash & Bank,33.89,4.17,16.26,18.34,61.56,87.13,127.92,115.4,106.74,160.47
No. of Equity Shares,24739219,25499219,26509530,27248029,27664269,27846259,28020009,28052509,27256959,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-28.11,115.3,-48.28,34.96,126.99,86.6,144.86,38.21,157.17,129.42
Cash from Investing Activity,-51.16,-197.42,-5.81,-4.86,-6.03,-136.76,-46.56,-50.03,-53.08,-38.12
Cash from Financing Activity,107.51,52.21,52.97,-28.8,-134.63,-12.58,-14.34,-19.66,-68.76,-39.5
Net Cash Flow,28.24,-29.92,-1.12,1.3,-13.68,-62.74,83.96,-31.48,35.33,51.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,431.05,419.3,384.1,240,325.15,189.05,315,429.75,746,1265.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.47,2.55,2.65,2.65,2.75,2.78,2.8,2.81,2.81,2.73
