COMPANY NAME,CITY UNION BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,145.9,,,,,,,,,
Market Capitalization,10802.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2545.93,2698.86,2944.21,3173.79,3402.42,3767.17,4168.6,4134.68,4104.78,4714.34
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,41.18,33.74,47.23,67.87,74.99,86.99,93.22,83.27,107.23,115
Employee Cost,186.05,211.06,213.95,299.1,317.34,366.02,422.17,464.98,505.44,532.37
Selling and admin,141.46,158.15,166.93,181.74,209.15,245.26,266.89,259.27,240.96,268.92
Other Expenses,219.27,251.66,307.79,388.23,518.46,441.26,907.55,930.61,751.75,806.54
Other Income,279.86,414.99,409.98,483.95,532.1,514.39,679.95,688.77,759.08,810.36
Depreciation,37.72,46.73,52.43,53.01,52.46,61.5,78.99,87.47,85.02,72.85
Interest,1786.54,1891.49,1963.17,1975.02,1972.12,2155.68,2493.41,2305.02,2188.29,2551.54
Profit before tax,413.57,521.02,602.69,692.77,790,924.85,586.32,692.83,985.17,1177.48
Tax,66.5,126,158,190,198,242,110,100,225,240
Net profit,347.07,395.02,444.69,502.77,592,682.85,476.32,592.82,760.17,937.48
Dividend Amount,54.27,65.63,71.78,18.03,19.94,36.72,36.86,36.94,73.96,74.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1022.19,1035.24,1049.92,1099.44,1181.19,1205.64,1228.07,1266.17,1304.05,1326.24
Expenses,423.91,403.85,434.66,447.31,389.92,507.22,451.24,451.76,389.89,390.78
Other Income,202.75,160,202.95,217.54,173.47,224.33,195.02,191.48,182.07,192.88
Depreciation,,,,,,,,,,
Interest,543.93,545.27,549.25,574.53,613.29,649.91,713.81,743.62,765.62,810.31
Profit before tax,257.1,246.12,268.96,295.14,351.45,272.84,258.04,262.27,330.61,318.03
Tax,75,50,60,70,75,55,40,35,50,65
Net profit,182.1,196.12,208.96,225.14,276.45,217.84,218.04,227.27,280.61,253.03
Operating Profit,598.28,631.39,615.26,652.13,791.27,698.42,776.83,814.41,914.16,935.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,54.27,59.66,59.82,60.11,66.47,73.45,73.73,73.88,73.96,74.04
Reserves,1970.66,2635.87,2992.18,3510.09,4096.76,4767.31,5222.34,5768.59,6511.75,7383.17
Borrowings,22321.87,24243.78,27822.68,30646.74,34588.5,38928.86,42864.89,45883.06,53001.49,57085.95
Other Liabilities,647.03,931.81,929.28,1053.83,1185.52,1489.26,1572.57,1586.16,1943.72,2051.4
Total,24993.83,27871.12,31803.96,35270.77,39937.25,45258.88,49733.53,53311.69,61530.92,66594.56
Net Block,182.95,210.41,217.56,215.08,223.13,250.03,245.16,232.69,214.65,239.33
Capital Work in Progress,,,,,,,,,,
Investments,5953.56,5870.67,6826.45,7031.45,7879.11,7712.2,9116.79,9435.94,12221.22,14332.63
Other Assets,18857.32,21790.04,24759.95,28024.24,31835.01,37296.65,40371.58,43643.06,49095.05,52022.6
Total,24993.83,27871.12,31803.96,35270.77,39937.25,45258.88,49733.53,53311.69,61530.92,66594.56
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,2179.62,2536.77,2650.07,2878.98,2636.44,2963.28,4721.65,5615.06,6686.93,6649.27
No. of Equity Shares,542740263,596567800,598191279,601064881,664729209,734500818,737319221,738822111,739584913,740416385
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,412.4,130.65,248.46,283.61,-183.1,418.6,1836.23,921.8,1165.5,100.4
Cash from Investing Activity,-79,-64.33,-59.99,-50.32,-60.53,-86.69,-59.59,-37.96,-62.84,-71.88
Cash from Financing Activity,75.73,290.83,-75.17,-4.38,1.09,-5.07,-18.28,9.57,-30.79,-66.17
Net Cash Flow,409.13,357.15,113.3,228.9,-242.53,326.84,1758.36,893.41,1071.87,-37.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,44.5,80.08,78.35,125.29,156.77,204.85,129.05,155.95,128.9,125.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,65.67,72.18,72.38,72.73,73.12,73.45,73.73,73.88,73.96,74.04
