COMPANY NAME,CLEAN SCIENCE & TECHNOLOGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1290.65,,,,,,,,,
Market Capitalization,13693.83,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,241.08,393.27,419.3,512.43,684.89,935.8
Raw Material Cost,,,,,107.37,178.61,127.98,137.86,245.11,338.39
Change in Inventory,,,,,-6.05,7.39,-1.26,14.28,20.45,12.44
Power and Fuel,,,,,19.8,33.11,36.45,35.95,63.21,90.88
Other Mfr. Exp,,,,,9,14.56,16.97,23.11,25.25,27.08
Employee Cost,,,,,16.01,24.86,31.01,43.56,34.55,45.2
Selling and admin,,,,,6.03,7.29,11.9,17.59,20.28,29.45
Other Expenses,,,,,2.95,5.49,8.16,9.13,16.76,14.7
Other Income,,,,,4.54,11.16,10.87,25.33,29.97,29.75
Depreciation,,,,,7.6,11.03,13.71,17.21,24.92,36.09
Interest,,,,,0.56,0.33,0.41,0.33,0.44,0.56
Profit before tax,,,,,70.25,136.54,182.32,267.3,304.79,395.64
Tax,,,,,21.35,38.88,42.69,68.92,76.31,100.46
Net profit,,,,,48.9,97.66,139.63,198.38,228.5,295.18
Dividend Amount,,,,,5.68,14.2,3.32,265.5,34.52,53.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,153.16,180.81,204.6,234.07,247.51,237.36,216.86,188.11,181.12,194.73
Expenses,84.43,104.69,120.9,142.75,150.02,129.15,111.78,111.98,106.3,108.13
Other Income,8.62,7.45,7.36,1.84,2.8,12.55,12.63,13.43,6.01,7.79
Depreciation,6.11,6,7.02,8.46,8.69,8.89,10.06,10.8,11.13,11.31
Interest,0.01,,0.13,,,0.06,0.13,0.05,0.25,0.05
Profit before tax,71.23,77.57,83.91,84.7,91.6,111.81,107.52,78.71,69.45,83.03
Tax,17.71,19.59,21.54,21.8,23.65,28.01,26.98,19.77,17.27,20.41
Net profit,53.52,57.98,62.37,62.9,67.95,83.79,80.53,58.94,52.19,62.63
Operating Profit,68.73,76.12,83.7,91.32,97.49,108.21,105.08,76.13,74.82,86.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,1.42,1.42,1.33,10.62,10.62,10.62
Reserves,,,,,186.45,270.64,340.77,529.05,757.83,999.38
Borrowings,,,,,0.56,2.6,2.69,0.33,0.33,2.06
Other Liabilities,,,,,47.67,52.81,85.09,119.92,155.9,139.77
Total,,,,,236.1,327.47,429.88,659.92,924.68,1151.83
Net Block,,,,,102.35,126.98,165.58,185.85,295.74,460.09
Capital Work in Progress,,,,,1.5,3.93,3.42,54.99,44.13,20.49
Investments,,,,,17.84,75.25,132.98,232.11,191.12,353.13
Other Assets,,,,,114.41,121.31,127.9,186.97,393.69,318.12
Total,,,,,236.1,327.47,429.88,659.92,924.68,1151.83
Receivables,,,,,39.66,59.77,69.83,74.23,153.54,146.2
Inventory,,,,,29.04,37.02,34.59,52.9,88.13,108.81
Cash & Bank,,,,,29.5,9.45,9.28,15.68,74.69,12.48
No. of Equity Shares,,,,,1415727,1415727,1327737,106218960,106218960,106237539
New Bonus Shares,,,,,,,,9294159,,
Face value,,,,,10,10,10,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,44.96,84.74,160.1,192.85,127.25,279.36
Cash from Investing Activity,,,,,-16.88,-94.02,-104.89,-186.81,-78.54,-269.82
Cash from Financing Activity,,,,,-5.07,-10.8,-55.43,-5.89,-0.15,-55.03
Net Cash Flow,,,,,23.02,-20.08,-0.22,0.14,48.56,-45.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,1992.4,1267.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.14,0.14,0.13,10.62,10.62,10.62
