COMPANY NAME,COAL INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,443.5,,,,,,,,,
Market Capitalization,273375.86,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,74120.07,77861.32,78163.6,85244.24,99585.61,96080.34,90026.01,109715.42,138251.91,142323.98
Raw Material Cost,7256.44,7039.76,,,,60.8,282.34,103.56,469.74,11580.04
Change in Inventory,530.48,1444.22,1238.38,-1679.46,-856.24,1042.5,2351.26,-2308.49,678.12,1521.5
Power and Fuel,2347.28,2490.54,2546.45,2516.42,2443.08,2467.22,2524.67,2638.46,2759.89,
Other Mfr. Exp,9770.94,12370.09,20624.08,21077.21,22274.92,22456.96,25278.3,30039.47,38739.07,
Employee Cost,29874.12,30126.78,33522.88,42621.84,38772.85,39404.18,38592.42,40473.21,49409.16,48782.58
Selling and admin,2816.96,3291.82,3962.63,3383.99,3681.45,3544.99,3372.83,3861.53,4490.27,
Other Expenses,5241.81,5272.09,6298.04,4677.09,6550.29,7608.03,3699.19,5570.19,6252.17,35511.37
Other Income,6569.8,5938.91,5315.61,4974.88,5834.13,6444.41,3741.81,3865.93,6550.66,8395.91
Depreciation,2319.8,2825.91,2906.75,3062.7,3450.36,3450.83,3717.85,4428.67,4675.27,6735.42
Interest,9.09,387.67,410.44,430.1,263.68,502.92,642.24,541.49,684.31,819.37
Profit before tax,21583.91,21439.79,14446.32,10770.31,27126.87,24071.32,18009.24,23616.28,38000.81,48812.61
Tax,7857.3,7171.87,5164.79,3732.31,9662.45,7370.98,5307.07,6237.86,9875.87,11443.48
Net profit,13726.7,14266.78,9280.02,7038.56,17463.07,16714.19,12699.89,17358.1,28165.19,37402.29
Dividend Amount,13074.87,17306.83,12352.75,10242.23,8073.18,7395.28,9860.37,10476.64,14944.62,15714.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,28433.5,32708.69,35092.17,29838.07,35169.33,38152.34,35983.21,32776.41,36153.97,37410.39
Expenses,21611.22,23606.76,22865.32,22699.54,24780.61,28819.04,25492.38,24639.41,23133.28,26072.79
Other Income,652.85,1766.59,994.51,1761.17,1670.79,2290.83,1537.82,2073.65,2488.96,2318.5
Depreciation,1041.32,1412.35,993.75,1077.07,1261.97,1859.57,1138.38,1178.16,1648.71,1993.44
Interest,131.61,120.9,150.23,135.15,203.86,195.07,177.94,182.48,226.77,232.18
Profit before tax,6302.2,9335.27,12077.38,7687.48,10593.68,9569.49,10712.33,8850.01,13634.17,11430.48
Tax,1745.66,2620.27,3243.16,1643.49,2874.57,2700.03,2770.93,2036.51,3479.49,2790.03
Net profit,4558.39,6692.94,8832.86,6043.55,7755.55,6875.07,7971.04,6799.77,10130.18,8682.2
Operating Profit,6822.28,9101.93,12226.85,7138.53,10388.72,9333.3,10490.83,8137,13020.69,11337.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,6316.36,6316.36,6207.41,6207.41,6162.73,6162.73,6162.73,6162.73,6162.73,6162.73
Reserves,34036.71,28516.8,18310.68,13971.33,20292.41,25994.19,30354.63,36980.31,51082.16,76567.05
Borrowings,408.32,1198.79,3014.47,1537.72,2209.94,6433.77,5884.23,3513.64,4331.42,6523.03
Other Liabilities,70505.3,77528.31,91054.43,103754.21,104356.37,111429.75,118649.25,132779.65,148299.66,148419.45
Total,111266.69,113560.26,118586.99,125470.67,133021.45,150020.44,161050.84,179436.33,209875.97,237672.26
Net Block,16115.04,22082.49,23811.37,27574.09,32618.32,36783.61,42405.22,46676.96,51960.93,79889.84
Capital Work in Progress,5159.37,4553.22,8585.22,10272.7,9657.68,8328.25,10489.83,12897.14,17621.97,14738.66
Investments,2813.44,2906.07,1482.86,1703.63,3169.8,1972.87,5950.23,8920.6,7139.41,7110.41
Other Assets,87178.84,84018.48,84707.54,85920.25,87575.65,102935.71,102205.56,110941.63,133153.66,135933.35
Total,111266.69,113560.26,118586.99,125470.67,133021.45,150020.44,161050.84,179436.33,209875.97,237672.26
Receivables,8521.88,11447.61,12476.27,6257.8,5498.55,14408.22,19623.12,11367.68,13060.48,13255.75
Inventory,6909.05,8301.23,9717.04,6443.85,5583.93,6617.98,8947.47,7075.68,8154.68,10177.23
Cash & Bank,47268.89,38014.91,31149.19,31279.98,31124.23,28448.96,17310.3,29965.23,39921.85,30235.17
No. of Equity Shares,6316364400,6316364400,6207409177,6207409177,6162728327,6162728327,6162728327,6162728327,6162728327,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
