COMPANY NAME,COFORGE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,4301.8,,,,,,,,,
Market Capitalization,26618.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2372.5,2687.9,2802.1,2991.4,3676.2,4183.9,4662.8,6432,8014.6,9179
Raw Material Cost,97.76,30.8,14.1,31.7,29.1,84.4,193.5,172.4,55.1,9.4
Change in Inventory,3.28,-8.3,0.1,,,,,,,
Power and Fuel,15.46,16.7,18.5,18.5,17.7,16.9,12.4,13.9,15.8,
Other Mfr. Exp,119.81,149.5,144.5,132.4,166.6,191.3,241.7,383.1,594.4,
Employee Cost,1333.15,1541.9,1651.3,1760.1,2153.2,2529.8,2815.8,3834.6,4828,5506.9
Selling and admin,384.71,426.2,441.1,513.7,622.4,598.4,552.4,873.4,1188.9,
Other Expenses,88.04,40.4,52.7,33,36.8,38.5,65.9,52.7,50.4,2235
Other Income,-63.63,19.9,4.3,38.4,46,59.3,13,51.8,8.3,61.4
Depreciation,91.64,121.1,127.7,127.4,124.8,173,183.6,227.2,258.5,318.6
Interest,5.67,7.5,6,9.4,9.2,15.5,14.3,65,80.6,125.6
Profit before tax,175.91,365.4,350.6,403.6,562.4,595.4,596.2,861.5,951.2,1044.9
Tax,53.99,78.4,78.5,94.9,140.3,127.8,130.2,146.8,206.1,209.3
Net profit,114.07,270,250.1,280.2,403.3,444,455.6,661.7,693.8,808
Dividend Amount,57.99,61.2,76.75,92.25,,193.75,78.78,316.68,391.04,352.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1658.1,1742.9,1829.4,1959.4,2055.8,2170,2221,2276.2,2323.3,2358.5
Expenses,1354.8,1430.4,1540.8,1622.3,1696.3,1874.5,1915,1935.3,1928.2,1972.8
Other Income,4.8,23.2,14,13.5,31.8,-49.7,16,8.9,15,21.5
Depreciation,56.6,58.4,63,61.4,62.4,71.7,75.7,77.2,81.1,84.6
Interest,18.3,18.3,18.4,21.2,21.5,19.5,22.1,31.9,34.6,37
Profit before tax,233.2,259,221.2,268,307.4,154.6,224.2,240.7,294.4,285.6
Tax,36,34.2,49.3,47.4,71.5,37.9,48.5,52.8,51.6,56.4
Net profit,183.7,207.7,149.7,201.1,228.2,114.8,165.3,181,238,223.7
Operating Profit,303.3,312.5,288.6,337.1,359.5,295.5,306,340.9,395.1,385.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,61.04,61.2,61.4,61.5,61.8,62.5,60.6,60.9,61.1,61.8
Reserves,1296.3,1511.4,1625.1,1712.5,2010.5,2334,2405.5,2672.2,3021.4,3564.8
Borrowings,8.62,10.4,25.4,22.5,13.6,35.2,82.6,489.6,562.2,726
Other Liabilities,610.75,701.9,695,827.8,748,968.4,935.2,1655.1,1980.4,1755.1
Total,1976.71,2284.9,2406.9,2624.3,2833.9,3400.1,3483.9,4877.8,5625.1,6107.7
Net Block,557.89,902.6,847.6,879.3,818.7,1079.3,1020.6,2066.7,2311.9,2353
Capital Work in Progress,120.31,16.7,,0.7,1.4,0.3,0.2,16.8,4.6,23.2
Investments,55.36,74.6,315.8,365.2,365.1,13.7,12.4,,,
Other Assets,1243.15,1291,1243.5,1379.1,1648.7,2306.8,2450.7,2794.3,3308.6,3731.5
Total,1976.71,2284.9,2406.9,2624.3,2833.9,3400.1,3483.9,4877.8,5625.1,6107.7
Receivables,605.99,590.1,468,585.8,587.7,856.5,1068.3,1389.4,1613.1,1803.9
Inventory,8.51,0.3,0.3,0.3,,,,,,
Cash & Bank,269.25,336.2,407.5,418.3,557.6,903.4,812.2,453.5,578.7,335.2
No. of Equity Shares,61044899,61186524,61362174,61456124,61783874,62494559,60592349,60913152,61087080,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,257.99,360.1,472.3,382.4,452.7,296.9,762.3,765.6,950.5,903.4
Cash from Investing Activity,-184.4,-223.3,-343.1,-248,-237.2,135.9,-86.1,-962.9,-269.2,-247.8
Cash from Financing Activity,-66.42,-72.7,-66.9,-74.4,-106.3,-132.7,-695.8,-155.8,-558.2,-887
Net Cash Flow,7.18,64.1,62.3,60,109.2,300.1,-19.6,-353.1,123.1,-231.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,349.3,496.7,435.6,865,1325.85,1147.75,2926.95,4457.5,3814.1,5502.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,6.1,6.12,6.14,6.15,6.18,6.25,6.06,6.09,6.11,6.18
