COMPANY NAME,CONFIDENCE PETROLEUM INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,85.6,,,,,,,,,
Market Capitalization,2476.65,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,268.57,306.48,354.7,496.9,606.74,1004.53,1077.78,863.1,1427.69,2208.83
Raw Material Cost,183.97,219.64,256.38,366.21,451.06,746.58,810.61,648.28,1125.31,1893.76
Change in Inventory,0.6,-1.06,3.51,6.53,6.94,5.6,-6.64,7.6,26.26,150.25
Power and Fuel,5.1,3.32,4.2,5.3,5.13,9.02,6.39,6.7,8.26,13.23
Other Mfr. Exp,14.07,18.33,28.1,37.8,35.6,39.36,24.99,10.12,18.92,29.16
Employee Cost,9.62,11.22,13.24,19.95,22.75,34.46,47.01,35.91,48.77,68.31
Selling and admin,17.27,18.5,20.39,31.51,26.31,47.22,49.67,43.01,61.99,125.24
Other Expenses,2.06,2.19,1.25,1.43,1.81,7.03,5.87,5.68,4.69,6.76
Other Income,1.68,-14.12,1.47,1.79,3.16,4.67,5.64,2.83,6.41,4.56
Depreciation,22.46,28.75,23.17,24.16,24.5,29.8,51.21,52.19,66.75,85.05
Interest,13.34,11.72,11.03,11.96,12.09,10.92,11.61,8.61,9.29,22.15
Profit before tax,2.96,-22.37,1.92,6.9,37.59,90.41,69.42,63.03,116.38,119.98
Tax,1.08,0.6,0.84,2.07,11.03,26.08,16.97,15.65,28.82,31.84
Net profit,2.17,-22.98,1.07,5,26.82,66.8,52.41,49.41,89.74,92.78
Dividend Amount,,,,,1.29,2.74,,,2.84,3.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,428.48,394.03,383.54,355.31,460.67,719.99,672.86,875.13,638.52,554.29
Expenses,366.87,345.02,346.3,316.76,404.73,661.6,603.11,798.76,549.83,470.42
Other Income,0.15,1.27,4.11,0.39,1.48,4.03,-1.34,0.71,4.67,8.51
Depreciation,15.44,16.95,18.69,17.52,19.51,20.21,27.82,25.26,25.62,41.72
Interest,2.11,2.6,3.19,2.96,6.53,6.56,6.1,7.5,20.84,19.34
Profit before tax,44.21,30.73,19.47,18.46,31.38,35.65,34.49,44.32,46.9,31.32
Tax,11.05,7.37,4.88,4.85,8.17,9.19,9.63,11.43,16.16,4.69
Net profit,33.45,23.03,13.57,14.21,24.12,27.62,24.48,32.02,32.32,27.08
Operating Profit,61.61,49.01,37.24,38.55,55.94,58.39,69.75,76.37,88.69,83.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,25.88,25.88,25.88,25.88,25.88,27.38,27.38,28.4,28.4,28.4
Reserves,214.58,187.29,188.22,155.9,227.1,364.57,419.24,504.83,666.04,784.45
Borrowings,68.44,61.71,57.82,112,81.53,76.55,72.83,87.51,96.76,412.3
Other Liabilities,98.01,97.37,91.01,113.44,141.46,151.41,185.53,168.15,259.25,416.97
Total,406.91,372.25,362.93,407.22,475.97,619.91,704.98,788.89,1050.45,1642.12
Net Block,226.44,183.34,179.64,198.96,243.07,355.68,377.62,455.85,553.8,705.85
Capital Work in Progress,6.53,14.61,15.16,28.71,23.39,19.64,39.11,19.24,62.61,37.4
Investments,7.74,8.47,8.03,9.83,12.8,29.31,7.61,11.96,29.49,30.46
Other Assets,166.2,165.83,160.1,169.72,196.71,215.28,280.64,301.84,404.55,868.41
Total,406.91,372.25,362.93,407.22,475.97,619.91,704.98,788.89,1050.45,1642.12
Receivables,64.47,61.8,55.44,61.42,62.18,57.69,76.05,66.15,67.97,130.29
Inventory,60.32,57.61,54.7,54.12,61.4,76.76,73.83,77.8,111.47,293.09
Cash & Bank,11.8,16.35,14.02,9.9,17.85,21.9,20.65,17.66,20.64,71.84
No. of Equity Shares,258835000,258835000,258835000,258835000,258835000,273835000,273835000,284011923,284011923,284011923
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,30.96,29.84,35.48,29.8,65.45,68.26,66.23,97.55,102.91,-136.4
Cash from Investing Activity,-18.56,-12.59,-22,-108.46,-24.35,-151.61,-92.6,-142.03,-169.17,-169.65
Cash from Financing Activity,-12.45,-12.71,-15.81,74.54,-33.15,87.4,25.12,41.52,69.24,357.25
Net Cash Flow,-0.05,4.54,-2.33,-4.12,7.95,4.05,-1.25,-2.96,2.98,51.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1.71,1.93,4.85,7.7,29.8,38.8,14.75,44.6,62.45,60.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
