COMPANY NAME,CONTAINER CORPORATION OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,990.6,,,,,,,,,
Market Capitalization,60344.85,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5230.85,6031.7,6278.2,5979.73,6612.49,6956.06,6530.27,6427.08,7652.73,8169.12
Raw Material Cost,51.14,49.34,1.02,,,,,,,
Change in Inventory,-40.41,30.03,-30.83,,-0.18,-0.03,-0.21,-0.15,-0.03,
Power and Fuel,18.62,24.73,15.9,16.56,17.81,12.44,12.62,12.58,12.76,14.71
Other Mfr. Exp,3683.18,4234.16,4578.55,4183.67,4468.85,4441.33,4295.15,4097.35,4863.2,5299.11
Employee Cost,145.91,197.85,158.79,189.15,279.74,341.07,317.33,428.86,417.77,431.11
Selling and admin,208.71,241.26,197.52,366.48,402.1,434.87,271.73,882.6,694.96,655.24
Other Expenses,-69.87,-80.57,-46.88,-24.22,-48.59,-65.8,-60.99,-41.85,-86.01,-98.85
Other Income,358.25,354.23,347.35,308.56,342.56,363.73,-559.58,223.08,269.96,333.08
Depreciation,235.65,410.89,354.9,367.07,419.97,452.26,544.41,553.38,561.42,573.01
Interest,22.45,18.49,0.33,6.01,6.29,6.85,46.44,43.41,62.84,64.68
Profit before tax,1252.9,1319.81,1334.59,1183.57,1408.7,1696.74,543.79,673.68,1395.72,1563.19
Tax,307.2,263.97,367.99,329.44,348.59,474.4,138.09,172.98,342.2,389.72
Net profit,944.25,1054.44,965.9,857.46,1068.94,1229.37,403.52,505.26,1056.37,1173.87
Dividend Amount,239.81,261.26,263.21,333.4,416.76,520.95,219.35,304.65,548.37,670.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1837.2,1938.03,2057.56,1993.99,1986.34,2004.46,2184.33,1922.84,2194.87,2210.57
Expenses,1405.34,1476.65,1640.17,1515.24,1480.78,1572.1,1733.25,1527.02,1648.41,1693.11
Other Income,63.08,56.15,69.45,68.51,44.6,104.32,93.77,81.14,104.91,91.55
Depreciation,143.95,140.17,139.04,137.29,138.55,139.63,157.54,142.1,153.1,158.9
Interest,15.61,15.22,15.52,15.49,15.94,15.76,16.7,15.91,16.51,18.73
Profit before tax,335.38,362.14,332.28,394.48,395.67,381.29,370.61,318.95,481.76,431.38
Tax,87.09,85.79,79.77,100.45,99.81,92.99,96.47,76.76,118.97,105.57
Net profit,253.72,284.61,258.81,297.08,303.47,294.2,279.12,245.56,367.36,330.74
Operating Profit,431.86,461.38,417.39,478.75,505.56,432.36,451.08,395.82,546.46,517.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,194.97,194.97,194.97,194.97,243.72,304.65,304.65,304.65,304.65,304.65
Reserves,6662.81,7321.82,8112.36,8576.18,9078.05,10022.76,9741.45,9882.61,10449.27,10921.38
Borrowings,206.51,189.53,10.06,62,62,770.65,70,718.4,730.72,774.06
Other Liabilities,1204.6,1288.73,1261.92,1292.64,1533.93,1699.56,1672.66,1504.79,1517.12,1464.97
Total,8268.89,8995.05,9579.31,10125.79,10917.7,12797.62,11788.76,12410.45,13001.76,13465.06
Net Block,3369.38,3675.06,3007.78,3657.91,4019.24,4564.06,5347.81,5662.68,5722.71,5620.69
Capital Work in Progress,240.23,394.57,622.94,616.62,691.82,626.34,943.07,922.56,755.44,836.74
Investments,483.57,488.2,1100.62,1079.94,1126.28,1168.8,1198.92,1261.32,1206.54,1213.26
Other Assets,4175.71,4437.22,4847.97,4771.32,5080.36,6438.42,4298.96,4563.89,5317.07,5794.37
Total,8268.89,8995.05,9579.31,10125.79,10917.7,12797.62,11788.76,12410.45,13001.76,13465.06
Receivables,62.12,69.05,59.51,63.17,90.94,95.48,164.63,161.03,181.72,216
Inventory,18.76,51.17,18.56,23.52,27.95,23.76,26.38,24.09,31.49,37.3
Cash & Bank,2774.21,2949.32,891.32,1746.24,2017.88,205.74,2191.62,2492.8,2918.38,3102.12
No. of Equity Shares,194974200,194974191,194974191,194974191,243717730,609294348,609294348,609294348,609294348,609294348
New Bonus Shares,64991397,,,,48743548,121858870,,,,
Face value,10,10,10,10,10,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,672.68,1166.32,-781.42,2029.39,1313.29,-1941.38,4285.77,1029.06,1369.96,1405.83
Cash from Investing Activity,-551.53,-648.37,-752.72,-881.97,-745.2,1381.47,-2875.04,33.71,-1068.45,-593.44
Cash from Financing Activity,-383.52,-348.61,-298.5,-292.5,-492.43,480.65,-1470.15,-456.62,-594.98,-853.59
Net Cash Flow,-262.37,169.34,-1832.64,854.92,75.66,-79.26,-59.42,606.15,-293.47,-41.2
