COMPANY NAME,COROMANDEL INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1183.55,,,,,,,,,
Market Capitalization,34832.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,11306.43,11481.42,10030.75,11082.92,13224.56,13136.69,14181.95,19110.85,29627.9,22058.39
Raw Material Cost,9030.8,8836.42,6815.36,7761.51,10124.73,8851.91,9148.46,14331.99,24220.36,16748.73
Change in Inventory,408.34,113.36,-305.6,152.12,785.15,-203.7,-539.46,115.45,747.84,266.39
Power and Fuel,238.95,211.76,205.16,230.35,250.6,280.46,314.83,340.33,400.11,
Other Mfr. Exp,117.83,105.36,118.15,139.28,166.6,149.83,192.1,252.14,332.19,
Employee Cost,277.94,291.87,310.84,361.87,411.07,461.08,538.57,587.18,656.55,697.51
Selling and admin,737.07,878.64,889.64,1093.67,1122.52,927.08,949.01,1086.25,1206.07,1162.09
Other Expenses,455.96,501.25,403.32,387.84,484.67,525.9,510.43,472.03,658.79,1344.23
Other Income,49.92,86.64,54.11,55.01,7.6,35.07,75.61,141.49,171.13,231.36
Depreciation,104.57,106.12,100.71,99.13,113.84,158.01,173.08,172.65,181.95,228.56
Interest,209.59,220.94,223.78,178.31,250.7,235.28,105.67,75.47,190.01,186.57
Profit before tax,591.98,529.06,712.3,1038.09,1092.58,1378.51,1785.95,2049.75,2700.84,2188.45
Tax,190.19,171.62,235.34,346.78,372.1,313.47,456.8,521.29,687.91,547.81
Net profit,401.79,357.44,476.96,691.31,720.48,1065.04,1329.15,1528.46,2012.93,1642.19
Dividend Amount,131.08,116.52,145.85,190.06,190.12,351.6,352.08,352.2,352.8,176.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,5072.64,4226.81,5729.1,10113.39,8309.59,5475.82,5693.39,6988.13,5464.15,3912.72
Expenses,4528.75,3847.84,5043.72,9056.41,7539,5089.19,4987.82,5933.2,5115.3,3649.85
Other Income,28.16,76.79,55.1,31.67,39.59,46.86,44.5,44.79,58.54,83.53
Depreciation,42.85,45.42,44.56,45.74,47.08,44.57,48.1,53.95,63.53,62.98
Interest,17.82,21.38,26.56,54.22,56.83,52.4,40.52,46.22,38.11,61.72
Profit before tax,511.38,388.96,669.36,988.69,706.27,336.52,661.45,999.55,305.75,221.7
Tax,129.8,99.17,170.28,248.13,179.42,90.08,167.42,244.96,77.64,57.79
Net profit,381.58,289.79,499.08,740.56,526.85,246.44,494.03,756.87,230.98,160.31
Operating Profit,543.89,378.97,685.38,1056.98,770.59,386.63,705.57,1054.93,348.85,262.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,29.13,29.13,29.17,29.24,29.25,29.3,29.34,29.35,29.4,29.44
Reserves,2172.88,2604.83,2861.6,2867.03,3329.14,4288.4,5121.25,6328.92,7878.39,9390.46
Borrowings,2287.81,2676.7,2228.38,2728.44,2954.47,2019.09,384.95,394.96,392.58,492.12
Other Liabilities,3871.86,3871.01,3525.85,4223.66,4261.06,3811.98,3359.95,4531.51,5934.43,5939.48
Total,8361.68,9181.67,8645,9848.37,10573.92,10148.77,8895.49,11284.74,14234.8,15851.5
Net Block,1379.59,1319.54,1327.54,1327.34,1309.48,2032.28,2015.44,2091.57,2200.42,3141.89
Capital Work in Progress,46.5,41.66,21.92,48.1,190.84,65.43,89.78,141.2,399.32,205.28
Investments,352.17,477.18,388.48,221.41,200.82,211.33,213.79,243.46,286.66,853.75
Other Assets,6583.42,7343.29,6907.06,8251.52,8872.78,7839.73,6576.48,8808.51,11348.4,11650.58
Total,8361.68,9181.67,8645,9848.37,10573.92,10148.77,8895.49,11284.74,14234.8,15851.5
Receivables,1446.38,1641.85,1621.67,1577.7,1824.42,1734.11,554.42,264.87,589.27,1393.54
Inventory,2259.22,2345.76,1724.61,2262.49,3241.39,2697.13,2600.88,3663.23,4416.45,4612.5
Cash & Bank,317.58,197.78,167.83,555.42,159.32,78.3,722.09,1753.28,1417.76,2858.58
No. of Equity Shares,291250357,291320465,291669127,292383409,292527329,292953749,293378679,293496409,294013749,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,86.09,18.38,915.24,263.26,526.4,1861.97,4150.15,2078.05,590.97,1427.69
Cash from Investing Activity,-215.9,-61.2,-78.61,37.55,-596.68,-220.46,-1245.43,-1621.62,639.83,-1334.28
Cash from Financing Activity,-64.15,8.48,-864.4,-1,-244.11,-1723.1,-2263.16,-442.52,-543.05,-363.21
Net Cash Flow,-193.96,-34.34,-27.77,299.81,-314.39,-81.59,641.56,13.91,687.75,-269.8
