COMPANY NAME,CROMPTON GREAVES CONSUMER ELECTRICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,335.8,,,,,,,,,
Market Capitalization,21532.21,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,4079.66,4478.91,4520.26,4803.51,5394.11,6869.61
Raw Material Cost,,,,,2814.34,3115.11,3196.62,3306.31,3661.48,4746.28
Change in Inventory,,,,,14.79,23.29,126.29,39.07,-40.3,65.93
Power and Fuel,,,,,6.81,6.15,5.61,4.56,5.73,19.25
Other Mfr. Exp,,,,,76.74,83.57,77.71,76.68,87.76,98.87
Employee Cost,,,,,282.65,291.88,310.95,336.58,362.39,540.8
Selling and admin,,,,,337.02,362.75,371.85,342.3,394.37,639.9
Other Expenses,,,,,45.85,58.42,84.71,55.67,72.63,119.97
Other Income,,,,,30.75,48.01,59.05,75.75,59.68,66.78
Depreciation,,,,,12.61,12.89,26.79,29.69,42.28,115.92
Interest,,,,,63.74,59.6,40.67,42.91,35.31,109.18
Profit before tax,,,,,485.44,559.84,590.69,723.63,751.54,612.15
Tax,,,,,161.65,158.45,94.3,106.98,173.16,135.75
Net profit,,,,,323.79,401.39,496.39,616.65,578.38,463.21
Dividend Amount,,,,,109.69,125.4,,345.24,158.35,190.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1385.12,1410.59,1547.92,1862.94,1699.5,1516.21,1790.96,1876.85,1782.27,1692.69
Expenses,1171.01,1209.06,1319.15,1643.02,1506.39,1363.82,1579.52,1691.08,1607.75,1542.89
Other Income,16.86,14.04,9.18,4.02,18.3,21.3,16.77,19.8,14.88,16.67
Depreciation,10.06,10.17,14.48,27.56,28.28,29.68,30.4,29.18,32.12,32.48
Interest,8.02,6.67,10.55,22.51,29.87,29.42,27.38,20.57,21.53,21.53
Profit before tax,212.89,198.73,212.92,173.87,153.26,114.59,170.43,155.82,135.75,112.46
Tax,54.08,50.47,36.37,47.92,22.55,26.4,38.88,33.79,34.88,27.01
Net profit,158.81,148.26,176.55,121.01,125.79,85.25,131.16,118.35,97.22,85.99
Operating Profit,214.11,201.53,228.77,219.92,193.11,152.39,211.44,185.77,174.52,149.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,125.36,125.4,125.46,125.54,126.68,127.22
Reserves,,,,,664.14,971.94,1342.87,1805.89,2326.28,2532.77
Borrowings,,,,,648.55,649.26,349.72,518.11,1685.73,1005.11
Other Liabilities,,,,,986.94,923.05,933.77,1147.89,2309.9,1989.33
Total,,,,,2424.99,2669.65,2751.82,3597.43,6448.59,5654.43
Net Block,,,,,861.58,863.15,908.97,914.99,3273.47,3249.94
Capital Work in Progress,,,,,0.61,0.98,19.9,10.86,13,26.51
Investments,,,,,367.58,541.21,540.82,769.73,624.17,548.18
Other Assets,,,,,1195.22,1264.31,1282.13,1901.85,2537.95,1829.8
Total,,,,,2424.99,2669.65,2751.82,3597.43,6448.59,5654.43
Receivables,,,,,553.64,565.98,463.46,460.81,593.6,670.56
Inventory,,,,,303.24,352.38,463.61,518.64,721.04,743.85
Cash & Bank,,,,,177.38,143.05,48.12,603.95,915.19,109.48
No. of Equity Shares,,,,,626785105,626985920,627283972,627691353,633405959,636109719
New Bonus Shares,,,,,,,,,,
Face value,,,,,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,315.41,298.93,410.92,830.29,736.35,552.59
Cash from Investing Activity,,,,,-33.05,-168.29,8.9,-495.73,-1735.85,263.16
Cash from Financing Activity,,,,,-175.47,-186.15,-512.77,-96.17,907.34,-910.53
Net Cash Flow,,,,,106.89,-55.51,-92.95,238.39,-92.16,-94.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,236.75,227.2,208.8,392.5,374,293
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,62.68,62.7,62.73,62.77,63.34,63.61
