COMPANY NAME,DLF LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,836.9,,,,,,,,,
Market Capitalization,207170.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,8298.04,7648.73,9925.61,8221.23,6706.79,8366.09,6082.77,5414.06,5717.39,5694.83
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,92.42,81.09,170.61,51.68,33.27,41.38,40.67,28.86,25.11,23.69
Other Mfr. Exp,3985.42,3367.47,4619.5,3536.5,3240.78,5086,3503.64,2967.47,2892.68,2589.24
Employee Cost,562.65,351.72,319.88,333.65,348.88,352.62,357.7,314.59,354.78,548.63
Selling and admin,682.45,520.78,602.55,563.25,470.87,436.9,440.39,375.1,441.74,508.49
Other Expenses,481.87,314,246.99,289.78,234.85,300.99,594.66,258.78,259.84,298.9
Other Income,1133.17,503.46,505.87,1135.47,9721.56,783.95,1135,383.15,195.34,317.31
Depreciation,662.93,544.79,765.89,572.49,533.53,224.63,200.3,159.48,149.44,148.63
Interest,2463.25,2303.86,2679.8,2979.82,2950.71,2061.87,1426.94,853.36,624.55,392.14
Profit before tax,500.22,668.48,1026.26,1029.53,8615.46,645.65,653.47,839.57,1164.59,1502.42
Tax,-82.38,158.12,564.24,229.26,4323.05,277.38,2132.67,362.28,320.98,401.5
Net profit,646.21,540.23,306.2,714.8,4463.86,1319.2,-583.2,1093.6,1500.85,2035.83
Dividend Amount,356.29,356.39,356.74,356.8,356.81,441.44,495.06,495.06,742.59,990.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1480.9,1549.7,1547.26,1441.63,1302.34,1494.8,1456.06,1423.23,1347.68,1521.25
Expenses,1022.64,1028.38,1179.72,1027.97,865.67,1017.6,1057.71,1027.06,885.33,1010.28
Other Income,75.63,-87.21,104.87,74.65,58.16,64.86,119.64,98.48,128.74,122.26
Depreciation,37.26,37.35,36.91,37.33,36.67,38.59,36.04,36.36,36.96,37.95
Interest,175.89,145.53,128.2,105.22,106.93,95.43,84.56,84.85,90.16,83.74
Profit before tax,320.74,251.23,307.3,345.76,351.23,408.04,397.39,373.44,463.97,511.54
Tax,94.41,60.02,83.76,87.61,90.96,110.39,112.54,101.42,112.2,135.04
Net profit,378.95,379.48,405.33,469.57,477.04,519.21,570.01,527,622.78,656.61
Operating Profit,458.26,521.32,367.54,413.66,436.67,477.2,398.35,396.17,462.35,510.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,356.29,356.39,356.74,356.8,356.81,441.44,495.06,495.06,495.06,495.06
Reserves,27038.6,27012.51,23712.34,24216.03,34203.53,32385,33951.68,34848.87,35867.22,37192.47
Borrowings,22334.07,24494.94,25263.77,29202.23,17490.8,17222.46,8102.51,6785.41,4181.84,3333.99
Other Liabilities,14795.97,14398.49,12396.48,10179.22,8533.39,16433.82,13341.2,11358.31,10622.74,11550.71
Total,64524.93,66262.33,61729.33,63954.28,60584.53,66482.72,55890.45,53487.65,51166.86,52572.23
Net Block,18834.63,19618.76,3943.18,24640.21,8082.28,6321.67,5186.87,4856.26,4862.39,4785.38
Capital Work in Progress,5978.69,5900.9,1779.06,152.76,137.33,102.92,88.7,94.94,81.05,61.12
Investments,891.23,623.41,21309.72,1209.27,20831.55,21004.67,18565.82,19745.52,19779.49,19481.13
Other Assets,38820.38,40119.26,34697.37,37952.04,31533.37,39053.46,32049.06,28790.93,26443.93,28244.6
Total,64524.93,66262.33,61729.33,63954.28,60584.53,66482.72,55890.45,53487.65,51166.86,52572.23
Receivables,1561.23,1586.4,3416.93,1417.36,1285.79,832.28,720.39,581.29,563.6,549.23
Inventory,18511.2,17610.47,16834.24,20098.8,19752.92,22008.55,22486.24,21086.64,20106.99,19361.23
Cash & Bank,2442.03,2747.65,3381.32,4098.93,2277.93,4855.37,2420.43,1406.87,931.62,2274.72
No. of Equity Shares,1781451307,1781927367,1783716082,1784003090,1784067028,2207221948,2475311706,2475311706,2475311706,2475311706
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1467.56,2036.82,2956.87,-897.85,270.32,2043,355.68,1460.18,2831.82,2375.26
Cash from Investing Activity,3924.36,98.36,-818.01,871.6,-2102.44,2.98,6508.1,150.47,266.98,-460.61
Cash from Financing Activity,-4531.79,-1547.42,-1928.53,787.08,-231.99,875.42,-9521.75,-2183.79,-3828.19,-2013.15
Net Cash Flow,860.13,587.76,210.33,760.82,-2064.12,2921.39,-2657.97,-573.13,-729.39,-98.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
